                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	24.0243	7.18781	8.62096	6.95164	25.2448
Length   16, n   16, alignment  1/ 1:	24.7291	7.30821	8.24368	6.91502	24.7992
Length   16, n   16, alignment  1/ 2:	23.7232	7.5893	7.84107	6.53423	24.4295
Length   16, n   16, alignment  2/ 1:	23.7322	7.48199	7.91533	6.55629	24.0112
Length    2, n    4, alignment  7/ 2:	26.3234	12.1142	10.4548	10.4692	26.5109
Length    4, n    2, alignment  2/ 7:	25.8464	7.86852	7.86587	6.53432	25.8012
Length    2, n    4, alignment  7/ 2:	26.5084	11.1724	10.5204	10.4548	26.4679
Length    4, n    2, alignment  2/ 7:	26.461	7.87095	7.84115	6.72659	25.7337
Length   16, n   16, alignment  2/ 2:	23.9546	7.18778	7.84697	6.53431	24.0203
Length   16, n   16, alignment  2/ 2:	23.8714	7.18766	7.84665	6.53418	23.8839
Length   16, n   16, alignment  2/ 4:	23.9187	7.70193	7.84107	6.53424	24.1085
Length   16, n   16, alignment  4/ 2:	23.7134	7.44761	7.86825	6.54041	23.8688
Length    4, n    8, alignment  6/ 4:	26.5318	24.962	25.8772	10.4604	27.2188
Length    8, n    4, alignment  4/ 6:	26.2631	7.74873	8.02969	7.59779	26.5741
Length    4, n    8, alignment  6/ 4:	27.1403	26.955	25.9486	10.474	27.3614
Length    8, n    4, alignment  4/ 6:	25.9673	7.36797	7.84109	6.53421	25.9835
Length   16, n   16, alignment  3/ 3:	23.9001	7.51385	7.8547	6.53428	24.1658
Length   16, n   16, alignment  3/ 3:	23.68	7.44842	7.87425	6.53432	23.9209
Length   16, n   16, alignment  3/ 6:	23.6911	7.19294	8.12815	6.53429	23.7915
Length   16, n   16, alignment  6/ 3:	23.9197	7.18769	7.84105	6.89497	23.7092
Length    8, n   16, alignment  5/ 6:	24.432	24.609	25.0775	10.7533	24.1244
Length   16, n    8, alignment  6/ 5:	23.8784	7.84121	8.50018	6.53434	20.5464
Length    8, n   16, alignment  5/ 6:	24.424	24.3554	24.4599	10.4609	24.1273
Length   16, n    8, alignment  6/ 5:	23.8609	7.87617	8.4946	6.53431	20.5239
Length   16, n   16, alignment  4/ 4:	23.5347	7.46264	7.91513	6.53422	23.9185
Length   16, n   16, alignment  4/ 4:	23.6032	7.18763	8.2322	6.60875	23.7259
Length   16, n   16, alignment  4/ 0:	24.034	7.18764	7.84107	7.09125	23.7906
Length   16, n   16, alignment  0/ 4:	23.9689	7.18766	7.98092	6.8256	23.6943
Length   16, n   32, alignment  4/ 0:	24.8029	20.2094	21.6131	11.1563	24.1919
Length   32, n   16, alignment  0/ 4:	23.9256	6.5614	6.53998	6.53415	23.9075
Length   16, n   32, alignment  4/ 0:	24.5305	20.4679	21.3544	11.4388	23.2077
Length   32, n   16, alignment  0/ 4:	23.938	6.53445	6.54086	6.89399	23.804
Length   16, n   16, alignment  5/ 5:	23.9495	7.18763	7.84653	6.53415	23.9088
Length   16, n   16, alignment  5/ 5:	23.959	7.19304	7.8411	6.53413	23.8442
Length   16, n   16, alignment  5/ 2:	23.8867	7.21466	7.84111	6.53957	23.8173
Length   16, n   16, alignment  2/ 5:	23.5477	7.44739	7.87355	6.53418	23.6235
Length   32, n   64, alignment  3/ 2:	27.4272	11.3715	10.8876	19.7172	26.9392
Length   64, n   32, alignment  2/ 3:	24.1071	7.18783	7.18771	7.26039	24.2555
Length   32, n   64, alignment  3/ 2:	27.5466	11.1102	11.0854	20.2023	25.8113
Length   64, n   32, alignment  2/ 3:	24.0743	7.19221	7.50615	7.3351	24.7304
Length   16, n   16, alignment  6/ 6:	23.8464	7.18778	8.10151	6.56428	24.0379
Length   16, n   16, alignment  6/ 6:	23.984	7.18766	7.84544	6.82067	23.7251
Length   16, n   16, alignment  6/ 4:	23.8748	7.19611	7.84105	6.53417	24.0692
Length   16, n   16, alignment  4/ 6:	23.8644	7.1932	7.84104	6.53418	24.0007
Length   64, n  128, alignment  2/ 4:	29.895	20.7523	22.2356	20.8629	29.1082
Length  128, n   64, alignment  4/ 2:	12.8389	8.7531	9.29954	12.6532	13.5248
Length   64, n  128, alignment  2/ 4:	31.5241	21.4179	22.5205	20.8489	28.7231
Length  128, n   64, alignment  4/ 2:	13.0169	9.81136	10.2793	12.7088	13.794
Length   16, n   16, alignment  7/ 7:	24.7356	7.65306	8.14858	6.70822	24.7028
Length   16, n   16, alignment  7/ 7:	23.8466	7.18773	8.16247	6.60063	24.2892
Length   16, n   16, alignment  7/ 6:	23.6854	7.19338	8.10069	6.56016	24.024
Length   16, n   16, alignment  6/ 7:	23.9004	7.18762	7.84109	6.8975	24.0046
Length  128, n  256, alignment  1/ 6:	30.467	21.1859	21.4202	26.6682	30.074
Length  256, n  128, alignment  6/ 1:	16.4962	15.1184	14.6238	20.6959	18.2467
Length  128, n  256, alignment  1/ 6:	35.377	22.104	21.4453	26.669	30.752
Length  256, n  128, alignment  6/ 1:	16.385	14.8551	15.2212	20.5143	17.4796
Length    8, n   16, alignment  0/ 0:	26.0169	25.012	24.7599	10.4548	24.4037
Length   32, n   16, alignment  0/ 0:	23.9319	6.56698	6.53433	6.5342	23.9494
Length    8, n   16, alignment  7/ 2:	24.2477	24.6097	24.5708	10.4547	24.6672
Length   32, n   16, alignment  7/ 2:	24.315	7.34017	8.1984	7.34284	23.9244
Length   16, n   32, alignment  0/ 0:	25.6141	20.5128	21.1976	11.4294	24.8482
Length   64, n   32, alignment  0/ 0:	24.2041	7.18769	7.24646	7.1878	24.6574
Length   16, n   32, alignment  6/ 4:	24.9251	20.1878	21.5353	11.1158	23.8952
Length   64, n   32, alignment  6/ 4:	24.0652	7.21662	7.19362	7.22175	24.1442
Length   32, n   64, alignment  0/ 0:	25.2155	11.1078	10.6153	19.3127	25.4275
Length  128, n   64, alignment  0/ 0:	12.7811	7.32262	7.36465	10.0375	11.9502
Length   32, n   64, alignment  5/ 6:	28.8961	12.6122	12.3382	20.3827	27.7189
Length  128, n   64, alignment  5/ 6:	13.0622	10.0973	10.0352	13.3271	13.1062
Length   64, n  128, alignment  0/ 0:	27.1176	20.93	21.7485	20.861	25.8557
Length  256, n  128, alignment  0/ 0:	15.4632	11.9634	11.1189	14.4114	14.7121
Length   64, n  128, alignment  4/ 0:	26.4936	22.3161	23.057	20.8615	23.3797
Length  256, n  128, alignment  4/ 0:	15.6189	14.7143	14.4901	19.027	14.8851
Length  128, n  256, alignment  0/ 0:	28.9774	23.0876	23.1626	25.3678	25.2061
Length  512, n  256, alignment  0/ 0:	19.1878	16.4494	16.6429	19.6591	19.8844
Length  128, n  256, alignment  3/ 2:	32.8687	22.0263	23.6803	25.5189	30.7877
Length  512, n  256, alignment  3/ 2:	24.607	21.8511	22.0069	24.0666	25.5864
Length  256, n  512, alignment  0/ 0:	33.9435	27.4537	26.4803	35.6176	36.0988
Length 1024, n  512, alignment  0/ 0:	31.9023	21.4759	21.7303	31.3334	32.2856
Length  256, n  512, alignment  2/ 4:	42.8686	29.5583	29.1625	34.8337	41.611
Length 1024, n  512, alignment  2/ 4:	33.7793	28.1949	29.0529	34.4975	35.898
Length  512, n 1024, alignment  0/ 0:	47.83	36.6131	32.1159	51.1597	46.3242
Length 2048, n 1024, alignment  0/ 0:	49.2477	28.9667	31.3724	54.0756	49.4376
Length  512, n 1024, alignment  1/ 6:	53.1874	38.2814	34.3614	53.392	51.8756
Length 2048, n 1024, alignment  1/ 6:	54.8553	41.7668	38.5127	58.747	56.1521
