                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length    0/   0, alignment  0/ 0:	23.8819	22.2356	22.4239	20.3908	13.4943
Length    0/   0, alignment  0/ 0:	23.1477	21.7156	22.315	20.419	13.292
Length    0/   0, alignment  0/ 0:	23.2262	33.4544	22.9603	20.3955	13.4306
Length    0/   0, alignment  0/ 0:	23.2301	21.9837	22.3154	20.3879	13.283
Length    1/   1, alignment  0/ 0:	23.2409	21.7307	22.3145	20.3818	14.4309
Length    1/   1, alignment  0/ 0:	23.7577	21.7326	22.3145	20.5962	14.407
Length    1/   1, alignment  0/ 1:	23.4505	21.7444	22.5451	20.3797	7.06844
Length    1/   1, alignment  1/ 0:	23.2323	21.7248	22.6162	20.3847	14.5106
Length    2/   2, alignment  0/ 0:	23.4123	22.406	22.9594	21.0953	15.08
Length    2/   2, alignment  0/ 0:	23.5853	22.3637	22.9622	21.1	15.1304
Length    2/   2, alignment  0/ 2:	23.3745	22.4114	23.0094	21.36	9.93065
Length    2/   2, alignment  2/ 0:	23.2201	22.3614	22.9625	21.1427	15.2128
Length    3/   3, alignment  0/ 0:	23.4948	21.7437	22.3734	20.4132	15.2134
Length    3/   3, alignment  0/ 0:	23.3843	21.7632	22.3572	20.4107	15.2108
Length    3/   3, alignment  0/ 3:	23.5735	21.7819	22.397	20.4561	10.7778
Length    3/   3, alignment  3/ 0:	23.2339	21.7417	22.3437	20.4233	17.1606
Length    4/   4, alignment  0/ 0:	29.813	28.8773	29.5178	21.0663	17.1516
Length    4/   4, alignment  0/ 0:	29.8294	28.8771	29.4968	21.0676	17.1876
Length    4/   4, alignment  0/ 4:	23.6544	22.4343	23.0743	21.0941	14.3764
Length    4/   4, alignment  4/ 0:	29.7877	29.0524	29.4815	21.2211	18.5968
Length    5/   5, alignment  0/ 0:	30.1267	28.8782	29.4968	21.1112	18.0479
Length    5/   5, alignment  0/ 0:	29.7884	28.8996	29.497	21.0662	18.0299
Length    5/   5, alignment  0/ 5:	23.6191	22.4331	22.9894	20.5848	15.3866
Length    5/   5, alignment  5/ 0:	29.5105	28.1925	29.0661	20.5437	18.3033
Length    6/   6, alignment  0/ 0:	29.5084	28.2607	28.8267	20.5994	18.4229
Length    6/   6, alignment  0/ 0:	29.3558	28.2219	28.8672	20.6024	18.2422
Length    6/   6, alignment  0/ 6:	23.2561	22.1158	22.6091	20.5503	17.3913
Length    6/   6, alignment  6/ 0:	29.378	28.1928	28.7964	20.5515	18.9257
Length    7/   7, alignment  0/ 0:	29.1105	28.2228	28.855	19.9286	18.0619
Length    7/   7, alignment  0/ 0:	29.1544	28.2217	28.8261	19.9418	17.9361
Length    7/   7, alignment  0/ 7:	23.055	21.926	22.5476	19.9675	18.1065
Length    7/   7, alignment  7/ 0:	24.8233	23.7354	24.3562	19.9589	18.7231
Length    8/   8, alignment  0/ 0:	22.9488	21.9916	22.6232	20.5735	15.4139
Length    8/   8, alignment  0/ 0:	22.9541	21.9695	22.6278	20.573	15.4422
Length    8/   8, alignment  0/ 0:	22.9539	21.9658	22.6197	20.5856	15.4231
Length    8/   8, alignment  0/ 0:	22.9624	21.9704	22.751	20.569	15.4247
Length    9/   9, alignment  0/ 0:	22.9256	21.994	22.6247	20.5545	15.4202
Length    9/   9, alignment  0/ 0:	22.9309	22.2083	22.6299	20.5513	15.4169
Length    9/   9, alignment  0/ 1:	23.0009	21.9725	22.6308	20.5569	16.6625
Length    9/   9, alignment  1/ 0:	22.7237	21.9237	22.5756	20.5525	22.1854
Length   10/  10, alignment  0/ 0:	22.9616	21.971	22.6522	20.5663	16.1524
Length   10/  10, alignment  0/ 0:	22.9957	21.991	22.6325	20.5707	16.1551
Length   10/  10, alignment  0/ 2:	22.9848	21.972	22.6208	20.5685	16.8641
Length   10/  10, alignment  2/ 0:	22.8668	21.9209	22.5796	20.5171	21.4807
Length   11/  11, alignment  0/ 0:	22.9528	21.9712	22.6213	20.5683	16.7277
Length   11/  11, alignment  0/ 0:	22.9415	21.9891	22.6217	20.5679	16.7229
Length   11/  11, alignment  0/ 3:	22.9643	21.9697	22.6166	20.5699	17.6047
Length   11/  11, alignment  3/ 0:	22.9246	21.9245	22.5861	20.5421	21.3225
Length   12/  12, alignment  0/ 0:	23.0263	21.9707	22.6312	20.5708	17.5937
Length   12/  12, alignment  0/ 0:	22.9405	21.9895	22.6045	20.5668	17.5706
Length   12/  12, alignment  0/ 4:	22.9127	21.9725	22.621	20.6693	16.6209
Length   12/  12, alignment  4/ 0:	23.0142	21.9687	22.6253	20.5669	19.2207
Length   13/  13, alignment  0/ 0:	23.0653	21.9721	22.6362	20.5681	18.2001
Length   13/  13, alignment  0/ 0:	23.0396	21.9896	22.618	20.5691	18.2012
Length   13/  13, alignment  0/ 5:	22.949	21.9715	22.6227	20.6721	17.2593
Length   13/  13, alignment  5/ 0:	22.8606	21.9191	22.5481	20.518	19.4787
Length   14/  14, alignment  0/ 0:	22.946	21.9671	22.6399	20.5706	18.9854
Length   14/  14, alignment  0/ 0:	22.9223	21.991	22.6178	20.5697	18.9591
Length   14/  14, alignment  0/ 6:	22.9136	21.9131	22.5799	20.6696	17.9681
Length   14/  14, alignment  6/ 0:	22.8656	21.9204	22.561	20.5243	19.6702
Length   15/  15, alignment  0/ 0:	22.9222	21.971	22.6488	19.912	18.6623
Length   15/  15, alignment  0/ 0:	22.9493	21.9722	22.6465	19.91	18.5195
Length   15/  15, alignment  0/ 7:	22.8916	21.92	22.6004	20.0561	18.6267
Length   15/  15, alignment  7/ 0:	22.893	21.9229	22.5757	20.0022	19.0257
Length   16/  16, alignment  0/ 0:	22.8561	21.8733	22.4809	21.4639	16.0186
Length   16/  16, alignment  7/ 2:	22.8442	21.8915	22.4559	21.2302	20.5181
Length   16/   4, alignment  0/ 0:	23.1222	21.8744	22.4718	20.5806	17.1078
Length   16/   4, alignment  7/ 2:	22.899	21.8754	22.4455	20.9357	16.2938
Length   32/  32, alignment  0/ 0:	24.4247	23.8148	23.925	35.9815	18.1869
Length   32/  32, alignment  6/ 4:	27.8813	25.735	26.326	35.3354	28.0028
Length   32/   8, alignment  0/ 0:	23.7876	22.4519	23.1138	30.0855	17.3888
Length   32/   8, alignment  6/ 4:	23.965	23.047	23.3428	30.9346	24.9256
Length   64/  64, alignment  0/ 0:	40.3073	38.7332	39.6042	36.7374	25.336
Length   64/  64, alignment  5/ 6:	40.4875	39.1546	40.3948	36.8126	34.8687
Length   64/  16, alignment  0/ 0:	39.6689	38.3738	39.7283	33.2427	23.4655
Length   64/  16, alignment  5/ 6:	42.5386	42.649	43.9766	37.3686	36.8559
Length  128/ 128, alignment  0/ 0:	41.1892	39.952	41.244	40.8316	44.1689
Length  128/ 128, alignment  4/ 0:	48.2567	47.4975	49.0597	42.2713	50.6064
Length  128/  32, alignment  0/ 0:	40.461	39.4927	40.6358	46.1512	42.2629
Length  128/  32, alignment  4/ 0:	46.2629	44.7953	46.0387	47.3456	54.6407
Length  256/ 256, alignment  0/ 0:	45.727	42.311	43.4537	41.5019	87.4331
Length  256/ 256, alignment  3/ 2:	47.8658	43.9137	45.1652	42.366	99.9046
Length  256/  64, alignment  0/ 0:	46.9585	45.7465	45.7294	48.0736	67.9935
Length  256/  64, alignment  3/ 2:	49.0224	49.159	49.3246	51.8649	83.5777
Length  512/ 512, alignment  0/ 0:	49.5268	45.139	46.3439	53.6241	180.79
Length  512/ 512, alignment  2/ 4:	51.7656	47.3327	48.8163	58.0756	192.718
Length  512/ 128, alignment  0/ 0:	49.4944	49.4899	48.8326	60.9725	118.694
Length  512/ 128, alignment  2/ 4:	56.5954	55.0977	56.0514	71.8052	131.132
Length 1024/1024, alignment  0/ 0:	52.9295	50.5567	56.3908	82.1714	401.666
Length 1024/1024, alignment  1/ 6:	64.2641	61.9526	68.1456	83.8536	412.81
Length 1024/ 256, alignment  0/ 0:	60.3224	59.2341	58.4638	85.1069	260.991
Length 1024/ 256, alignment  1/ 6:	70.7175	68.8854	67.463	101.058	267.533
Length   16/   1, alignment  1/ 2:	23.4274	22.3839	22.9809	20.895	20.7559
Length   16/   1, alignment  2/ 1:	22.9996	22.3068	22.4623	20.6049	15.6792
Length   16/  10, alignment  1/ 1:	22.8661	21.876	22.4788	20.5935	41.8379
Length   16/  10, alignment  1/ 1:	23.3371	21.9904	22.7292	20.6018	30.3714
Length   32/   1, alignment  2/ 4:	23.8876	23.0607	23.37	32.1205	25.4963
Length   32/   1, alignment  4/ 2:	23.6359	22.5415	23.278	30.7496	17.1103
Length   32/  10, alignment  2/ 2:	23.878	23.0495	23.3477	32.1738	34.285
Length   32/  10, alignment  2/ 2:	23.942	23.3042	23.3456	32.1339	34.3757
Length   64/   1, alignment  3/ 6:	37.6982	37.0599	38.3665	32.6059	31.2588
Length   64/   1, alignment  6/ 3:	35.8497	34.3605	35.2645	31.6646	20.7653
Length   64/  10, alignment  3/ 3:	37.6638	36.82	38.3637	32.5972	42.064
Length   64/  10, alignment  3/ 3:	37.7135	36.7929	38.3547	32.6202	42.0012
Length  128/   1, alignment  4/ 0:	39.3174	38.3361	39.5196	37.9059	34.2864
Length  128/   1, alignment  0/ 4:	40.0664	38.9611	39.7924	39.1048	39.0738
Length  128/  10, alignment  4/ 4:	45.2077	44.1245	45.2891	39.141	61.3965
Length  128/  10, alignment  4/ 4:	45.1367	43.9947	45.2988	39.0466	61.1249
Length  256/   1, alignment  5/ 2:	39.4435	38.8053	39.296	45.6299	57.4675
Length  256/   1, alignment  2/ 5:	44.3141	42.0047	42.9344	48.1049	83.5347
Length  256/  10, alignment  5/ 5:	47.8047	47.1635	48.0699	48.1769	99.4421
Length  256/  10, alignment  5/ 5:	47.8484	47.0767	47.9968	47.8498	99.4546
Length  512/   1, alignment  6/ 4:	49.2691	45.4895	47.6391	54.2232	105.219
Length  512/   1, alignment  4/ 6:	58.1569	59.5146	56.2797	56.2094	150.206
Length  512/  10, alignment  6/ 6:	53.7517	55.522	52.8385	56.6594	176.95
Length  512/  10, alignment  6/ 6:	52.5908	54.8464	53.7432	56.4557	176.564
Length 1024/   1, alignment  7/ 6:	51.8699	51.7449	50.1248	60.3335	243.6
Length 1024/   1, alignment  6/ 7:	72.3362	67.8487	70.7261	75.8537	304.052
Length 1024/  10, alignment  7/ 7:	71.4594	67.4069	70.6658	76.7014	356.868
Length 1024/  10, alignment  7/ 7:	69.8863	67.4686	69.9361	76.4482	360.313
