                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length    2/   2, alignment  0/ 2, N    2:	25.7839	23.4525	22.8731	21.0988	24.621
Length    4/   4, alignment  0/ 0, N    2:	24.7666	22.8717	23.196	21.1161	24.4814
Length    4/   4, alignment  4/ 0, N    2:	25.0279	22.6221	22.6357	20.6364	23.9688
Length    8/   8, alignment  0/ 0, N    2:	24.0767	22.3505	22.5625	20.6341	24.3379
Length    8/   8, alignment  0/ 0, N    2:	24.2252	22.3516	22.3499	20.6086	23.9667
Length   16/  16, alignment  0/ 0, N    2:	24.0142	22.3491	22.7772	21.1301	24.1532
Length   16/  16, alignment  7/ 2, N    2:	23.8867	21.8542	21.8537	22.0379	23.4402
Length   16/   4, alignment  0/ 0, N    2:	23.6615	22.3489	23.3717	20.4977	24.2361
Length   16/   4, alignment  7/ 2, N    2:	23.8675	22.3499	22.1582	19.9824	23.4579
Length   32/  32, alignment  0/ 0, N    2:	23.8782	21.8557	22.4785	20.7113	23.8339
Length   32/  32, alignment  6/ 4, N    2:	23.7892	21.9786	22.4777	20.6061	23.8073
Length   32/   8, alignment  0/ 0, N    2:	24.4006	21.3347	21.856	20.0153	23.6657
Length   32/   8, alignment  6/ 4, N    2:	23.1964	21.3333	21.8545	20.0137	24.1216
Length   64/  64, alignment  0/ 0, N    2:	24.3583	22.3528	22.9898	21.2112	24.3221
Length   64/  64, alignment  5/ 6, N    2:	24.4942	22.3521	23.017	20.708	23.8791
Length   64/  16, alignment  0/ 0, N    2:	23.4221	21.2304	68.0032	20.6605	23.5075
Length   64/  16, alignment  5/ 6, N    2:	23.6289	23.2992	23.9857	24.0828	23.6741
Length  128/ 128, alignment  0/ 0, N    2:	23.9211	21.9273	23.5844	20.6292	23.8755
Length  128/ 128, alignment  4/ 0, N    2:	23.9179	21.8995	23.0778	20.6129	24.5841
Length  128/  32, alignment  0/ 0, N    2:	24.3249	21.8541	22.4785	21.1101	24.0224
Length  128/  32, alignment  4/ 0, N    2:	23.8147	21.9784	22.4791	20.6046	23.8256
Length  256/ 256, alignment  0/ 0, N    2:	27.0186	21.8563	22.6492	21.0754	27.524
