                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.9744	5.66895	6.18359	5.49121	5.49622
Length    0, alignments in bytes  0/ 0:	10.9778	6.1875	6.17444	5.50244	5.4895
Length    0, alignments in bytes  0/ 0:	10.9722	6.17249	6.18164	5.48596	5.49695
Length    0, alignments in bytes  0/ 0:	10.9751	6.17688	6.17249	5.49609	5.48181
Length    1, alignments in bytes  0/ 0:	21.6635	6.1853	6.86646	5.48523	5.49915
Length    1, alignments in bytes  0/ 0:	21.6781	6.1803	6.86731	5.5033	5.4928
Length    1, alignments in bytes  0/ 1:	21.63	6.1803	6.86084	5.48486	5.49426
Length    1, alignments in bytes  1/ 0:	21.6199	6.17053	6.85779	5.49292	5.69275
Length    2, alignments in bytes  0/ 0:	21.6521	6.86951	6.86951	6.98389	6.87097
Length    2, alignments in bytes  0/ 0:	21.6213	6.87207	6.86438	7.0022	6.87537
Length    2, alignments in bytes  0/ 2:	22.7318	6.86829	6.85596	7.00537	6.86914
Length    2, alignments in bytes  2/ 0:	20.9744	6.85754	6.8584	5.51221	6.87585
Length    3, alignments in bytes  0/ 0:	25.6237	6.1759	6.86279	5.51306	6.99255
Length    3, alignments in bytes  0/ 0:	25.6398	6.17615	6.86426	5.49963	6.86182
Length    3, alignments in bytes  0/ 3:	25.6089	6.17395	6.86157	5.4928	6.86328
Length    3, alignments in bytes  3/ 0:	25.6238	6.17102	6.8595	5.49133	8.92188
Length    4, alignments in bytes  0/ 0:	25.6193	21.2515	21.9252	6.33203	8.92603
Length    4, alignments in bytes  0/ 0:	25.6497	21.2504	21.9258	6.31604	8.92432
Length    4, alignments in bytes  0/ 4:	25.6357	21.2487	21.9233	6.31055	8.91736
Length    4, alignments in bytes  4/ 0:	25.5885	35.1578	17.1433	5.4967	9.19275
Length    5, alignments in bytes  0/ 0:	25.0861	21.248	21.9265	7.50793	10.1045
Length    5, alignments in bytes  0/ 0:	25.097	21.2473	21.9283	7.47852	10.1069
Length    5, alignments in bytes  0/ 5:	28.322	21.2469	21.9248	6.90161	8.91699
Length    5, alignments in bytes  5/ 0:	25.1002	16.4462	17.139	6.1759	9.07446
Length    6, alignments in bytes  0/ 0:	25.0836	21.2471	21.9272	7.89819	12.7142
Length    6, alignments in bytes  0/ 0:	24.5094	20.7396	21.4055	7.69226	12.0551
Length    6, alignments in bytes  0/ 6:	24.4625	20.7406	21.4041	6.0813	12.0524
Length    6, alignments in bytes  6/ 0:	24.4615	16.0543	16.7374	5.36096	8.71106
Length    7, alignments in bytes  0/ 0:	22.4006	21.668	21.9244	5.49939	12.7733
