                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	11.3748	7.4037	8.69964	6.73508	11.223
Length   16, n   16, alignment  1/ 1:	12.0922	7.75377	7.55225	6.85307	11.5109
Length   16, n   16, alignment  1/ 2:	11.9367	7.57592	7.55229	6.86816	11.277
Length   16, n   16, alignment  2/ 1:	12.0325	7.76114	7.72679	6.94739	11.3081
Length    2, n    4, alignment  7/ 2:	13.7344	11.2359	11.9295	11.6131	13.0729
Length    4, n    2, alignment  2/ 7:	10.7744	8.22364	8.2237	6.86853	11.026
Length    2, n    4, alignment  7/ 2:	13.4673	10.9815	11.6628	11.65	13.2302
Length    4, n    2, alignment  2/ 7:	10.868	7.53839	8.22363	6.85927	10.6822
Length   16, n   16, alignment  2/ 2:	11.7057	7.53833	7.53844	6.86904	11.1417
Length   16, n   16, alignment  2/ 2:	11.8961	7.76615	7.68106	6.85293	11.3737
Length   16, n   16, alignment  2/ 4:	11.8234	7.72673	7.59861	6.85294	11.2332
Length   16, n   16, alignment  4/ 2:	11.8849	7.56469	7.67681	6.85294	11.255
Length    4, n    8, alignment  6/ 4:	15.7713	12.0269	11.9493	11.6549	14.2462
Length    8, n    4, alignment  4/ 6:	11.0913	7.54333	8.22358	6.85304	11.1109
Length    4, n    8, alignment  6/ 4:	14.1758	12.0845	11.9848	11.6501	14.2942
Length    8, n    4, alignment  4/ 6:	11.2325	7.55126	8.22359	6.85299	11.1481
Length   16, n   16, alignment  3/ 3:	11.6923	7.66993	7.55485	7.02428	11.1545
Length   16, n   16, alignment  3/ 3:	11.7808	7.71082	7.53823	6.8931	11.3061
Length   16, n   16, alignment  3/ 6:	11.8255	7.65721	7.5382	6.90371	11.4195
Length   16, n   16, alignment  6/ 3:	11.8589	7.69662	7.66333	6.97951	11.5932
Length    8, n   16, alignment  5/ 6:	15.5352	10.9853	10.1671	11.655	14.1473
Length   16, n    8, alignment  6/ 5:	11.2709	8.22353	7.54326	6.85303	11.2769
Length    8, n   16, alignment  5/ 6:	13.9791	10.9728	10.2679	11.8147	14.1264
Length   16, n    8, alignment  6/ 5:	11.2361	8.42921	7.64585	6.85301	11.3978
Length   16, n   16, alignment  4/ 4:	11.8853	7.62949	7.54344	6.85293	11.1422
Length   16, n   16, alignment  4/ 4:	11.9041	7.60306	7.73185	6.90834	11.2118
Length   16, n   16, alignment  4/ 0:	11.7652	7.62683	7.57508	6.92926	11.3456
Length   16, n   16, alignment  0/ 4:	11.8382	7.69344	7.53822	6.85292	11.3358
Length   16, n   32, alignment  4/ 0:	15.2096	10.6665	10.5344	11.6501	14.2161
Length   32, n   16, alignment  0/ 4:	11.6727	7.03732	6.85302	6.85301	11.2748
Length   16, n   32, alignment  4/ 0:	15.3095	10.7441	10.5866	11.6501	14.2527
Length   32, n   16, alignment  0/ 4:	11.7663	7.34432	6.92656	6.93039	11.3867
Length   16, n   16, alignment  5/ 5:	11.8439	7.73262	7.61848	6.85297	11.2634
Length   16, n   16, alignment  5/ 5:	11.9061	7.60979	7.60596	6.94197	11.2317
Length   16, n   16, alignment  5/ 2:	11.6578	7.72541	7.60586	6.85765	11.2892
Length   16, n   16, alignment  2/ 5:	11.9653	7.72826	7.53831	6.95162	11.4066
Length   32, n   64, alignment  3/ 2:	18.5257	10.2047	10.3895	12.772	18.7467
Length   64, n   32, alignment  2/ 3:	10.5652	7.749	7.61362	7.45365	10.4145
Length   32, n   64, alignment  3/ 2:	18.4707	10.2845	10.5421	12.6116	18.7485
Length   64, n   32, alignment  2/ 3:	10.5113	7.77002	7.59338	7.46473	10.2083
Length   16, n   16, alignment  6/ 6:	11.9688	7.74397	7.63675	6.85824	11.0858
Length   16, n   16, alignment  6/ 6:	11.8609	7.72678	7.72676	7.00879	11.3584
Length   16, n   16, alignment  6/ 4:	11.7927	7.70789	7.5512	6.86089	11.4759
Length   16, n   16, alignment  4/ 6:	11.9249	7.53824	7.55709	6.85293	11.2448
Length   64, n  128, alignment  2/ 4:	16.3339	14.1437	13.7866	15.9604	16.0768
Length  128, n   64, alignment  4/ 2:	12.692	9.46151	10.5417	11.6153	12.8042
Length   64, n  128, alignment  2/ 4:	16.6494	14.1937	13.8966	16.0775	16.5226
Length  128, n   64, alignment  4/ 2:	12.6582	10.5511	10.3733	11.7702	12.7268
Length   16, n   16, alignment  7/ 7:	11.9861	7.72686	7.72692	6.98066	11.3478
Length   16, n   16, alignment  7/ 7:	11.7626	7.72664	7.65614	6.85294	11.2803
Length   16, n   16, alignment  7/ 6:	11.8265	7.76527	7.61412	6.8529	11.2091
Length   16, n   16, alignment  6/ 7:	11.9484	7.7188	7.54543	6.87363	11.4646
Length  128, n  256, alignment  1/ 6:	22.2291	17.4312	17.3017	24.6895	22.0555
Length  256, n  128, alignment  6/ 1:	16.0693	13.5066	13.2599	19.7359	16.3445
Length  128, n  256, alignment  1/ 6:	21.6023	17.6358	17.4866	24.8503	22.0501
Length  256, n  128, alignment  6/ 1:	16.1659	13.5668	13.2316	19.6862	15.9337
Length    8, n   16, alignment  0/ 0:	15.5592	11.2139	10.1539	11.6548	14.0331
Length   32, n   16, alignment  0/ 0:	11.6526	6.85312	6.85812	7.00335	11.4121
Length    8, n   16, alignment  7/ 2:	16.0313	11.5565	11.4413	11.6499	14.1556
Length   32, n   16, alignment  7/ 2:	11.8052	7.56497	7.71117	6.85294	11.024
Length   16, n   32, alignment  0/ 0:	14.9971	9.91224	9.71569	11.6553	14.2054
Length   64, n   32, alignment  0/ 0:	10.9701	7.73141	7.60183	6.89352	10.2561
Length   16, n   32, alignment  6/ 4:	15.1888	10.7792	10.6523	11.6552	13.8737
Length   64, n   32, alignment  6/ 4:	11.26	7.74358	7.66243	6.87985	10.4816
Length   32, n   64, alignment  0/ 0:	14.6567	10.7879	11.8341	12.004	14.7021
Length  128, n   64, alignment  0/ 0:	13.368	8.45265	8.35148	9.38864	12.5516
Length   32, n   64, alignment  5/ 6:	17.4145	11.6371	11.6579	13.1497	16.6141
Length  128, n   64, alignment  5/ 6:	12.3604	10.5516	10.5178	12.5769	12.9827
Length   64, n  128, alignment  0/ 0:	16.0592	12.959	13.3517	15.0017	16.1345
Length  256, n  128, alignment  0/ 0:	14.9655	10.3022	10.5398	14.146	15.5069
Length   64, n  128, alignment  4/ 0:	16.0206	13.6507	13.4467	16.2377	16.0536
Length  256, n  128, alignment  4/ 0:	15.0843	13.279	12.2578	18.5953	15.7914
Length  128, n  256, alignment  0/ 0:	19.2095	16.3201	15.6153	23.1991	18.8196
Length  512, n  256, alignment  0/ 0:	18.4096	15.6595	14.9334	18.6498	19.3025
Length  128, n  256, alignment  3/ 2:	22.6636	17.1458	16.9149	23.8782	22.2958
Length  512, n  256, alignment  3/ 2:	23.3875	20.7846	20.6819	23.5504	23.8955
Length  256, n  512, alignment  0/ 0:	27.8565	24.0349	23.5614	29.1361	27.6243
Length 1024, n  512, alignment  0/ 0:	29.1199	19.4558	19.9135	32.2437	29.918
Length  256, n  512, alignment  2/ 4:	29.8363	26.6446	25.955	30.6949	29.9993
Length 1024, n  512, alignment  2/ 4:	31.4271	25.7023	27.2815	35.0869	31.5418
Length  512, n 1024, alignment  0/ 0:	45.2752	29.9829	28.2304	46.4081	44.4709
Length 2048, n 1024, alignment  0/ 0:	47.1206	28.4048	29.6612	57.5612	47.6538
Length  512, n 1024, alignment  1/ 6:	54.7324	31.9828	29.5629	46.5195	54.799
Length 2048, n 1024, alignment  1/ 6:	49.9434	41.1326	36.3145	58.4285	51.8324
