                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	11.5157	7.35889	7.58894	7.40365	11.1107
Length   16, n   16, alignment  1/ 1:	11.728	7.63533	7.55595	6.85301	11.1776
Length   16, n   16, alignment  1/ 2:	11.7025	7.83752	7.79176	7.04479	11.5482
Length   16, n   16, alignment  2/ 1:	11.9591	7.73611	7.53834	6.86984	11.37
Length    2, n    4, alignment  7/ 2:	13.6603	11.2217	11.6717	11.6547	13.1928
Length    4, n    2, alignment  2/ 7:	10.7187	8.20382	8.22359	6.86669	11.0389
Length    2, n    4, alignment  7/ 2:	13.5753	11.0009	11.6632	11.5469	13.1341
Length    4, n    2, alignment  2/ 7:	10.9649	8.0928	8.2237	6.85842	10.7726
Length   16, n   16, alignment  2/ 2:	11.7839	7.53831	7.53842	6.85784	11.3226
Length   16, n   16, alignment  2/ 2:	11.8378	7.67191	7.5383	6.85812	11.4963
Length   16, n   16, alignment  2/ 4:	11.9599	7.72666	7.73157	6.90119	11.2171
Length   16, n   16, alignment  4/ 2:	11.7252	7.72673	7.73742	6.85288	11.1972
Length    4, n    8, alignment  6/ 4:	14.6555	12.101	11.9618	11.6549	14.2681
Length    8, n    4, alignment  4/ 6:	11.0528	7.53851	8.22935	6.85304	11.3241
Length    4, n    8, alignment  6/ 4:	14.4921	12.1461	11.9487	11.6546	14.4234
Length    8, n    4, alignment  4/ 6:	10.9656	7.6552	8.27759	6.9371	11.4157
Length   16, n   16, alignment  3/ 3:	12.1104	7.69324	7.53827	6.96945	11.3554
Length   16, n   16, alignment  3/ 3:	11.9702	7.75031	7.56683	6.85302	11.3411
Length   16, n   16, alignment  3/ 6:	12.0044	7.69324	7.67237	6.90317	11.4286
Length   16, n   16, alignment  6/ 3:	11.9642	7.76479	7.59765	6.93532	11.2348
Length    8, n   16, alignment  5/ 6:	14.2265	11.2034	10.1787	11.7211	14.0282
Length   16, n    8, alignment  6/ 5:	11.3953	8.43441	7.53842	6.85756	11.1649
Length    8, n   16, alignment  5/ 6:	14.336	11.1857	10.1803	11.8325	13.9056
Length   16, n    8, alignment  6/ 5:	11.4139	8.36417	7.55888	6.85936	11.3099
Length   16, n   16, alignment  4/ 4:	12.0511	7.53842	7.56182	6.87171	11.427
Length   16, n   16, alignment  4/ 4:	11.9022	7.65442	7.67997	6.85296	11.4093
Length   16, n   16, alignment  4/ 0:	11.9122	7.66978	7.5595	6.8529	11.0657
Length   16, n   16, alignment  0/ 4:	11.9875	7.74792	7.56628	6.85296	11.567
Length   16, n   32, alignment  4/ 0:	15.2198	10.729	10.5675	11.65	14.1441
Length   32, n   16, alignment  0/ 4:	11.6644	6.872	6.87721	6.94794	11.3258
Length   16, n   32, alignment  4/ 0:	15.1116	10.6985	10.7435	11.6556	14.1934
Length   32, n   16, alignment  0/ 4:	11.8969	7.00884	7.0245	7.02425	11.3468
Length   16, n   16, alignment  5/ 5:	11.8686	7.74963	7.64383	6.85294	11.3507
Length   16, n   16, alignment  5/ 5:	11.835	7.73363	7.71946	6.8529	11.031
Length   16, n   16, alignment  5/ 2:	11.959	7.74378	7.64235	6.97358	11.4144
Length   16, n   16, alignment  2/ 5:	11.9904	7.61172	7.58291	7.02946	11.3007
Length   32, n   64, alignment  3/ 2:	18.6362	9.83908	10.4294	12.7455	18.7936
Length   64, n   32, alignment  2/ 3:	10.8845	7.72722	7.73162	7.48329	10.3273
Length   32, n   64, alignment  3/ 2:	19.3324	9.86817	10.3496	12.62	18.6985
Length   64, n   32, alignment  2/ 3:	10.9416	7.7474	7.72688	7.54827	10.298
Length   16, n   16, alignment  6/ 6:	11.9945	7.71391	7.53841	6.85787	11.4234
Length   16, n   16, alignment  6/ 6:	11.8968	7.53837	7.69403	6.85769	11.3959
Length   16, n   16, alignment  6/ 4:	11.8626	7.71961	7.73187	6.87001	11.096
Length   16, n   16, alignment  4/ 6:	11.8783	7.74402	7.56805	6.85289	11.0975
Length   64, n  128, alignment  2/ 4:	16.0884	14.2694	14.087	15.8711	16.1881
Length  128, n   64, alignment  4/ 2:	13.145	9.43017	10.577	11.7464	12.7213
Length   64, n  128, alignment  2/ 4:	16.2918	14.325	13.8953	16.0736	16.3693
Length  128, n   64, alignment  4/ 2:	12.8633	10.0168	10.5431	11.83	12.8281
Length   16, n   16, alignment  7/ 7:	11.9655	7.76492	7.72678	6.86644	11.2415
Length   16, n   16, alignment  7/ 7:	11.9811	7.61003	7.64645	6.85289	11.3078
Length   16, n   16, alignment  7/ 6:	11.9755	7.7268	7.57844	6.85292	11.1484
Length   16, n   16, alignment  6/ 7:	11.7089	7.70691	7.73179	6.90536	11.2919
Length  128, n  256, alignment  1/ 6:	21.0125	17.5989	17.0678	24.5636	20.9281
