                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	11.4389	7.35885	11.2385	10.168	11.5993
Length   16, n   16, alignment  1/ 1:	11.8774	7.57255	7.55446	6.8803	11.4678
Length   16, n   16, alignment  1/ 2:	11.6844	7.64481	7.59077	6.85304	11.3278
Length   16, n   16, alignment  2/ 1:	11.6797	7.70121	7.58443	6.88132	11.283
Length    2, n    4, alignment  7/ 2:	13.8139	11.2284	12.784	11.5554	13.0849
Length    4, n    2, alignment  2/ 7:	10.6146	8.08757	8.19842	6.7026	11.0382
Length    2, n    4, alignment  7/ 2:	13.0764	10.981	11.6426	11.3887	14.0473
Length    4, n    2, alignment  2/ 7:	11.4886	7.73662	8.2237	6.85306	10.5296
Length   16, n   16, alignment  2/ 2:	11.6856	7.54415	7.53844	6.85303	11.3764
Length   16, n   16, alignment  2/ 2:	11.6759	7.56167	7.53829	6.85297	11.234
Length   16, n   16, alignment  2/ 4:	11.6944	7.55505	7.53829	6.8607	11.4501
Length   16, n   16, alignment  4/ 2:	11.8297	7.55814	7.53831	6.85758	11.1942
Length    4, n    8, alignment  6/ 4:	14.383	11.8642	11.9637	11.6551	14.055
Length    8, n    4, alignment  4/ 6:	11.1404	7.5558	8.22381	6.85806	11.4118
Length    4, n    8, alignment  6/ 4:	14.1063	11.9707	11.9501	11.6558	14.0102
Length    8, n    4, alignment  4/ 6:	11.5989	7.53846	8.25009	6.85303	11.4198
Length   16, n   16, alignment  3/ 3:	11.6615	7.53845	7.54302	6.85294	11.2309
Length   16, n   16, alignment  3/ 3:	11.6518	7.68962	7.54317	6.85297	11.1012
Length   16, n   16, alignment  3/ 6:	11.8136	7.69009	7.53824	7.00151	11.1294
Length   16, n   16, alignment  6/ 3:	11.7151	7.75013	7.60119	6.93953	11.0323
Length    8, n   16, alignment  5/ 6:	13.8963	11.1201	10.1785	11.7068	14.1352
Length   16, n    8, alignment  6/ 5:	11.1081	8.22849	7.53843	6.85304	11.4251
