                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	11.1987	7.23166	8.77177	6.73942	11.1495
Length   16, n   16, alignment  1/ 1:	11.6563	7.5142	7.82484	6.87297	11.3785
Length   16, n   16, alignment  1/ 2:	11.7262	7.53831	7.57876	6.91012	11.3629
Length   16, n   16, alignment  2/ 1:	11.7055	7.6569	7.82048	6.9709	11.3874
Length    2, n    4, alignment  7/ 2:	15.1521	11.2996	11.6796	11.6842	13.1298
Length    4, n    2, alignment  2/ 7:	10.7915	7.59995	8.22379	6.853	10.9273
Length    2, n    4, alignment  7/ 2:	14.2676	11.013	11.6501	11.5564	13.2376
Length    4, n    2, alignment  2/ 7:	11.4536	7.54495	9.59408	6.85304	10.7277
Length   16, n   16, alignment  2/ 2:	11.6877	7.55734	7.53832	6.85303	11.1744
Length   16, n   16, alignment  2/ 2:	11.6678	7.56523	7.73849	6.94329	11.3397
Length   16, n   16, alignment  2/ 4:	11.8413	7.53825	7.53827	6.85803	11.275
Length   16, n   16, alignment  4/ 2:	11.9701	7.7441	7.56087	6.85806	11.2665
Length    4, n    8, alignment  6/ 4:	15.0304	11.9055	11.9505	11.6676	14.3575
Length    8, n    4, alignment  4/ 6:	11.2752	7.58699	8.22965	6.89266	11.412
Length    4, n    8, alignment  6/ 4:	14.2818	12.1598	11.949	11.6551	14.0913
Length    8, n    4, alignment  4/ 6:	11.0981	7.55985	8.37224	6.86664	11.1757
Length   16, n   16, alignment  3/ 3:	11.9376	7.6897	7.54422	6.85299	11.2852
Length   16, n   16, alignment  3/ 3:	11.7681	7.77156	7.565	6.95113	11.2772
Length   16, n   16, alignment  3/ 6:	11.8387	7.75324	7.72679	6.87899	11.2314
Length   16, n   16, alignment  6/ 3:	11.7472	7.73174	7.56681	6.85289	11.2021
Length    8, n   16, alignment  5/ 6:	14.3098	11.2561	10.2559	11.6501	14.1593
Length   16, n    8, alignment  6/ 5:	11.306	8.4523	7.67487	6.85316	11.2005
Length    8, n   16, alignment  5/ 6:	14.3851	11.0367	10.1662	11.65	14.1316
Length   16, n    8, alignment  6/ 5:	11.0465	8.38867	7.7268	7.02433	11.3415
Length   16, n   16, alignment  4/ 4:	11.6805	7.73754	7.63589	6.85824	11.4719
Length   16, n   16, alignment  4/ 4:	11.8681	7.74421	7.59483	6.95539	11.1143
Length   16, n   16, alignment  4/ 0:	11.9413	7.62449	7.75007	6.92967	11.2436
Length   16, n   16, alignment  0/ 4:	11.843	7.69022	7.73389	7.02425	11.3459
Length   16, n   32, alignment  4/ 0:	15.3168	10.556	10.5077	11.6564	14.4371
Length   32, n   16, alignment  0/ 4:	11.7794	7.01937	6.85782	6.85298	11.6679
Length   16, n   32, alignment  4/ 0:	15.2264	10.6186	10.6639	11.7283	14.3183
Length   32, n   16, alignment  0/ 4:	11.9222	7.04174	7.02975	6.94544	11.3454
Length   16, n   16, alignment  5/ 5:	11.8221	7.72706	7.62687	6.85294	11.3495
Length   16, n   16, alignment  5/ 5:	11.6499	7.70644	7.68905	6.94213	11.5729
Length   16, n   16, alignment  5/ 2:	11.9362	7.60464	7.76474	7.02426	11.3357
Length   16, n   16, alignment  2/ 5:	11.9588	7.73195	7.65249	6.85292	11.3726
Length   32, n   64, alignment  3/ 2:	18.7698	9.92403	10.4122	12.6671	18.1636
Length   64, n   32, alignment  2/ 3:	10.4073	7.72733	7.73174	7.47244	10.4205
Length   32, n   64, alignment  3/ 2:	18.7881	10.2219	10.3228	12.702	19.0917
Length   64, n   32, alignment  2/ 3:	10.5218	7.73322	7.68817	7.55765	10.276
Length   16, n   16, alignment  6/ 6:	11.9638	7.75001	7.72675	7.02605	11.3666
Length   16, n   16, alignment  6/ 6:	11.9327	7.75081	7.72666	7.02424	11.3239
Length   16, n   16, alignment  6/ 4:	11.8149	7.72664	7.74429	7.00676	11.2025
Length   16, n   16, alignment  4/ 6:	11.8438	7.72304	7.60754	6.9384	11.3393
Length   64, n  128, alignment  2/ 4:	16.4221	14.1842	13.8368	16.19	16.3142
Length  128, n   64, alignment  4/ 2:	12.7172	9.23315	10.5504	11.8582	12.9083
Length   64, n  128, alignment  2/ 4:	16.9814	14.1648	13.9165	15.9958	16.2766
Length  128, n   64, alignment  4/ 2:	12.8411	9.66243	10.5418	11.8472	12.8794
Length   16, n   16, alignment  7/ 7:	11.9701	7.75182	7.72687	7.02427	11.2666
Length   16, n   16, alignment  7/ 7:	11.8466	7.72663	7.61167	6.87708	11.2633
Length   16, n   16, alignment  7/ 6:	11.9853	7.72676	7.72672	7.02896	11.3197
Length   16, n   16, alignment  6/ 7:	11.9451	7.72672	7.5994	6.8529	11.3009
Length  128, n  256, alignment  1/ 6:	21.75	17.7081	17.5999	24.6881	21.3584
Length  256, n  128, alignment  6/ 1:	16.3814	13.5917	13.2659	19.724	16.1256
Length  128, n  256, alignment  1/ 6:	21.6805	17.6936	17.4106	24.8367	21.4172
Length  256, n  128, alignment  6/ 1:	15.988	13.5152	13.2173	20.0188	16.5313
Length    8, n   16, alignment  0/ 0:	14.5677	11.2445	10.4043	11.9469	14.3183
Length   32, n   16, alignment  0/ 0:	11.874	6.85329	6.85792	6.91905	11.5678
Length    8, n   16, alignment  7/ 2:	14.4811	11.4134	11.4417	11.6546	14.5442
Length   32, n   16, alignment  7/ 2:	11.775	7.68958	7.60907	6.90776	11.3278
Length   16, n   32, alignment  0/ 0:	14.8679	9.873	9.86031	11.6655	14.2873
Length   64, n   32, alignment  0/ 0:	10.4767	7.74274	7.59371	6.90341	10.3213
Length   16, n   32, alignment  6/ 4:	15.2339	10.777	10.7143	11.7658	14.1588
Length   64, n   32, alignment  6/ 4:	10.2772	7.74364	7.74333	6.90247	10.2185
Length   32, n   64, alignment  0/ 0:	14.9177	10.1049	10.5908	12.2076	14.818
Length  128, n   64, alignment  0/ 0:	11.9888	8.42925	8.43771	9.43213	12.1095
Length   32, n   64, alignment  5/ 6:	17.7028	11.8179	11.9771	13.2846	17.4349
Length  128, n   64, alignment  5/ 6:	12.5817	10.5513	10.538	12.5659	12.7198
Length   64, n  128, alignment  0/ 0:	15.8497	13.3445	13.3515	14.8846	15.8573
Length  256, n  128, alignment  0/ 0:	15.2843	10.4712	10.359	14.1294	15.8747
Length   64, n  128, alignment  4/ 0:	16.1497	13.6774	13.6234	16.2714	16.0791
Length  256, n  128, alignment  4/ 0:	14.9479	13.2773	12.2563	18.9996	16.0331
Length  128, n  256, alignment  0/ 0:	19.2886	16.3864	15.7392	23.1704	18.5498
Length  512, n  256, alignment  0/ 0:	18.6547	15.6721	14.9708	18.9597	18.1419
Length  128, n  256, alignment  3/ 2:	22.0584	17.6519	16.9131	23.8388	21.8511
Length  512, n  256, alignment  3/ 2:	23.7916	20.8672	20.4813	23.4318	23.7742
Length  256, n  512, alignment  0/ 0:	27.3325	24.02	23.5345	28.9817	27.53
Length 1024, n  512, alignment  0/ 0:	29.1834	19.8254	20.2757	30.3278	29.3518
Length  256, n  512, alignment  2/ 4:	29.3683	26.676	25.9664	30.583	29.3465
Length 1024, n  512, alignment  2/ 4:	31.4058	25.6252	27.1388	35.6707	31.4842
Length  512, n 1024, alignment  0/ 0:	45.5424	30.9785	28.9615	46.171	44.5429
Length 2048, n 1024, alignment  0/ 0:	47.2069	28.4593	29.643	58.8757	47.2148
Length  512, n 1024, alignment  1/ 6:	54.5285	33.083	30.7786	49.3997	56.824
Length 2048, n 1024, alignment  1/ 6:	49.4357	41.377	36.9232	60.2009	51.1209
