                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length  128, alignments in bytes  0/ 0:	15.6198	9.6438	9.60547	13.5076	25.6685
Length  128, alignments in bytes  4/ 0:	17.6562	10.3386	11.7632	14.7966	32.0442
Length  256, alignments in bytes  0/ 0:	22.3256	15.1378	18.0468	18.9166	51.6875
Length  256, alignments in bytes  3/ 2:	24.2097	15.0896	17.5299	19.49	57.6567
Length  512, alignments in bytes  0/ 0:	28.9458	18.8953	20.7692	27.3014	100.646
Length  512, alignments in bytes  2/ 4:	32.2531	21.7119	23.3077	28.8391	144.454
Length 1024, alignments in bytes  0/ 0:	51.7091	28.0931	28.6958	46.6525	223.751
Length 1024, alignments in bytes  1/ 6:	63.8018	40.262	34.7252	46.7552	311.407
Length   16, alignments in bytes  1/ 2:	10.1385	8.60791	8.40491	5.66602	17.2705
Length   16, alignments in bytes  2/ 1:	10.2042	8.64404	8.42358	5.72888	15.3539
Length   16, alignments in bytes  1/ 1:	10.0426	8.53503	8.41748	5.35254	16.0001
Length   16, alignments in bytes  1/ 1:	10.0894	8.54224	8.41492	5.36182	16.5059
Length   32, alignments in bytes  2/ 4:	11.8311	7.37085	8.18738	9.9906	21.0256
Length   32, alignments in bytes  4/ 2:	11.5911	6.70142	6.70984	11.3395	16.5967
Length   32, alignments in bytes  2/ 2:	11.5645	6.41309	6.63098	9.52441	16.5166
Length   32, alignments in bytes  2/ 2:	11.5845	6.70435	6.70288	9.56116	16.1133
Length   64, alignments in bytes  3/ 6:	14.2915	9.6272	9.401	11.0558	29.4025
Length   64, alignments in bytes  6/ 3:	15.4247	11.4205	11.4219	12.3804	19.7532
Length   64, alignments in bytes  3/ 3:	13.9415	8.51855	8.73413	9.4613	20.9691
Length   64, alignments in bytes  3/ 3:	13.9352	8.51587	8.71729	9.45837	24.869
Length  128, alignments in bytes  4/ 0:	17.6578	10.3829	11.8691	14.8685	32.613
Length  128, alignments in bytes  0/ 4:	20.1854	10.9698	10.5527	53.5332	35.4777
Length  128, alignments in bytes  4/ 4:	19.9954	13.1882	12.7395	43.4938	32.5837
Length  128, alignments in bytes  4/ 4:	20.709	14.2782	13.0375	14.7257	33.39
Length  256, alignments in bytes  5/ 2:	24.7157	15.6554	19.7189	20.9417	58.4352
Length  256, alignments in bytes  2/ 5:	25.5909	17.6124	20.9919	20.8275	80.9468
Length  256, alignments in bytes  5/ 5:	24.8466	14.7866	18.181	19.0024	58.3263
Length  256, alignments in bytes  5/ 5:	26.0441	15.1267	18.1854	19.0316	58.3259
Length  512, alignments in bytes  6/ 4:	32.8175	24.8129	23.5739	28.8116	109.594
Length  512, alignments in bytes  4/ 6:	33.1196	28.4224	27.4569	28.3386	146.631
Length  512, alignments in bytes  6/ 6:	31.2083	20.2379	24.6991	28.2809	110.756
Length  512, alignments in bytes  6/ 6:	31.4135	20.2584	22.5682	28.2355	108.732
Length 1024, alignments in bytes  7/ 6:	50.5837	40.1024	36.425	47.7174	232.522
Length 1024, alignments in bytes  6/ 7:	64.6553	39.7605	35.6008	48.3167	305.824
Length 1024, alignments in bytes  7/ 7:	57.259	28.2126	48.5457	47.7357	233.119
Length 1024, alignments in bytes  7/ 7:	57.1288	28.1245	28.9896	47.741	233.534
Length   16, alignments in bytes  0/ 4:	13.2749	9.37402	8.58191	5.80066	9.3208
Length   16, alignments in bytes  4/ 0:	10.3776	8.80737	8.61682	5.85486	15.5497
Length   16, alignments in bytes  4/ 4:	10.4948	8.81702	8.61157	5.49744	15.1545
Length   16, alignments in bytes  2/ 2:	10.4706	8.75098	8.63562	5.49451	15.1764
Length   16, alignments in bytes  2/ 6:	10.4547	8.76953	8.62329	5.79883	18.4099
Length   16, alignments in bytes  6/ 2:	10.2859	8.78442	8.62097	5.8717	15.2791
Length   16, alignments in bytes  1/ 7:	10.2993	8.76489	8.62793	5.79688	18.9427
Length   16, alignments in bytes  7/ 1:	10.5879	8.75696	8.6228	5.85791	13.7246
Length   16, alignments in bytes  3/ 4:	10.4297	8.76172	8.62744	5.78894	15.5875
Length   16, alignments in bytes  4/ 3:	10.3386	8.75024	8.61365	5.85364	14.6824
Length   16, alignments in bytes  5/ 7:	10.5701	8.75269	8.6311	5.79871	15.0964
Length   16, alignments in bytes  7/ 5:	10.313	8.7655	8.63513	5.85925	13.8561
Length   20, alignments in bytes  0/ 4:	10.3131	8.797	8.95569	7.96851	11.4988
Length   20, alignments in bytes  4/ 0:	10.3134	8.79456	8.62744	6.3584	14.0984
Length   20, alignments in bytes  4/ 4:	10.2874	8.75024	9.04138	7.08752	13.0719
Length   20, alignments in bytes  2/ 2:	10.2341	8.59521	8.41663	7.08337	18.2332
Length   20, alignments in bytes  2/ 6:	12.0835	9.13147	8.96802	7.75537	19.769
Length   20, alignments in bytes  6/ 2:	10.1938	8.60229	8.39722	6.19727	13.2117
Length   20, alignments in bytes  1/ 7:	10.1063	8.52625	8.4292	7.75989	20.3807
Length   20, alignments in bytes  7/ 1:	10.0404	8.53088	8.4165	7.27673	12.9399
Length   20, alignments in bytes  3/ 4:	10.0424	8.55518	8.82202	8.68396	18.0785
Length   20, alignments in bytes  4/ 3:	10.2201	8.54126	8.39673	7.46619	13.6111
Length   20, alignments in bytes  5/ 7:	10.095	8.54602	8.41113	8.21021	14.6241
Length   20, alignments in bytes  7/ 5:	10.1466	8.52356	8.39941	7.4541	12.5869
Length   24, alignments in bytes  0/ 4:	10.1074	8.64136	8.37097	8.21033	10.7943
Length   24, alignments in bytes  4/ 0:	10.2229	8.5614	8.41113	7.45447	16.2457
