                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   64, n  128, alignment  4/ 0:	16.7635	14.4752	13.7241	16.8457	16.4915
Length  256, n  128, alignment  4/ 0:	17.1623	13.7972	13.0598	19.1104	16.6468
Length  128, n  256, alignment  0/ 0:	20.686	16.6658	16.3254	24.1739	20.4365
Length  512, n  256, alignment  0/ 0:	20.1785	15.8462	15.4823	19.2447	19.1379
Length  128, n  256, alignment  3/ 2:	22.3859	17.894	16.8428	24.6366	22.3951
Length  512, n  256, alignment  3/ 2:	25.2163	21.6485	21.1985	24.0804	25.4131
Length  256, n  512, alignment  0/ 0:	28.978	24.8911	24.0693	30.5066	28.3925
Length 1024, n  512, alignment  0/ 0:	33.1447	20.2062	20.188	30.2662	31.7088
Length  256, n  512, alignment  2/ 4:	30.8287	27.5995	26.8761	32.1492	30.8837
Length 1024, n  512, alignment  2/ 4:	33.5685	26.8287	27.3639	34.2668	33.8398
Length  512, n 1024, alignment  0/ 0:	45.2193	31.4768	29.942	46.5687	44.9921
Length 2048, n 1024, alignment  0/ 0:	49.5831	29.1243	30.3048	53.4503	50.1224
Length  512, n 1024, alignment  1/ 6:	53.5907	34.3599	30.7113	47.1561	53.6431
Length 2048, n 1024, alignment  1/ 6:	56.9153	42.5131	37.344	56.6955	56.8478
