                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	11.2661	5.51746	5.45117	5.35779	5.36902
Length    0, alignments in bytes  0/ 0:	10.1698	6.02856	5.41797	5.36133	5.37
Length    0, alignments in bytes  0/ 0:	10.0958	5.51306	5.44568	5.3634	5.35791
Length    0, alignments in bytes  0/ 0:	10.1925	5.49915	5.43555	5.36584	5.34839
Length    1, alignments in bytes  0/ 0:	10.1249	6.04102	6.03381	5.36011	5.38257
Length    1, alignments in bytes  0/ 0:	11.2355	6.02991	5.43799	5.36108	5.37244
Length    1, alignments in bytes  0/ 1:	10.9055	6.0321	5.43701	5.36597	5.35779
Length    1, alignments in bytes  1/ 0:	10.7085	6.03333	6.02515	5.3606	5.03882
Length    2, alignments in bytes  0/ 0:	10.7906	6.1665	6.18091	6.43958	8.04407
Length    2, alignments in bytes  0/ 0:	10.781	6.16479	6.17444	6.42773	8.04858
Length    2, alignments in bytes  0/ 2:	11.0953	5.68933	5.69946	6.01624	7.49805
Length    2, alignments in bytes  2/ 0:	9.99414	5.00513	4.9989	5.00208	6.27026
Length    3, alignments in bytes  0/ 0:	9.46716	5.00952	5.00513	5.00293	6.25952
Length    3, alignments in bytes  0/ 0:	9.60229	4.42883	5.00854	5.0083	6.27075
Length    3, alignments in bytes  0/ 3:	9.44922	5.00305	5.00708	4.99719	6.26306
Length    3, alignments in bytes  3/ 0:	9.37744	4.9989	5.00928	5.00037	8.69849
Length    4, alignments in bytes  0/ 0:	9.76709	7.9967	7.98962	5.86304	8.32227
Length    4, alignments in bytes  0/ 0:	9.67871	7.99207	7.99072	5.87634	8.31653
Length    4, alignments in bytes  0/ 4:	9.9248	6.05334	6.11157	5.86987	8.30762
Length    4, alignments in bytes  4/ 0:	9.5835	5.12463	5.1084	5.12024	8.32349
Length    5, alignments in bytes  0/ 0:	9.58545	7.98315	7.98877	6.62415	9.11096
Length    5, alignments in bytes  0/ 0:	9.599	7.98462	7.98779	6.64062	9.12671
Length    5, alignments in bytes  0/ 5:	9.72522	6.04077	6.12744	5.83801	8.30542
Length    5, alignments in bytes  5/ 0:	9.58423	5.12048	5.10803	5.11951	8.32422
Length    6, alignments in bytes  0/ 0:	9.62183	7.98462	7.99182	7.34045	11.5107
Length    6, alignments in bytes  0/ 0:	9.78271	7.98682	7.98535	7.35168	11.509
Length    6, alignments in bytes  0/ 6:	9.58411	6.06079	6.11084	5.70776	11.4935
Length    6, alignments in bytes  6/ 0:	9.58643	5.11951	5.11084	5.11743	8.95691
Length    7, alignments in bytes  0/ 0:	9.75415	6.99866	6.92322	5.11108	11.511
Length    7, alignments in bytes  0/ 0:	9.76587	7.00049	6.89478	5.11621	11.5061
Length    7, alignments in bytes  0/ 7:	9.58618	8.35718	6.9176	5.11438	11.5001
Length    7, alignments in bytes  7/ 0:	10.8268	5.4895	5.49353	5.48706	12.3534
Length    8, alignments in bytes  0/ 0:	10.5146	8.90344	8.59155	6.2981	5.51233
Length    8, alignments in bytes  0/ 0:	12.2145	9.50122	8.92053	6.30359	5.50012
Length    8, alignments in bytes  0/ 0:	14.0348	8.96021	8.57898	6.29028	7.62268
Length    8, alignments in bytes  0/ 0:	16.6444	9.99158	14.692	7.35291	6.6344
Length    9, alignments in bytes  0/ 0:	13.8588	12.7676	10.0785	8.63965	7.36853
Length    9, alignments in bytes  0/ 0:	10.5725	8.86414	8.58398	7.3623	6.10962
Length    9, alignments in bytes  0/ 1:	10.1116	8.47742	8.19946	7.19507	6.797
