                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.9807	5.67236	6.19031	5.48926	5.50256
Length    0, alignments in bytes  0/ 0:	10.9807	5.66699	6.17871	5.49719	5.48657
Length    0, alignments in bytes  0/ 0:	10.9756	5.66577	6.18994	5.48755	5.48926
Length    0, alignments in bytes  0/ 0:	10.9757	5.65186	6.18127	5.4834	5.49341
Length    1, alignments in bytes  0/ 0:	10.702	6.18384	6.85864	5.51001	5.49744
Length    1, alignments in bytes  0/ 0:	10.7314	6.53259	6.70667	5.35779	5.37366
Length    1, alignments in bytes  0/ 1:	10.3594	6.02856	6.69727	5.37073	5.35107
Length    1, alignments in bytes  1/ 0:	10.7107	6.03406	6.7019	5.35413	4.97046
Length    2, alignments in bytes  0/ 0:	10.0651	6.69373	6.7146	6.45166	8.03308
Length    2, alignments in bytes  0/ 0:	10.0438	6.70569	6.70508	6.43311	8.04651
Length    2, alignments in bytes  0/ 2:	10.045	6.70361	6.69104	6.44556	8.03516
Length    2, alignments in bytes  2/ 0:	10.0474	6.69128	6.69495	5.36646	6.0564
Length    3, alignments in bytes  0/ 0:	10.7169	6.03833	6.70483	5.37024	6.72046
Length    3, alignments in bytes  0/ 0:	10.7208	6.02612	6.70325	5.37	6.70215
Length    3, alignments in bytes  0/ 3:	10.7134	6.03027	6.69849	5.3551	6.71326
Length    3, alignments in bytes  3/ 0:	10.7112	6.02271	6.69971	5.36328	8.04626
Length    4, alignments in bytes  0/ 0:	10.7112	8.37195	8.33813	6.14819	8.70667
Length    4, alignments in bytes  0/ 0:	10.7122	8.36877	8.32349	6.13293	8.71399
Length    4, alignments in bytes  0/ 4:	10.7126	6.34204	6.70044	6.13037	8.7052
Length    4, alignments in bytes  4/ 0:	10.7196	6.02063	6.73914	5.35217	8.08191
Length    5, alignments in bytes  0/ 0:	10.7124	8.36804	8.97803	7.10315	9.87695
Length    5, alignments in bytes  0/ 0:	10.9749	8.56665	8.52075	7.09827	9.88037
Length    5, alignments in bytes  0/ 5:	10.9727	8.04456	6.86035	6.2135	8.95154
Length    5, alignments in bytes  5/ 0:	10.9703	6.17834	6.85339	6.17761	8.97253
Length    6, alignments in bytes  0/ 0:	10.9725	8.5752	8.52893	7.86609	12.3748
Length    6, alignments in bytes  0/ 0:	10.9758	8.5708	8.51233	7.87939	12.3557
Length    6, alignments in bytes  0/ 6:	10.9753	6.50903	6.8656	6.13721	9.61169
Length    6, alignments in bytes  6/ 0:	10.9711	6.17493	6.86353	5.48132	16.5695
Length    7, alignments in bytes  0/ 0:	10.9768	7.54456	7.5321	5.49475	15.3192
Length    7, alignments in bytes  0/ 0:	12.3518	7.52869	7.45813	5.50708	12.3479
Length    7, alignments in bytes  0/ 7:	12.3362	6.51282	6.85583	5.49353	12.5989
Length    7, alignments in bytes  7/ 0:	12.3402	6.17444	6.90027	5.48376	11.6772
Length    8, alignments in bytes  0/ 0:	12.3422	8.74158	8.60266	6.28699	6.18481
Length    8, alignments in bytes  0/ 0:	14.1969	8.74451	8.65808	6.28772	7.0116
Length    8, alignments in bytes  0/ 0:	11.0455	9.58203	12.2335	8.49768	10.7832
Length    8, alignments in bytes  0/ 0:	15.968	9.50024	10.7733	8.45972	14.6084
Length    9, alignments in bytes  0/ 0:	14.6766	8.73499	8.61731	7.1217	7.31897
Length    9, alignments in bytes  0/ 0:	12.2523	8.74133	8.59778	7.1073	6.36084
Length    9, alignments in bytes  0/ 1:	12.432	8.74158	8.60376	7.52625	7.11975
Length    9, alignments in bytes  1/ 0:	12.3378	8.73096	8.62097	7.47864	14.3556
Length   10, alignments in bytes  0/ 0:	12.3381	8.74951	8.6062	7.87891	7.55432
Length   10, alignments in bytes  0/ 0:	12.3424	8.75	8.5979	7.87646	7.56311
Length   10, alignments in bytes  0/ 2:	12.3535	8.77991	8.59973	7.7146	7.97424
Length   10, alignments in bytes  2/ 0:	12.3444	8.71912	8.61536	7.63293	14.8647
Length   11, alignments in bytes  0/ 0:	12.3429	9.08191	8.59351	7.19568	9.06738
Length   11, alignments in bytes  0/ 0:	12.071	8.78064	8.5946	7.18982	8.15613
Length   11, alignments in bytes  0/ 3:	12.3444	8.75562	8.58325	7.71997	8.95007
Length   11, alignments in bytes  3/ 0:	12.3375	8.73511	8.62024	7.62073	15.7826
Length   12, alignments in bytes  0/ 0:	12.34	8.73828	8.58862	7.88538	9.6178
Length   12, alignments in bytes  0/ 0:	12.338	8.73096	8.59729	7.87195	9.53223
Length   12, alignments in bytes  0/ 4:	13.8566	8.49011	8.31458	7.9104	9.60718
Length   12, alignments in bytes  4/ 0:	12.3405	8.4502	8.224	7.61951	11.6627
Length   13, alignments in bytes  0/ 0:	12.3379	8.7406	8.59717	7.88232	11.9741
Length   13, alignments in bytes  0/ 0:	12.3374	8.75439	8.59656	7.8772	11.9381
Length   13, alignments in bytes  0/ 5:	11.0498	8.44226	8.24011	7.90759	10.6359
Length   13, alignments in bytes  5/ 0:	12.34	8.40051	8.2373	7.62378	12.6613
Length   14, alignments in bytes  0/ 0:	12.3448	8.75696	8.60425	7.87866	13.2426
Length   14, alignments in bytes  0/ 0:	12.3368	8.74927	8.59802	7.85779	13.26
Length   14, alignments in bytes  0/ 6:	11.1187	8.40918	8.26904	7.91357	13.0276
Length   14, alignments in bytes  6/ 0:	12.3405	8.40149	8.22241	7.61145	12.9487
Length   15, alignments in bytes  0/ 0:	10.9846	7.63635	7.45544	5.50159	13.0353
Length   15, alignments in bytes  0/ 0:	10.9803	7.64722	7.57886	5.49744	13.0352
Length   15, alignments in bytes  0/ 7:	10.976	8.41748	8.26514	5.49524	13.0305
Length   15, alignments in bytes  7/ 0:	10.9713	8.44458	8.22888	5.48779	12.6809
Length   16, alignments in bytes  0/ 0:	10.973	8.73096	8.60449	6.17969	6.94324
Length   16, alignments in bytes  7/ 2:	10.9713	8.72937	8.63318	6.18591	13.7261
Length   32, alignments in bytes  0/ 0:	10.9788	6.88623	7.55518	7.58862	9.901
Length   32, alignments in bytes  6/ 4:	10.9869	6.8645	6.87329	11.4679	16.3066
Length   64, alignments in bytes  0/ 0:	13.0599	8.92322	8.43982	8.93665	15.3573
Length   64, alignments in bytes  5/ 6:	15.9379	13.9664	14.3588	12.5337	25.4596
Length  128, alignments in bytes  0/ 0:	17.0682	9.69507	10.6122	13.8533	26.1403
Length  128, alignments in bytes  4/ 0:	19.1772	10.6589	12.4265	15.1455	33.0562
Length  256, alignments in bytes  0/ 0:	23.1658	14.5593	17.1307	18.0104	53.3271
Length  256, alignments in bytes  3/ 2:	25.0814	18.0759	20.3099	24.7294	61.5383
Length  512, alignments in bytes  0/ 0:	31.9741	19.9054	21.6711	30.1714	103.284
Length  512, alignments in bytes  2/ 4:	35.0951	22.7853	24.1234	29.4956	147.997
Length 1024, alignments in bytes  0/ 0:	56.4198	29.437	28.8918	51.4222	230.782
Length 1024, alignments in bytes  1/ 6:	67.2316	39.7603	35.5868	51.4257	312.284
Length   16, alignments in bytes  1/ 2:	18.5916	8.72827	8.63586	6.18811	17.6464
Length   16, alignments in bytes  2/ 1:	10.9714	8.72791	8.62817	6.18274	15.6222
Length   16, alignments in bytes  1/ 1:	10.9711	8.71509	8.62415	6.17725	14.9397
Length   16, alignments in bytes  1/ 1:	10.9705	8.71509	8.63464	6.17078	14.9591
Length   32, alignments in bytes  2/ 4:	11.0114	8.26465	8.38782	10.3667	21.5435
Length   32, alignments in bytes  4/ 2:	10.978	6.85669	6.86108	11.3887	16.9581
Length   32, alignments in bytes  2/ 2:	10.9725	6.87463	6.85583	9.91614	16.4807
Length   32, alignments in bytes  2/ 2:	11.0267	6.86157	6.85693	9.88025	16.6237
Length   64, alignments in bytes  3/ 6:	15.514	9.88611	9.96411	11.0637	28.5481
Length   64, alignments in bytes  6/ 3:	15.4478	11.5901	11.6621	12.6879	21.2747
Length   64, alignments in bytes  3/ 3:	15.1855	8.62244	9.09778	9.87732	21.5204
Length   64, alignments in bytes  3/ 3:	15.1924	8.63513	9.10767	9.79663	21.541
Length  128, alignments in bytes  4/ 0:	19.2604	10.6208	12.1224	15.2268	33.5873
Length  128, alignments in bytes  0/ 4:	20.7627	11.1602	12.7761	14.5664	35.4386
Length  128, alignments in bytes  4/ 4:	20.4491	14.3479	13.0452	14.8207	33.6331
Length  128, alignments in bytes  4/ 4:	20.4366	14.3677	13.0529	14.7814	33.7067
Length  256, alignments in bytes  5/ 2:	24.9779	15.7814	19.8601	20.8942	64.52
Length  256, alignments in bytes  2/ 5:	26.1448	20.333	21.0874	20.9758	81.0927
Length  256, alignments in bytes  5/ 5:	25.1185	16.475	18.2745	18.9058	58.4443
Length  256, alignments in bytes  5/ 5:	25.1323	15.2385	18.2642	18.9086	58.4728
Length  512, alignments in bytes  6/ 4:	33.8322	24.7655	23.5957	28.2992	136.107
Length  512, alignments in bytes  4/ 6:	34.2819	28.552	27.2668	29.4926	146.754
Length  512, alignments in bytes  6/ 6:	32.1887	20.307	22.5905	30.17	139.974
Length  512, alignments in bytes  6/ 6:	32.3849	20.3082	22.5625	28.7948	133.955
Length 1024, alignments in bytes  7/ 6:	53.3339	40.0668	36.4395	50.7429	233.368
Length 1024, alignments in bytes  6/ 7:	66.8855	39.86	35.6628	52.1056	306.928
Length 1024, alignments in bytes  7/ 7:	60.3811	28.0614	28.8085	52.1106	233.833
Length 1024, alignments in bytes  7/ 7:	60.6348	27.9215	30.9781	50.7368	231.388
Length   16, alignments in bytes  0/ 4:	14.4462	8.7467	8.6051	6.18628	9.35571
Length   16, alignments in bytes  4/ 0:	10.9709	8.71777	8.61389	6.17908	15.4011
