                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	14.631	9.29659	10.6001	8.02777	13.1843
Length   16, n   16, alignment  1/ 1:	17.1034	8.83051	9.92781	8.02784	13.0904
Length   16, n   16, alignment  1/ 2:	14.7858	8.91212	9.63334	8.15057	13.1103
Length   16, n   16, alignment  2/ 1:	14.81	8.83056	9.90695	8.02782	13.0795
Length    2, n    4, alignment  7/ 2:	15.8092	13.7007	12.8925	12.8446	16.4702
Length    4, n    2, alignment  2/ 7:	14.0089	9.65102	9.66542	8.02792	13.5944
Length    2, n    4, alignment  7/ 2:	16.7488	13.6542	12.8508	12.8445	16.4726
Length    4, n    2, alignment  2/ 7:	14.0585	9.63333	9.68512	8.02801	14.534
Length   16, n   16, alignment  2/ 2:	14.7757	8.83644	9.63335	8.24745	13.1828
Length   16, n   16, alignment  2/ 2:	14.4566	8.83047	9.64217	8.02772	13.0485
Length   16, n   16, alignment  2/ 4:	14.8124	8.8366	9.63336	8.03726	13.0576
Length   16, n   16, alignment  4/ 2:	14.456	8.83055	9.63891	8.02771	12.9556
Length    4, n    8, alignment  6/ 4:	16.2715	13.9179	13.9882	12.8501	16.9332
Length    8, n    4, alignment  4/ 6:	14.694	8.83077	9.66238	8.02788	13.2128
Length    4, n    8, alignment  6/ 4:	16.6668	13.924	13.9989	12.8525	16.671
Length    8, n    4, alignment  4/ 6:	14.7169	8.83065	9.63944	8.02784	13.2014
Length   16, n   16, alignment  3/ 3:	14.7948	8.83054	9.63318	8.03528	13.2341
Length   16, n   16, alignment  3/ 3:	14.6491	8.87475	9.63325	8.02769	13
Length   16, n   16, alignment  3/ 6:	14.8151	8.83056	9.63976	8.02773	13.1253
Length   16, n   16, alignment  6/ 3:	14.8157	8.86044	9.63334	8.02767	12.9672
Length    8, n   16, alignment  5/ 6:	16.3943	12.8446	12.8539	12.8513	16.0567
Length   16, n    8, alignment  6/ 5:	14.6011	9.64046	10.4364	8.02801	12.9501
Length    8, n   16, alignment  5/ 6:	16.2877	12.8445	12.8502	12.85	16.5718
Length   16, n    8, alignment  6/ 5:	14.6215	9.63331	10.4419	8.02779	13.1459
Length   16, n   16, alignment  4/ 4:	14.7897	8.83061	9.63937	8.02776	13.1792
Length   16, n   16, alignment  4/ 4:	14.456	8.83619	9.63323	8.02771	13.3269
Length   16, n   16, alignment  4/ 0:	14.8133	8.83056	9.63895	8.02771	13.3174
Length   16, n   16, alignment  0/ 4:	14.4502	8.83619	9.63326	8.03392	12.9507
Length   16, n   32, alignment  4/ 0:	16.8697	12.3431	13.653	13.6526	16.6514
Length   32, n   16, alignment  0/ 4:	14.8582	8.0359	8.02791	8.02768	13.0029
Length   16, n   32, alignment  4/ 0:	16.9392	12.3691	13.653	13.6541	16.4581
Length   32, n   16, alignment  0/ 4:	14.7652	8.02808	8.03346	8.02766	13.0333
Length   16, n   16, alignment  5/ 5:	14.8121	8.83074	9.63327	8.03336	13.0007
Length   16, n   16, alignment  5/ 5:	14.8604	8.83047	9.63879	8.02767	13.1875
Length   16, n   16, alignment  5/ 2:	14.7539	8.83048	9.63324	8.03384	13.5141
Length   16, n   16, alignment  2/ 5:	14.8291	8.83629	9.63336	8.0277	13.078
Length   32, n   64, alignment  3/ 2:	19.6249	11.283	12.0473	15.8729	21.104
Length   64, n   32, alignment  2/ 3:	13.1151	8.84671	8.83082	8.84399	13.2715
Length   32, n   64, alignment  3/ 2:	20.0605	11.286	12.0418	15.8712	19.4906
Length   64, n   32, alignment  2/ 3:	13.0168	8.83064	8.83052	8.84515	13.0386
Length   16, n   16, alignment  6/ 6:	14.8332	8.8307	9.63938	8.02767	13.1837
Length   16, n   16, alignment  6/ 6:	14.456	8.83055	9.63328	8.03322	13.046
Length   16, n   16, alignment  6/ 4:	14.8704	8.85287	9.63324	8.02778	13.1918
Length   16, n   16, alignment  4/ 6:	14.7072	8.83046	9.64029	8.02769	13.1918
Length   64, n  128, alignment  2/ 4:	18.8652	16.9547	16.1299	19.0701	18.631
Length  128, n   64, alignment  4/ 2:	15.7028	12.023	12.0472	13.9282	16.0463
Length   64, n  128, alignment  2/ 4:	18.6325	17.1188	16.1308	19.0778	18.4529
Length  128, n   64, alignment  4/ 2:	16.0493	10.9721	12.0473	13.9699	16.9228
Length   16, n   16, alignment  7/ 7:	14.5086	8.83618	9.63341	8.02766	13.2048
