                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	12.1852	7.2251	8.48163	6.7379	11.1823
Length   16, n   16, alignment  1/ 1:	12.3735	7.6067	8.32091	6.9324	11.3438
Length   16, n   16, alignment  1/ 2:	12.6484	7.69388	8.26199	6.85298	11.3164
Length   16, n   16, alignment  2/ 1:	12.803	7.72669	8.31528	6.95312	11.3293
Length    2, n    4, alignment  7/ 2:	14.2167	11.952	11.0394	10.9646	13.2133
Length    4, n    2, alignment  2/ 7:	12.4473	8.24015	8.22388	6.87289	11.8808
Length    2, n    4, alignment  7/ 2:	13.9804	11.7701	10.9705	10.904	13.3613
Length    4, n    2, alignment  2/ 7:	11.8119	8.22363	8.22376	6.8582	11.2942
Length   16, n   16, alignment  2/ 2:	12.651	7.53902	8.22928	6.85302	11.3226
Length   16, n   16, alignment  2/ 2:	12.925	7.72665	8.43519	7.01772	11.2211
Length   16, n   16, alignment  2/ 4:	12.5763	7.71045	8.2236	6.85293	11.3953
Length   16, n   16, alignment  4/ 2:	12.8291	7.72768	8.31023	6.92713	11.2989
Length    4, n    8, alignment  6/ 4:	14.5606	12.1813	11.976	10.9653	14.4653
Length    8, n    4, alignment  4/ 6:	12.7338	7.66161	8.22361	6.89919	11.2371
Length    4, n    8, alignment  6/ 4:	14.652	12.0942	12.0224	10.97	13.8685
Length    8, n    4, alignment  4/ 6:	12.4776	7.5384	8.4025	7.02441	11.3073
Length   16, n   16, alignment  3/ 3:	13.1142	7.70145	8.22856	6.853	11.3933
Length   16, n   16, alignment  3/ 3:	12.9878	7.73202	8.42918	6.91154	11.2706
Length   16, n   16, alignment  3/ 6:	12.9638	7.73149	8.38509	6.85756	11.3183
Length   16, n   16, alignment  6/ 3:	12.7911	7.72682	8.42921	7.0295	11.5073
Length    8, n   16, alignment  5/ 6:	14.3564	11.0374	11.1228	10.9695	14.1362
Length   16, n    8, alignment  6/ 5:	12.6816	8.2908	8.91627	6.85303	11.2965
Length    8, n   16, alignment  5/ 6:	14.3871	11.2429	10.9649	10.97	14.3529
Length   16, n    8, alignment  6/ 5:	12.7248	8.42922	8.93969	6.85303	11.2016
Length   16, n   16, alignment  4/ 4:	12.9397	7.63815	8.40657	6.95354	11.2791
Length   16, n   16, alignment  4/ 4:	12.9775	7.74913	8.42919	6.96052	11.3301
Length   16, n   16, alignment  4/ 0:	12.6908	7.68705	8.22357	6.90799	11.3601
Length   16, n   16, alignment  0/ 4:	12.8435	7.578	8.22907	6.8529	11.4596
Length   16, n   32, alignment  4/ 0:	14.8151	10.7942	11.6588	11.6547	14.296
Length   32, n   16, alignment  0/ 4:	12.5606	7.0411	7.01957	6.853	11.3814
Length   16, n   32, alignment  4/ 0:	15.2647	10.796	11.6501	11.6548	14.4575
Length   32, n   16, alignment  0/ 4:	12.9095	7.03102	6.8584	6.85289	11.5043
Length   16, n   16, alignment  5/ 5:	12.6901	7.73199	8.39054	6.85289	11.2147
Length   16, n   16, alignment  5/ 5:	12.9646	7.73151	8.30319	6.99424	11.3602
Length   16, n   16, alignment  5/ 2:	12.7486	7.63259	8.42923	6.89577	11.1457
