                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	23.9908	7.38531	7.69781	6.59801	23.7715
Length   16, n   16, alignment  1/ 1:	23.666	7.23344	7.8496	6.63066	24.006
Length   16, n   16, alignment  1/ 2:	23.4397	7.16098	7.89396	6.53416	23.7312
Length   16, n   16, alignment  2/ 1:	23.5695	7.06744	7.84105	6.55439	23.3368
Length    2, n    4, alignment  7/ 2:	26.2155	11.1081	10.5017	10.4549	26.1363
Length    4, n    2, alignment  2/ 7:	25.2302	7.66335	7.75998	6.53425	25.3294
Length    2, n    4, alignment  7/ 2:	25.9153	11.0611	10.4548	10.3959	26.2676
Length    4, n    2, alignment  2/ 7:	25.1673	7.78497	7.80916	6.53442	25.3842
Length   16, n   16, alignment  2/ 2:	23.2875	7.18776	7.84121	6.53877	23.664
Length   16, n   16, alignment  2/ 2:	23.5449	7.02442	7.76658	6.61602	24.1129
Length   16, n   16, alignment  2/ 4:	23.5042	7.02426	7.79405	6.53416	22.9934
Length   16, n   16, alignment  4/ 2:	23.49	7.02428	7.76478	6.5993	24.116
Length    4, n    8, alignment  6/ 4:	26.095	24.131	24.5126	9.99606	25.8787
Length    8, n    4, alignment  4/ 6:	25.0107	7.5601	7.67035	6.475	25.5279
Length    4, n    8, alignment  6/ 4:	26.106	24.1905	24.4578	9.9557	25.7792
Length    8, n    4, alignment  4/ 6:	25.0436	7.0244	7.66751	6.57099	25.7557
Length   16, n   16, alignment  3/ 3:	23.4463	7.0287	7.78783	6.53429	23.6954
Length   16, n   16, alignment  3/ 3:	23.5151	7.06634	7.84109	6.53859	23.8086
Length   16, n   16, alignment  3/ 6:	23.4631	7.11919	7.84557	6.53415	23.2425
Length   16, n   16, alignment  6/ 3:	23.4099	7.08736	7.82026	6.53418	22.7903
Length    8, n   16, alignment  5/ 6:	24.1266	24.1075	23.5677	9.99448	23.4903
Length   16, n    8, alignment  6/ 5:	23.4299	7.69773	8.51641	6.53443	22.6896
Length    8, n   16, alignment  5/ 6:	23.9103	24.0073	23.6774	9.99008	23.85
Length   16, n    8, alignment  6/ 5:	23.2435	7.84562	8.49449	6.53431	22.2585
Length   16, n   16, alignment  4/ 4:	23.6774	7.10076	7.94854	6.53867	23.1116
Length   16, n   16, alignment  4/ 4:	23.5163	7.02426	7.79399	6.5404	23.8776
Length   16, n   16, alignment  4/ 0:	23.4284	7.03855	7.84611	6.60151	23.9076
Length   16, n   16, alignment  0/ 4:	23.6672	7.07459	7.84546	6.53416	23.814
Length   16, n   32, alignment  4/ 0:	24.4325	19.8556	20.4439	10.6188	24.1901
Length   32, n   16, alignment  0/ 4:	23.6167	6.38593	6.49572	6.59901	23.8895
Length   16, n   32, alignment  4/ 0:	24.5824	19.9422	20.5203	10.6187	24.2706
Length   32, n   16, alignment  0/ 4:	22.6864	6.53441	6.5344	6.5551	23.971
Length   16, n   16, alignment  5/ 5:	23.3238	7.07774	7.8456	6.5342	23.953
Length   16, n   16, alignment  5/ 5:	22.4523	7.1365	7.84547	6.53415	23.101
Length   16, n   16, alignment  5/ 2:	22.4883	7.19247	7.84103	6.53418	22.1475
Length   16, n   16, alignment  2/ 5:	22.6717	7.23032	7.84106	6.66174	24.0084
Length   32, n   64, alignment  3/ 2:	26.9611	11.0819	10.925	19.7509	25.182
Length   64, n   32, alignment  2/ 3:	23.8061	7.18797	7.19317	7.34265	24.3594
Length   32, n   64, alignment  3/ 2:	27.3294	11.0851	10.8497	19.9275	25.3501
Length   64, n   32, alignment  2/ 3:	23.8585	7.18773	7.26605	7.36536	24.2745
Length   16, n   16, alignment  6/ 6:	23.5429	7.02431	7.7895	6.53418	23.583
Length   16, n   16, alignment  6/ 6:	23.5533	7.18719	7.7789	6.54301	20.3705
Length   16, n   16, alignment  6/ 4:	23.674	7.19207	7.94594	6.68973	20.7835
Length   16, n   16, alignment  4/ 6:	23.9309	7.07939	7.83975	6.64396	20.5745
Length   64, n  128, alignment  2/ 4:	29.6478	20.7227	21.8762	20.8629	25.9756
Length  128, n   64, alignment  4/ 2:	14.1534	9.98519	10.0788	12.5504	13.2042
Length   64, n  128, alignment  2/ 4:	30.9501	21.2421	22.0646	20.7495	26.0559
Length  128, n   64, alignment  4/ 2:	13.0132	10.1734	10.1619	12.5293	13.0785
Length   16, n   16, alignment  7/ 7:	24.8169	7.36337	8.02781	6.68972	24.1804
Length   16, n   16, alignment  7/ 7:	23.7622	7.02429	7.80094	6.5637	23.7162
Length   16, n   16, alignment  7/ 6:	23.3113	7.18769	7.84107	6.53858	23.7329
Length   16, n   16, alignment  6/ 7:	23.2355	7.18775	7.84589	6.53418	21.0815
Length  128, n  256, alignment  1/ 6:	30.4594	20.777	21.416	26.3342	30.7434
Length  256, n  128, alignment  6/ 1:	18.401	14.7314	14.6249	20.0733	16.7457
Length  128, n  256, alignment  1/ 6:	31.7314	21.2857	21.4841	26.7397	29.8327
Length  256, n  128, alignment  6/ 1:	16.3581	14.8651	14.612	19.9867	17.0048
Length    8, n   16, alignment  0/ 0:	25.6829	24.6943	24.0547	10.1029	22.9982
Length   32, n   16, alignment  0/ 0:	23.42	6.52285	6.54096	6.63123	24.053
Length    8, n   16, alignment  7/ 2:	24.2477	23.9992	23.7355	10.0361	23.6624
Length   32, n   16, alignment  7/ 2:	23.5117	7.06494	7.18765	6.53425	23.6328
Length   16, n   32, alignment  0/ 0:	24.477	20.0593	20.5608	10.6597	23.0329
Length   64, n   32, alignment  0/ 0:	23.6076	7.18766	7.19225	7.18767	24.0022
Length   16, n   32, alignment  6/ 4:	24.5576	20.0685	20.6822	10.861	22.6943
Length   64, n   32, alignment  6/ 4:	23.804	7.18763	7.19212	7.24226	24.0824
Length   32, n   64, alignment  0/ 0:	25.1903	11.0774	10.8219	19.2887	25.3842
Length  128, n   64, alignment  0/ 0:	13.3314	7.35891	7.41636	10.0705	11.7218
Length   32, n   64, alignment  5/ 6:	28.6005	11.9862	12.04	20.0951	25.1852
Length  128, n   64, alignment  5/ 6:	13.3296	10.0518	10.0838	13.526	12.8863
Length   64, n  128, alignment  0/ 0:	26.8231	20.7469	21.1658	20.4737	25.29
Length  256, n  128, alignment  0/ 0:	15.431	11.6274	11.3557	14.7915	15.1302
