                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	11.5831	7.37756	8.36329	6.73994	11.0252
Length   16, n   16, alignment  1/ 1:	11.5789	7.53822	7.69723	6.85297	11.1224
Length   16, n   16, alignment  1/ 2:	11.9075	7.55403	7.55112	6.85326	11.7282
Length   16, n   16, alignment  2/ 1:	11.6952	7.56277	7.67766	6.85295	11.0347
Length    2, n    4, alignment  7/ 2:	13.59	11.4309	11.7487	11.6977	13.2059
Length    4, n    2, alignment  2/ 7:	10.8733	7.53851	8.29881	6.84748	11.5634
Length    2, n    4, alignment  7/ 2:	14.2471	10.9785	11.4111	11.4239	13.1653
Length    4, n    2, alignment  2/ 7:	10.6462	7.69104	8.22888	6.85306	10.8427
Length   16, n   16, alignment  2/ 2:	11.652	7.54358	7.53835	6.85316	11.1015
Length   16, n   16, alignment  2/ 2:	11.6614	7.54319	7.53824	6.85293	11.2831
Length   16, n   16, alignment  2/ 4:	11.6681	7.57917	7.6305	6.91305	11.1748
Length   16, n   16, alignment  4/ 2:	11.8306	7.6548	7.53822	6.85774	11.3084
Length    4, n    8, alignment  6/ 4:	15.8472	12.0191	11.9663	11.65	14.0976
Length    8, n    4, alignment  4/ 6:	11.1791	7.53835	8.22364	6.884	11.0914
Length    4, n    8, alignment  6/ 4:	14.3057	11.8631	11.9572	11.6549	14.1157
Length    8, n    4, alignment  4/ 6:	11.0068	7.53843	8.22372	6.85775	11.4429
Length   16, n   16, alignment  3/ 3:	11.6676	7.53834	7.56289	6.85291	11.215
Length   16, n   16, alignment  3/ 3:	11.6926	7.53821	7.70534	6.85289	11.2253
Length   16, n   16, alignment  3/ 6:	11.6675	7.69073	7.54304	6.96453	11.2816
Length   16, n   16, alignment  6/ 3:	11.662	7.63191	7.60415	6.85292	11.2606
Length    8, n   16, alignment  5/ 6:	14.1267	10.9696	10.1685	11.6573	14.1079
Length   16, n    8, alignment  6/ 5:	11.0258	8.22364	7.54383	6.85307	11.3144
Length    8, n   16, alignment  5/ 6:	14.3751	10.9723	10.1505	11.6548	14.0347
Length   16, n    8, alignment  6/ 5:	11.421	8.22367	7.5432	6.8531	11.8781
Length   16, n   16, alignment  4/ 4:	11.9235	7.5469	7.53822	6.85298	11.2301
Length   16, n   16, alignment  4/ 4:	11.6516	7.56706	7.55572	6.853	11.1667
Length   16, n   16, alignment  4/ 0:	11.9407	7.65783	7.5689	6.8701	11.1293
Length   16, n   16, alignment  0/ 4:	11.9499	7.53823	7.62277	6.93592	11.2605
Length   16, n   32, alignment  4/ 0:	14.9341	10.7006	10.5367	11.6502	14.1889
Length   32, n   16, alignment  0/ 4:	11.6569	6.85305	6.85307	6.85766	11.2553
Length   16, n   32, alignment  4/ 0:	14.8427	10.7256	10.5319	11.65	14.241
Length   32, n   16, alignment  0/ 4:	11.6783	6.85318	6.85318	6.85294	11.039
Length   16, n   16, alignment  5/ 5:	11.6563	7.53834	7.53823	6.85787	11.1671
Length   16, n   16, alignment  5/ 5:	11.6554	7.53825	7.66122	6.88933	11.0841
Length   16, n   16, alignment  5/ 2:	11.6619	7.65863	7.59876	6.99662	11.2064
Length   16, n   16, alignment  2/ 5:	11.6644	7.71026	7.65409	6.96408	11.05
Length   32, n   64, alignment  3/ 2:	18.639	9.78411	10.3659	12.5536	18.6403
Length   64, n   32, alignment  2/ 3:	10.3981	7.73222	7.62005	7.45443	10.186
Length   32, n   64, alignment  3/ 2:	18.5494	10.5366	10.3248	12.6906	18.6317
