                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length    0/   0, alignment  0/ 0:	25.2204	23.3533	23.9882	22.8397	14.7187
Length    0/   0, alignment  0/ 0:	24.9916	23.3422	24.0739	21.919	14.2602
Length    0/   0, alignment  0/ 0:	25.1211	23.8854	23.9889	21.9342	14.313
Length    0/   0, alignment  0/ 0:	25.361	23.3454	24.0011	21.9196	14.383
Length    1/   1, alignment  0/ 0:	25.1722	23.3596	23.9882	22.0026	15.4542
Length    1/   1, alignment  0/ 0:	25.2627	23.358	24.0205	21.9101	15.454
Length    1/   1, alignment  0/ 1:	25.2964	23.3738	23.9883	21.9265	7.43253
Length    1/   1, alignment  1/ 0:	24.9554	23.3529	23.9884	21.9657	15.6395
Length    2/   2, alignment  0/ 0:	25.3854	24.0418	24.7287	22.69	16.2133
Length    2/   2, alignment  0/ 0:	25.1784	24.1418	24.6852	22.6955	16.2476
Length    2/   2, alignment  0/ 2:	25.2979	24.0911	24.7305	22.7389	10.2389
Length    2/   2, alignment  2/ 0:	24.9676	24.042	24.6823	22.7148	16.3438
Length    3/   3, alignment  0/ 0:	25.1496	23.3628	24.0453	21.9532	16.353
Length    3/   3, alignment  0/ 0:	25.2591	23.3681	24.0324	21.9548	16.3721
Length    3/   3, alignment  0/ 3:	25.4354	23.4172	24.0867	22.0334	11.5045
Length    3/   3, alignment  3/ 0:	24.956	23.3749	24.0416	21.9472	18.3979
Length    4/   4, alignment  0/ 0:	32.2742	31.0622	31.7129	22.644	18.4527
Length    4/   4, alignment  0/ 0:	32.0303	31.046	31.7315	22.6438	18.4517
Length    4/   4, alignment  0/ 4:	25.2423	24.1186	24.8078	22.6479	15.4937
Length    4/   4, alignment  4/ 0:	31.9587	31.0099	31.6968	22.6019	19.9697
Length    5/   5, alignment  0/ 0:	32.0452	31.0425	31.7107	22.6721	19.3738
Length    5/   5, alignment  0/ 0:	31.9674	31.0756	31.7101	22.6471	19.3797
Length    5/   5, alignment  0/ 5:	25.256	24.1176	24.7997	22.6637	16.8653
Length    5/   5, alignment  5/ 0:	31.8864	31.0096	31.6953	22.5925	20.1276
Length    6/   6, alignment  0/ 0:	32.121	31.0425	31.7096	22.6808	19.9976
Length    6/   6, alignment  0/ 0:	32.4788	31.0627	31.711	22.6611	20.1357
Length    6/   6, alignment  0/ 6:	25.1849	24.1147	24.8064	22.6277	19.1898
Length    6/   6, alignment  6/ 0:	31.9673	31.0289	31.6789	22.6059	20.8638
Length    7/   7, alignment  0/ 0:	32.0848	31.0432	31.728	21.9376	19.9134
Length    7/   7, alignment  0/ 0:	32.0199	31.0426	31.7107	21.9618	19.7366
Length    7/   7, alignment  0/ 7:	25.3315	24.1181	24.8241	21.9502	19.8579
Length    7/   7, alignment  7/ 0:	27.2109	26.1303	26.7696	21.9218	20.6028
Length    8/   8, alignment  0/ 0:	25.4255	24.1609	24.8888	22.8045	16.9462
Length    8/   8, alignment  0/ 0:	25.2598	24.1602	24.9355	22.6332	16.9483
Length    8/   8, alignment  0/ 0:	25.2281	24.4385	24.8855	22.6309	16.9919
Length    8/   8, alignment  0/ 0:	25.1025	24.1615	24.8931	22.6683	16.9536
Length    9/   9, alignment  0/ 0:	25.212	24.1617	24.934	22.6138	16.9384
Length    9/   9, alignment  0/ 0:	25.3811	24.2051	24.9008	22.6093	16.9567
Length    9/   9, alignment  0/ 1:	25.2055	24.1602	24.8836	22.6295	17.7268
Length    9/   9, alignment  1/ 0:	25.2999	24.1134	24.8562	22.5612	24.3153
Length   10/  10, alignment  0/ 0:	25.2918	24.162	24.8971	22.6273	17.7539
Length   10/  10, alignment  0/ 0:	25.2076	24.1639	24.8704	22.6413	17.7001
Length   10/  10, alignment  0/ 2:	25.1968	24.1844	24.8825	22.6268	18.5011
Length   10/  10, alignment  2/ 0:	25.1746	24.1086	24.8421	22.5491	23.5915
Length   11/  11, alignment  0/ 0:	25.4333	24.1619	24.9212	22.6275	18.3918
Length   11/  11, alignment  0/ 0:	25.161	24.1818	24.8872	22.6205	18.3915
Length   11/  11, alignment  0/ 3:	25.2901	24.1649	24.8755	22.6448	19.3283
Length   11/  11, alignment  3/ 0:	25.1582	24.1099	24.8606	22.5727	23.2711
Length   12/  12, alignment  0/ 0:	25.2141	24.1793	24.8786	22.6253	19.3412
Length   12/  12, alignment  0/ 0:	25.2118	24.1615	24.8793	22.6427	19.2603
Length   12/  12, alignment  0/ 4:	25.2343	24.1693	24.9104	22.7484	18.2641
Length   12/  12, alignment  4/ 0:	25.2042	24.1661	24.881	22.6068	21.1814
