                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	11.4278	7.37749	9.66353	6.78979	12.171
Length   16, n   16, alignment  1/ 1:	13.6196	7.65219	7.53833	6.86786	17.3011
Length   16, n   16, alignment  1/ 2:	13.2848	7.53821	7.53834	6.93613	11.3357
Length   16, n   16, alignment  2/ 1:	11.676	7.53827	7.53834	7.04691	12.6234
Length    2, n    4, alignment  7/ 2:	13.9161	11.2971	11.6503	11.6687	13.4254
Length    4, n    2, alignment  2/ 7:	10.9384	7.5383	8.23801	6.85304	11.2387
Length    2, n    4, alignment  7/ 2:	13.3742	10.9703	11.681	11.3887	12.8126
Length    4, n    2, alignment  2/ 7:	10.6233	8.24127	8.22371	6.86648	11.6072
Length   16, n   16, alignment  2/ 2:	11.6682	7.53829	7.56165	6.85308	11.0806
Length   16, n   16, alignment  2/ 2:	11.6602	7.53828	7.5432	6.85294	11.1684
Length   16, n   16, alignment  2/ 4:	11.808	7.6148	7.61455	6.85295	11.0959
Length   16, n   16, alignment  4/ 2:	11.8684	7.62926	7.53831	6.85294	11.2947
Length    4, n    8, alignment  6/ 4:	14.4707	12.0691	12.0048	11.6501	14.0183
Length    8, n    4, alignment  4/ 6:	11.1506	7.59265	8.22368	6.85302	11.1429
Length    4, n    8, alignment  6/ 4:	14.0589	11.8513	11.9656	11.6502	14.186
Length    8, n    4, alignment  4/ 6:	11.0215	7.56189	8.22359	6.85302	11.1448
Length   16, n   16, alignment  3/ 3:	11.6537	7.54318	7.56031	6.99994	11.399
Length   16, n   16, alignment  3/ 3:	11.9345	7.53826	7.68983	6.85968	11.315
Length   16, n   16, alignment  3/ 6:	11.9467	7.59184	7.53832	6.96119	11.1231
Length   16, n   16, alignment  6/ 3:	11.8186	7.7267	7.60981	6.8529	11.3082
Length    8, n   16, alignment  5/ 6:	21.3256	18.3596	17.1197	18.081	23.5354
Length   16, n    8, alignment  6/ 5:	17.8121	13.2192	12.6784	9.70613	17.3335
Length    8, n   16, alignment  5/ 6:	22.2399	18.2405	16.6604	17.1601	21.9575
Length   16, n    8, alignment  6/ 5:	17.2963	13.4826	12.4931	9.82556	17.5696
Length   16, n   16, alignment  4/ 4:	18.4763	12.8805	13.4257	9.8878	17.2728
Length   16, n   16, alignment  4/ 4:	17.3259	10.5591	9.79485	6.87842	11.3474
Length   16, n   16, alignment  4/ 0:	11.6847	7.56358	7.55535	6.9577	11.31
Length   16, n   16, alignment  0/ 4:	11.8214	7.72674	7.83929	6.90566	11.112
Length   16, n   32, alignment  4/ 0:	15.0679	10.7732	10.5038	11.6548	14.1477
Length   32, n   16, alignment  0/ 4:	11.9446	6.98798	6.85304	6.85761	11.2287
Length   16, n   32, alignment  4/ 0:	15.1828	10.7981	10.5488	11.6552	13.9373
Length   32, n   16, alignment  0/ 4:	11.6962	7.00341	6.98333	6.85799	11.1945
Length   16, n   16, alignment  5/ 5:	11.8413	7.62943	7.74969	6.86822	11.3408
