                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length    2/   2, alignment  0/ 2, N    2:	26.6882	23.7326	23.4172	21.3167	24.5075
Length    4/   4, alignment  0/ 0, N    2:	24.633	22.8718	23.4784	21.0928	24.8575
Length    4/   4, alignment  4/ 0, N    2:	24.2441	22.349	22.5839	22.1687	27.2478
Length    8/   8, alignment  0/ 0, N    2:	28.0955	22.3494	22.7664	20.6779	23.7114
Length    8/   8, alignment  0/ 0, N    2:	24.173	22.4349	22.562	20.6689	23.5132
Length   16/  16, alignment  0/ 0, N    2:	23.514	21.8538	22.3983	21.1363	24.0311
Length   16/  16, alignment  7/ 2, N    2:	25.2384	22.4571	22.9453	22.4902	24.2728
Length   16/   4, alignment  0/ 0, N    2:	25.4445	21.8535	22.0646	20.0291	23.4946
Length   16/   4, alignment  7/ 2, N    2:	24.0694	23.1618	22.7163	19.9805	23.4732
Length   32/  32, alignment  0/ 0, N    2:	26.0457	21.8549	22.479	20.667	23.8396
Length   32/  32, alignment  6/ 4, N    2:	23.8322	21.8645	22.4777	20.6053	23.8198
Length   32/   8, alignment  0/ 0, N    2:	23.5708	21.2315	22.1107	20.5061	24.2014
Length   32/   8, alignment  6/ 4, N    2:	24.0842	21.7117	22.3497	20.4889	24.1465
Length   64/  64, alignment  0/ 0, N    2:	24.3641	22.3377	22.4803	20.7131	24.4768
Length   64/  64, alignment  5/ 6, N    2:	24.4786	22.5043	22.9889	21.2462	24.4546
Length   64/  16, alignment  0/ 0, N    2:	24.1761	21.8199	22.3528	21.0917	24.1784
Length   64/  16, alignment  5/ 6, N    2:	23.7014	21.8182	22.3489	22.526	23.6428
Length  128/ 128, alignment  0/ 0, N    2:	23.7968	21.9076	22.9247	21.1409	24.4303
Length  128/ 128, alignment  4/ 0, N    2:	24.8221	22.3993	23.3724	21.0795	24.3058
Length  128/  32, alignment  0/ 0, N    2:	24.3784	23.0507	22.991	21.0752	24.6241
Length  128/  32, alignment  4/ 0, N    2:	24.3573	22.4581	22.9875	21.9377	26.439
Length  256/ 256, alignment  0/ 0, N    2:	27.9269	22.3522	22.9916	21.0786	27.4813
Length  256/ 256, alignment  3/ 2, N    2:	27.3081	22.3523	22.9878	21.0758	27.6202
Length  256/  64, alignment  0/ 0, N    2:	24.4035	22.4938	22.9925	21.304	24.9019
Length  256/  64, alignment  3/ 2, N    2:	24.4272	22.4799	22.9882	21.198	24.3709
Length  512/ 512, alignment  0/ 0, N    2:	27.4798	22.3519	22.9933	23.7892	27.4814
