                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	16.3838	5.6355	5.66455	5.49817	5.48523
Length    0, alignments in bytes  0/ 0:	10.2943	5.63257	6.1803	5.49597	5.50049
Length    0, alignments in bytes  0/ 0:	10.2903	5.61108	6.18384	5.48474	5.49243
Length    0, alignments in bytes  0/ 0:	10.396	5.62219	5.64392	5.49023	5.48083
Length    1, alignments in bytes  0/ 0:	10.5948	5.63379	5.63806	5.49768	5.50635
Length    1, alignments in bytes  0/ 0:	10.7312	6.18103	6.1897	5.48877	5.50354
Length    1, alignments in bytes  0/ 1:	10.2135	6.17188	5.64746	5.49097	5.48438
Length    1, alignments in bytes  1/ 0:	10.0554	5.6239	5.65039	5.49243	5.12036
Length    2, alignments in bytes  0/ 0:	10.075	6.31677	6.75464	6.55566	8.24121
Length    2, alignments in bytes  0/ 0:	10.1901	6.01086	6.42261	6.29175	6.54968
Length    2, alignments in bytes  0/ 2:	9.45801	5.94861	6.22302	6.698	6.39746
Length    2, alignments in bytes  2/ 0:	9.06482	5.11401	5.12146	5.11157	6.40344
Length    3, alignments in bytes  0/ 0:	9.75769	5.1261	5.11804	5.12036	6.40942
Length    3, alignments in bytes  0/ 0:	10.8718	5.76501	5.12512	5.12573	6.40271
Length    3, alignments in bytes  0/ 3:	10.8612	4.52856	5.12122	5.11548	6.40088
Length    3, alignments in bytes  3/ 0:	10.8599	4.61548	5.12146	5.10681	8.08582
Length    4, alignments in bytes  0/ 0:	10.8646	7.99792	8.11133	5.85828	7.67969
Length    4, alignments in bytes  0/ 0:	10.8704	7.99609	8.10535	5.86328	8.31799
Length    4, alignments in bytes  0/ 4:	10.8597	6.05737	6.34595	5.87097	8.30884
Length    4, alignments in bytes  4/ 0:	10.8639	5.10974	5.11938	5.10803	8.32751
Length    5, alignments in bytes  0/ 0:	10.8608	8.17175	8.29126	6.78455	9.32922
Length    5, alignments in bytes  0/ 0:	11.1134	8.172	8.28259	6.80261	9.32825
Length    5, alignments in bytes  0/ 5:	11.1132	6.17969	6.49768	5.98975	8.49854
Length    5, alignments in bytes  5/ 0:	11.111	5.22803	5.24146	5.22571	8.53162
Length    6, alignments in bytes  0/ 0:	11.1122	8.17773	8.2915	7.50317	11.7766
Length    6, alignments in bytes  0/ 0:	11.1132	8.17249	8.29028	7.50806	11.7728
Length    6, alignments in bytes  0/ 6:	11.1129	6.19458	6.49768	5.84692	11.6305
Length    6, alignments in bytes  6/ 0:	11.1115	5.23804	5.75732	5.48755	9.80811
Length    7, alignments in bytes  0/ 0:	9.84753	7.17737	7.26062	5.23975	11.7747
Length    7, alignments in bytes  0/ 0:	11.129	8.76782	8.79187	5.49353	12.3506
Length    7, alignments in bytes  0/ 7:	11.8212	6.1947	6.49219	5.24377	11.7644
Length    7, alignments in bytes  7/ 0:	11.1127	5.22864	5.23779	5.22681	12.9496
Length    8, alignments in bytes  0/ 0:	11.6738	8.90833	8.76758	6.30176	5.54443
Length    8, alignments in bytes  0/ 0:	11.6498	8.37646	8.35559	6.70959	5.52161
Length    8, alignments in bytes  0/ 0:	11.6534	9.05933	8.84949	6.29407	5.51599
Length    8, alignments in bytes  0/ 0:	11.653	9.00586	8.7627	6.28857	5.51172
Length    9, alignments in bytes  0/ 0:	11.6528	9.01953	11.7251	7.1366	6.39917
Length    9, alignments in bytes  0/ 0:	11.5947	8.53101	8.33752	6.79626	6.10681
Length    9, alignments in bytes  0/ 1:	11.1132	8.44116	8.3457	7.3678	7.0459
Length    9, alignments in bytes  1/ 0:	11.1124	8.37695	8.44348	7.14478	15.5914
Length   10, alignments in bytes  0/ 0:	11.1122	8.47083	8.34558	7.51013	6.84839
Length   10, alignments in bytes  0/ 0:	11.1124	8.55017	8.34277	7.49817	6.95679
Length   10, alignments in bytes  0/ 2:	11.1119	8.40991	8.35657	7.33167	7.71606
Length   10, alignments in bytes  2/ 0:	11.1127	8.42224	8.45813	7.24768	15.5552
Length   11, alignments in bytes  0/ 0:	11.1124	8.53687	8.35242	6.85693	7.85803
Length   11, alignments in bytes  0/ 0:	11.113	8.38245	8.34558	7.57129	8.68066
Length   11, alignments in bytes  0/ 3:	11.113	8.42627	8.3457	7.34998	8.47876
Length   11, alignments in bytes  3/ 0:	11.1129	8.43567	8.45154	7.24939	17.0126
Length   12, alignments in bytes  0/ 0:	11.1122	8.49756	8.35864	7.5	8.69348
Length   12, alignments in bytes  0/ 0:	11.1139	8.53442	8.34656	7.5105	8.69922
Length   12, alignments in bytes  0/ 4:	11.1122	8.04102	8.16956	7.55542	8.9585
Length   12, alignments in bytes  4/ 0:	11.111	8.06702	8.16541	7.24377	11.2311
Length   13, alignments in bytes  0/ 0:	11.1127	8.51086	8.3418	7.5072	11.3956
Length   13, alignments in bytes  0/ 0:	11.1129	8.68469	8.35254	7.51282	11.3741
Length   13, alignments in bytes  0/ 5:	11.1122	8.04175	8.17151	7.56482	10.1304
Length   13, alignments in bytes  5/ 0:	11.1117	8.04053	8.16833	7.25488	12.2646
Length   14, alignments in bytes  0/ 0:	11.1129	8.90784	8.55005	7.68164	12.9774
