                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.9067	5.91553	6.04333	5.49817	5.86731
Length    0, alignments in bytes  0/ 0:	10.0487	5.52063	5.44055	5.37109	5.3606
Length    0, alignments in bytes  0/ 0:	10.1495	6.03137	5.45166	5.35974	5.36401
Length    0, alignments in bytes  0/ 0:	10.0424	5.49182	5.448	5.34985	5.36475
Length    1, alignments in bytes  0/ 0:	10.2706	6.02942	5.43848	5.35706	5.37146
Length    1, alignments in bytes  0/ 0:	10.386	5.49792	5.4353	5.3717	5.36194
Length    1, alignments in bytes  0/ 1:	9.85852	5.49072	5.43237	5.80664	5.22986
Length    1, alignments in bytes  1/ 0:	9.54602	5.37439	5.31531	5.23694	4.95508
Length    2, alignments in bytes  0/ 0:	9.67725	6.01941	6.03503	6.27466	6.5542
Length    2, alignments in bytes  0/ 0:	9.4342	6.01758	6.03284	6.26953	6.54565
Length    2, alignments in bytes  0/ 2:	9.71765	5.97363	6.37488	6.12195	6.39795
Length    2, alignments in bytes  2/ 0:	9.07825	5.1167	5.12073	5.11499	6.41455
Length    3, alignments in bytes  0/ 0:	10.0123	4.51294	5.12366	5.11145	6.41077
Length    3, alignments in bytes  0/ 0:	9.70471	5.75244	5.12585	5.11621	7.7168
Length    3, alignments in bytes  0/ 3:	10.7954	4.86792	5.49048	5.49255	6.86084
Length    3, alignments in bytes  3/ 0:	10.2623	5.11816	5.11353	5.11841	8.32349
Length    4, alignments in bytes  0/ 0:	9.58618	7.9906	7.99658	5.87842	8.31873
Length    4, alignments in bytes  0/ 0:	9.59973	7.98706	7.99329	5.87488	8.31506
Length    4, alignments in bytes  0/ 4:	9.58228	6.04639	6.11816	5.85767	8.30737
Length    4, alignments in bytes  4/ 0:	9.58557	5.11987	5.11035	5.11694	8.31812
Length    5, alignments in bytes  0/ 0:	9.67139	7.98315	7.99438	6.63586	9.1228
Length    5, alignments in bytes  0/ 0:	9.59753	7.98706	7.99353	6.64648	9.11853
Length    5, alignments in bytes  0/ 5:	9.59473	6.047	6.12537	5.8457	8.30701
Length    5, alignments in bytes  5/ 0:	9.59705	5.11804	5.11426	5.11816	9.59863
Length    6, alignments in bytes  0/ 0:	9.58337	7.9906	7.995	7.33264	11.5024
Length    6, alignments in bytes  0/ 0:	9.75513	7.98889	7.98438	7.33545	11.506
Length    6, alignments in bytes  0/ 6:	9.58521	6.05115	6.10645	5.71753	11.498
Length    6, alignments in bytes  6/ 0:	9.58484	5.11377	5.1167	5.11255	8.95361
Length    7, alignments in bytes  0/ 0:	9.99414	7.0061	6.96252	5.1095	11.5129
Length    7, alignments in bytes  0/ 0:	9.85083	6.99548	6.89307	5.11401	11.5067
Length    7, alignments in bytes  0/ 7:	9.88098	6.05237	6.90503	5.48621	9.57629
Length    7, alignments in bytes  7/ 0:	9.7998	5.11621	5.11218	5.11523	11.5117
Length    8, alignments in bytes  0/ 0:	9.89062	8.8656	9.56287	6.29602	5.54272
Length    8, alignments in bytes  0/ 0:	10.401	9.54956	8.57227	6.29492	5.50977
Length    8, alignments in bytes  0/ 0:	10.9667	8.78394	7.99207	5.86951	5.14075
Length    8, alignments in bytes  0/ 0:	10.8176	9.80176	8.55945	6.66479	5.64246
Length    9, alignments in bytes  0/ 0:	10.5944	9.00171	7.99133	6.62915	6.50134
Length    9, alignments in bytes  0/ 0:	11.0114	9.88403	8.57568	7.12183	6.33203
Length    9, alignments in bytes  0/ 1:	10.406	10.077	10.1943	8.58533	9.03516
Length    9, alignments in bytes  1/ 0:	18.8901	9.96143	9.75146	8.56604	21.9402
Length   10, alignments in bytes  0/ 0:	14.8418	9.85828	8.93567	7.96191	10.0857
Length   10, alignments in bytes  0/ 0:	14.9608	8.54651	7.99377	7.34595	6.79126
Length   10, alignments in bytes  0/ 2:	9.71826	8.26465	7.99231	7.17371	7.46802
Length   10, alignments in bytes  2/ 0:	9.64526	8.20618	8.04553	7.08606	15.3417
Length   11, alignments in bytes  0/ 0:	9.83301	8.31897	7.98584	6.69617	7.59106
Length   11, alignments in bytes  0/ 0:	9.80322	8.17297	9.81763	6.69836	7.57495
Length   11, alignments in bytes  0/ 3:	9.62329	8.15808	7.99597	7.17993	8.28931
Length   11, alignments in bytes  3/ 0:	9.69006	8.18738	8.04504	7.34351	16.6205
Length   12, alignments in bytes  0/ 0:	12.2937	8.21411	7.99915	7.3468	8.49707
Length   12, alignments in bytes  0/ 0:	9.7478	8.33044	7.99622	7.34814	8.49158
Length   12, alignments in bytes  0/ 4:	9.85742	7.85461	7.81775	7.39453	8.75586
Length   12, alignments in bytes  4/ 0:	9.85254	8.51318	7.99097	7.24915	11.217
Length   13, alignments in bytes  0/ 0:	9.84656	8.73486	8.17761	7.50195	11.379
Length   13, alignments in bytes  0/ 0:	10.105	8.36365	8.17639	7.51184	11.3882
Length   13, alignments in bytes  0/ 5:	9.9104	8.04724	8.01062	7.54285	10.1421
Length   13, alignments in bytes  5/ 0:	9.81738	8.03491	8.00464	7.24744	12.2367
