                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	11.3739	8.59776	11.7061	9.39348	11.0779
Length   16, n   16, alignment  1/ 1:	11.7988	7.55297	7.55842	6.89829	11.8054
Length   16, n   16, alignment  1/ 2:	12.0189	7.72677	7.68298	6.90704	11.3393
Length   16, n   16, alignment  2/ 1:	11.7474	7.72679	7.63503	6.94946	11.4868
Length    2, n    4, alignment  7/ 2:	13.6419	11.3647	11.703	11.5854	14.6072
Length    4, n    2, alignment  2/ 7:	10.6278	7.5384	8.23733	6.8672	11.0205
Length    2, n    4, alignment  7/ 2:	13.9332	10.9917	11.6501	11.4425	13.3421
Length    4, n    2, alignment  2/ 7:	10.8095	7.53849	8.23694	6.85302	11.6188
Length   16, n   16, alignment  2/ 2:	11.6762	7.55427	7.56736	6.86889	11.3494
Length   16, n   16, alignment  2/ 2:	11.7888	7.54395	7.604	6.93881	11.0389
Length   16, n   16, alignment  2/ 4:	11.9394	7.72419	7.53825	6.86343	11.3533
Length   16, n   16, alignment  4/ 2:	11.9697	7.62988	7.57803	7.02425	11.1257
Length    4, n    8, alignment  6/ 4:	14.4127	11.9449	11.9596	11.6503	14.1774
Length    8, n    4, alignment  4/ 6:	11.1448	7.76214	8.33875	6.85895	11.2996
Length    4, n    8, alignment  6/ 4:	14.2576	12.1491	11.9628	11.65	14.2083
Length    8, n    4, alignment  4/ 6:	11.298	7.74493	8.38119	6.85892	11.4356
Length   16, n   16, alignment  3/ 3:	11.6672	7.72678	7.63637	7.00479	11.1834
Length   16, n   16, alignment  3/ 3:	11.8928	7.62527	7.54298	6.85291	11.0979
Length   16, n   16, alignment  3/ 6:	11.8284	7.67903	7.64944	6.90421	11.2338
Length   16, n   16, alignment  6/ 3:	11.8687	7.64694	7.58025	6.96877	11.195
Length    8, n   16, alignment  5/ 6:	14.3448	11.2044	10.1683	11.6549	14.1263
Length   16, n    8, alignment  6/ 5:	11.0685	8.22852	7.565	6.97154	11.2426
Length    8, n   16, alignment  5/ 6:	14.549	11.0833	10.1439	11.6546	14.0911
Length   16, n    8, alignment  6/ 5:	11.3029	8.45227	7.58022	6.853	11.3953
Length   16, n   16, alignment  4/ 4:	11.8503	7.69882	7.53829	6.85294	11.384
Length   16, n   16, alignment  4/ 4:	11.9096	7.64876	7.58833	6.85301	11.4603
Length   16, n   16, alignment  4/ 0:	11.8035	7.65569	7.53825	6.85751	11.0968
Length   16, n   16, alignment  0/ 4:	11.9637	7.64967	7.57882	6.85788	11.1176
Length   16, n   32, alignment  4/ 0:	15.2455	10.7236	10.5313	11.6501	14.1428
Length   32, n   16, alignment  0/ 4:	11.8764	7.02452	6.90941	6.85766	11.3725
Length   16, n   32, alignment  4/ 0:	15.3454	10.7966	10.5386	11.6502	14.1313
Length   32, n   16, alignment  0/ 4:	11.7816	6.94239	7.04174	7.03027	11.2845
Length   16, n   16, alignment  5/ 5:	11.8361	7.72686	7.67905	6.85885	11.3029
Length   16, n   16, alignment  5/ 5:	11.9494	7.65301	7.67961	6.86421	11.1946
Length   16, n   16, alignment  5/ 2:	11.9064	7.7268	7.6757	6.85289	11.3085
Length   16, n   16, alignment  2/ 5:	11.8205	7.66483	7.543	6.85288	11.5147
Length   32, n   64, alignment  3/ 2:	18.8108	11.1184	10.2844	12.5548	18.7378
Length   64, n   32, alignment  2/ 3:	10.515	7.737	7.60856	7.50291	10.1872
Length   32, n   64, alignment  3/ 2:	19.5132	10.5349	10.5448	12.6462	18.3049
Length   64, n   32, alignment  2/ 3:	10.5162	7.74857	7.75302	7.56219	10.3451
Length   16, n   16, alignment  6/ 6:	11.9656	7.72677	7.73186	6.90127	11.3215
Length   16, n   16, alignment  6/ 6:	11.9306	7.6571	7.58017	6.85289	11.2798
Length   16, n   16, alignment  6/ 4:	11.8988	7.72351	7.53828	7.0039	11.3245
Length   16, n   16, alignment  4/ 6:	11.9867	7.732	7.59598	6.97368	11.0981
Length   64, n  128, alignment  2/ 4:	16.4937	14.1626	13.9027	15.8222	16.3848
Length  128, n   64, alignment  4/ 2:	14.0818	9.34576	10.5166	11.6647	12.774
Length   64, n  128, alignment  2/ 4:	16.4179	14.2712	13.9409	15.8999	16.2515
Length  128, n   64, alignment  4/ 2:	12.6884	9.92287	10.5364	11.8797	13.5852
Length   16, n   16, alignment  7/ 7:	12.059	7.73219	7.72683	6.93612	11.3002
Length   16, n   16, alignment  7/ 7:	11.8032	7.73837	7.61981	7.00487	11.2343
Length   16, n   16, alignment  7/ 6:	11.9623	7.73416	7.69238	6.8529	11.0339
Length   16, n   16, alignment  6/ 7:	11.846	7.72664	7.72672	7.00344	11.3901
Length  128, n  256, alignment  1/ 6:	21.8435	17.7161	17.1922	24.3315	21.6074
Length  256, n  128, alignment  6/ 1:	15.987	13.5154	13.1937	19.6899	15.7215
Length  128, n  256, alignment  1/ 6:	21.5204	17.7867	17.5874	24.8695	21.0314
Length  256, n  128, alignment  6/ 1:	16.1969	13.5748	13.2347	19.7446	15.7899
Length    8, n   16, alignment  0/ 0:	14.4783	11.2389	10.4138	11.6944	13.8762
Length   32, n   16, alignment  0/ 0:	11.9433	7.02831	6.85321	6.96267	11.2851
Length    8, n   16, alignment  7/ 2:	14.3202	11.5307	11.4359	11.65	14.143
Length   32, n   16, alignment  7/ 2:	11.9786	7.69563	7.53826	6.86435	11.4273
Length   16, n   32, alignment  0/ 0:	15.008	9.79976	9.75105	11.6501	14.2779
Length   64, n   32, alignment  0/ 0:	10.3155	7.74912	7.69818	6.85297	10.2809
Length   16, n   32, alignment  6/ 4:	15.1498	10.7599	10.618	11.65	14.24
Length   64, n   32, alignment  6/ 4:	10.9552	7.74843	7.72681	7.02437	10.3523
Length   32, n   64, alignment  0/ 0:	15.4224	10.5748	10.5199	12.0136	14.6257
Length  128, n   64, alignment  0/ 0:	13.3462	8.25552	8.2236	9.45504	12.7713
Length   32, n   64, alignment  5/ 6:	17.6151	11.757	11.6518	13.1536	17.3849
Length  128, n   64, alignment  5/ 6:	12.651	10.5423	10.31	12.6563	12.7811
Length   64, n  128, alignment  0/ 0:	15.8496	13.3081	12.7129	14.9998	15.8998
Length  256, n  128, alignment  0/ 0:	14.7437	10.5313	10.54	14.1362	15.8087
Length   64, n  128, alignment  4/ 0:	16.0623	13.5834	13.452	16.2561	16.5489
Length  256, n  128, alignment  4/ 0:	15.2315	13.3217	12.2021	18.6024	14.9938
Length  128, n  256, alignment  0/ 0:	19.0477	16.3502	15.6917	23.1676	19.1284
Length  512, n  256, alignment  0/ 0:	18.8143	15.6808	14.9365	18.768	19.3283
Length  128, n  256, alignment  3/ 2:	22.4401	17.3508	16.8937	23.8495	22.5491
Length  512, n  256, alignment  3/ 2:	23.5806	20.8495	20.6478	23.4328	24.446
