                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	11.4323	7.35884	7.72645	6.77082	11.2306
Length   16, n   16, alignment  1/ 1:	11.4923	7.58937	7.74241	6.85305	11.1701
Length   16, n   16, alignment  1/ 2:	11.9542	7.57717	7.53831	6.85293	11.1546
Length   16, n   16, alignment  2/ 1:	11.8304	7.57075	7.59529	6.85293	11.1583
Length    2, n    4, alignment  7/ 2:	14.7607	11.0188	11.6638	11.6499	13.7748
Length    4, n    2, alignment  2/ 7:	10.7638	7.79904	8.19224	6.75761	10.662
Length    2, n    4, alignment  7/ 2:	13.1535	11.015	11.681	11.5447	12.9953
Length    4, n    2, alignment  2/ 7:	11.3754	7.64213	8.22371	6.85299	10.7598
Length   16, n   16, alignment  2/ 2:	11.6994	7.54436	7.53846	6.85295	11.3238
Length   16, n   16, alignment  2/ 2:	11.6394	7.54773	7.53827	6.85294	11.1347
Length   16, n   16, alignment  2/ 4:	11.6567	7.53821	7.53825	6.87258	11.3636
Length   16, n   16, alignment  4/ 2:	11.7044	7.68076	7.74401	6.92259	11.0887
Length    4, n    8, alignment  6/ 4:	14.3767	12.0674	11.9673	11.6547	14.022
Length    8, n    4, alignment  4/ 6:	11.1842	7.53848	8.26104	6.8576	11.0282
Length    4, n    8, alignment  6/ 4:	14.3923	11.857	11.9609	11.5849	14.0893
Length    8, n    4, alignment  4/ 6:	11.2053	7.53843	8.23195	6.85298	10.9654
Length   16, n   16, alignment  3/ 3:	11.6639	7.53833	7.54316	6.85303	11.0872
Length   16, n   16, alignment  3/ 3:	11.7517	7.53823	7.54296	6.85289	11.3158
Length   16, n   16, alignment  3/ 6:	11.6515	7.53825	7.54287	6.8529	11.1201
Length   16, n   16, alignment  6/ 3:	11.9424	7.56823	7.53829	6.85289	11.3009
Length    8, n   16, alignment  5/ 6:	14.2224	11.2302	10.1621	11.6551	13.9832
Length   16, n    8, alignment  6/ 5:	11.0421	8.22848	7.53839	6.85309	11.3423
Length    8, n   16, alignment  5/ 6:	14.3124	11.0213	10.1754	11.6547	14.2783
Length   16, n    8, alignment  6/ 5:	11.1199	8.22884	7.53835	6.85308	11.4269
Length   16, n   16, alignment  4/ 4:	11.6499	7.54287	7.53828	6.85295	11.2877
Length   16, n   16, alignment  4/ 4:	11.7601	7.64223	7.53829	6.8529	11.1758
Length   16, n   16, alignment  4/ 0:	11.8946	7.54271	7.53822	6.85741	11.3839
Length   16, n   16, alignment  0/ 4:	11.7593	7.53819	7.53827	6.93722	11.1264
Length   16, n   32, alignment  4/ 0:	15.1806	10.6519	10.5618	11.6501	14.1822
Length   32, n   16, alignment  0/ 4:	11.6819	6.8531	6.85303	6.85765	11.3529
Length   16, n   32, alignment  4/ 0:	15.1327	10.6319	10.5465	11.6501	13.9746
Length   32, n   16, alignment  0/ 4:	11.8649	7.04175	6.91641	6.85866	11.0566
Length   16, n   16, alignment  5/ 5:	11.7327	7.61759	7.53859	6.85739	11.0989
Length   16, n   16, alignment  5/ 5:	11.6849	7.72121	7.7267	6.87965	11.3911
Length   16, n   16, alignment  5/ 2:	11.7959	7.53829	7.71734	6.97597	11.0848
Length   16, n   16, alignment  2/ 5:	11.6601	7.57037	7.69299	6.8529	11.3756
Length   32, n   64, alignment  3/ 2:	18.4735	10.6077	10.3634	12.5507	18.759
Length   64, n   32, alignment  2/ 3:	10.5424	7.73221	7.69877	7.45913	10.2164
Length   32, n   64, alignment  3/ 2:	18.5822	10.529	10.2845	12.7705	18.7134
Length   64, n   32, alignment  2/ 3:	10.443	7.7438	7.72676	7.52993	10.6366
Length   16, n   16, alignment  6/ 6:	11.8519	7.74391	7.73519	6.85289	11.132
Length   16, n   16, alignment  6/ 6:	11.8752	7.68099	7.6444	6.8529	11.3228
Length   16, n   16, alignment  6/ 4:	11.7031	7.64713	7.54308	7.0019	11.3457
Length   16, n   16, alignment  4/ 6:	12.0136	7.65397	7.67046	6.85291	11.1907
