                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	12.1836	7.51363	8.88143	6.73784	11.1128
Length   16, n   16, alignment  1/ 1:	18.7415	7.83824	8.24533	6.94678	11.4379
Length   16, n   16, alignment  1/ 2:	12.9424	7.72676	8.44216	7.04082	12.7301
Length   16, n   16, alignment  2/ 1:	13.2559	7.76195	8.45069	7.02428	11.4975
Length    2, n    4, alignment  7/ 2:	13.6642	11.9722	11.09	10.9766	14.24
Length    4, n    2, alignment  2/ 7:	12.146	8.78956	8.29189	6.85304	11.3195
Length    2, n    4, alignment  7/ 2:	14.5774	11.9456	11.5482	10.9646	14.3293
Length    4, n    2, alignment  2/ 7:	12.1028	8.44857	8.42932	6.86164	11.2722
Length   16, n   16, alignment  2/ 2:	12.9137	7.72685	8.42926	6.91092	11.3335
Length   16, n   16, alignment  2/ 2:	12.9968	7.72677	8.47699	7.02425	11.5739
Length   16, n   16, alignment  2/ 4:	13.0459	7.7268	8.45058	7.02422	11.5891
Length   16, n   16, alignment  4/ 2:	12.9907	7.73243	8.44625	7.02427	11.4056
Length    4, n    8, alignment  6/ 4:	14.6169	12.4875	12.3635	11.2391	14.6177
Length    8, n    4, alignment  4/ 6:	12.88	7.74438	8.42914	7.03515	11.3109
Length    4, n    8, alignment  6/ 4:	14.6122	12.19	12.278	11.056	14.297
Length    8, n    4, alignment  4/ 6:	12.8501	7.74401	8.4347	7.0244	11.6206
Length   16, n   16, alignment  3/ 3:	13.1021	7.72668	8.43453	7.02427	11.3424
Length   16, n   16, alignment  3/ 3:	12.9975	7.74864	8.45107	7.04024	11.5299
Length   16, n   16, alignment  3/ 6:	12.9018	7.77207	8.44481	7.06661	11.7572
Length   16, n   16, alignment  6/ 3:	12.9997	7.72671	8.65848	7.22721	11.8513
Length    8, n   16, alignment  5/ 6:	14.6486	11.4563	11.2394	11.246	14.5596
Length   16, n    8, alignment  6/ 5:	12.7414	8.44648	9.13694	7.02442	11.5566
Length    8, n   16, alignment  5/ 6:	14.4657	11.2616	11.2388	11.244	15.7603
Length   16, n    8, alignment  6/ 5:	12.714	8.47353	9.13156	6.88738	11.4888
Length   16, n   16, alignment  4/ 4:	12.9692	7.74401	8.39006	6.99242	11.5523
Length   16, n   16, alignment  4/ 4:	13.0084	7.74879	8.44633	7.02953	11.4771
Length   16, n   16, alignment  4/ 0:	13.0562	7.74858	8.45212	7.02432	11.5372
Length   16, n   16, alignment  0/ 4:	12.9267	7.7492	8.42914	7.04502	11.5279
Length   16, n   32, alignment  4/ 0:	15.0751	10.7997	11.9466	11.9779	14.8508
Length   32, n   16, alignment  0/ 4:	12.9697	7.04164	7.06342	7.02423	11.5057
Length   16, n   32, alignment  4/ 0:	15.1028	11.0105	12.0814	11.9413	14.6414
Length   32, n   16, alignment  0/ 4:	12.7554	7.02453	7.02449	7.02907	11.5578
Length   16, n   16, alignment  5/ 5:	12.967	7.76471	8.47638	7.02424	11.4761
Length   16, n   16, alignment  5/ 5:	13.0829	7.9457	8.43475	7.18106	11.5839
Length   16, n   16, alignment  5/ 2:	13.0788	7.81289	8.42913	7.02423	11.5356
Length   16, n   16, alignment  2/ 5:	13.0347	7.76859	8.42919	7.06623	11.5982
Length   32, n   64, alignment  3/ 2:	17.607	10.1803	10.5668	13.9065	18.1652
Length   64, n   32, alignment  2/ 3:	11.7969	7.94716	7.94777	7.96079	12.1298
Length   32, n   64, alignment  3/ 2:	18.0438	10.1357	10.8068	14.069	17.4269
Length   64, n   32, alignment  2/ 3:	11.7019	7.94785	7.925	7.93012	11.9581
Length   16, n   16, alignment  6/ 6:	13.2654	7.76096	8.43463	7.02428	11.5688
Length   16, n   16, alignment  6/ 6:	13.2936	7.89634	8.43414	7.02434	11.4211
Length   16, n   16, alignment  6/ 4:	13.0095	7.78335	8.6626	7.19332	11.4757
Length   16, n   16, alignment  4/ 6:	13.0997	7.94233	8.44763	7.02942	11.4755
Length   64, n  128, alignment  2/ 4:	16.6042	15.3495	14.2474	16.6929	16.2341
Length  128, n   64, alignment  4/ 2:	14.4814	9.36586	10.821	12.2977	13.9554
Length   64, n  128, alignment  2/ 4:	16.9572	15.2987	14.4336	17.1162	16.1806
Length  128, n   64, alignment  4/ 2:	14.3188	10.6871	10.8067	12.3578	13.9302
Length   16, n   16, alignment  7/ 7:	13.339	7.92494	8.57548	7.02421	11.6589
Length   16, n   16, alignment  7/ 7:	13.2572	7.73381	8.42904	7.02423	11.4688
Length   16, n   16, alignment  7/ 6:	12.9966	7.90595	8.56988	7.0297	11.4452
Length   16, n   16, alignment  6/ 7:	13.2116	7.93291	8.43599	7.02423	11.387
Length  128, n  256, alignment  1/ 6:	20.9814	18.8926	17.6097	25.2989	21.0658
Length  256, n  128, alignment  6/ 1:	17.0862	14.2584	13.38	20.2925	17.767
Length  128, n  256, alignment  1/ 6:	21.3905	18.9091	17.5925	25.2639	22.5052
Length  256, n  128, alignment  6/ 1:	17.1087	13.8876	13.1713	20.471	17.8183
Length    8, n   16, alignment  0/ 0:	14.7019	11.5447	11.5325	11.3429	15.0422
Length   32, n   16, alignment  0/ 0:	12.9597	7.02446	7.02446	7.029	11.3197
Length    8, n   16, alignment  7/ 2:	14.6876	11.6791	11.8026	11.239	14.5894
Length   32, n   16, alignment  7/ 2:	12.9496	7.72668	7.72677	7.03026	11.6188
Length   16, n   32, alignment  0/ 0:	15.104	10.0211	11.9001	11.6549	14.5137
Length   64, n   32, alignment  0/ 0:	11.555	7.72672	7.72684	7.74785	11.8642
Length   16, n   32, alignment  6/ 4:	14.8945	10.8153	11.98	11.9464	14.707
Length   64, n   32, alignment  6/ 4:	11.4536	7.82674	7.83019	7.74756	12.1474
Length   32, n   64, alignment  0/ 0:	16.6236	10.2667	10.9029	13.5267	15.706
Length  128, n   64, alignment  0/ 0:	13.657	7.94799	7.94689	10.4044	13.0223
Length   32, n   64, alignment  5/ 6:	16.9072	11.8246	11.9205	14.3725	16.3795
Length  128, n   64, alignment  5/ 6:	14.1451	10.7941	10.5366	13.0166	14.4335
Length   64, n  128, alignment  0/ 0:	16.4467	13.6877	12.8487	15.5683	16.3103
Length  256, n  128, alignment  0/ 0:	16.5637	10.8331	10.6919	14.763	16.1908
Length   64, n  128, alignment  4/ 0:	16.5484	14.4995	13.6974	16.7156	16.5747
Length  256, n  128, alignment  4/ 0:	16.3941	13.6268	13.1029	19.1447	16.2569
Length  128, n  256, alignment  0/ 0:	19.7733	16.7351	16.3321	23.9849	19.1689
Length  512, n  256, alignment  0/ 0:	19.5127	15.9552	15.5361	19.3105	19.4173
Length  128, n  256, alignment  3/ 2:	21.3193	17.8911	16.8619	24.6374	22.2619
Length  512, n  256, alignment  3/ 2:	24.621	21.4436	21.1762	23.8248	25.1317
Length  256, n  512, alignment  0/ 0:	29.4392	24.9063	23.7806	29.6873	30.3098
Length 1024, n  512, alignment  0/ 0:	30.4895	20.2096	20.1844	30.9907	30.8799
Length  256, n  512, alignment  2/ 4:	30.9967	27.5158	26.6013	31.3728	31.436
Length 1024, n  512, alignment  2/ 4:	33.1546	26.8474	27.3948	35.1432	34.8972
Length  512, n 1024, alignment  0/ 0:	45.0515	31.108	29.4154	45.5452	44.5279
Length 2048, n 1024, alignment  0/ 0:	54.3348	28.3275	32.4508	57.7812	49.2766
Length  512, n 1024, alignment  1/ 6:	52.282	33.3852	29.8218	46.1746	52.8737
Length 2048, n 1024, alignment  1/ 6:	55.1294	41.306	37.1224	56.562	56.4063
