                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length    0/   0, alignment  0/ 0:	23.3644	21.81	22.4968	22.0945	13.5092
Length    0/   0, alignment  0/ 0:	23.0526	21.5625	22.4968	20.3351	13.3821
Length    0/   0, alignment  0/ 0:	22.8701	21.5628	22.4964	21.2399	13.3433
Length    0/   0, alignment  0/ 0:	23.5123	21.6793	22.6148	20.3373	13.2838
Length    1/   1, alignment  0/ 0:	22.8696	21.5625	22.4197	20.4064	14.3762
Length    1/   1, alignment  0/ 0:	23.3071	21.6684	22.3286	20.439	14.3756
Length    1/   1, alignment  0/ 1:	23.1812	21.5627	22.4046	20.3861	7.81392
Length    1/   1, alignment  1/ 0:	23.0756	21.563	22.3326	20.3866	14.6814
Length    2/   2, alignment  0/ 0:	23.1236	22.2166	22.8696	21.2524	15.0817
Length    2/   2, alignment  0/ 0:	23.0646	22.2162	23.0628	21.0445	15.0812
Length    2/   2, alignment  0/ 2:	23.1209	22.4362	22.87	21.0448	9.8031
Length    2/   2, alignment  2/ 0:	22.9721	22.3272	23.196	21.0568	15.0848
Length    3/   3, alignment  0/ 0:	23.2939	21.5629	22.216	20.3738	15.4011
Length    3/   3, alignment  0/ 0:	23.029	21.5631	22.2164	20.5556	15.2115
Length    3/   3, alignment  0/ 3:	23.0578	21.5626	22.4076	20.4086	11.1991
Length    3/   3, alignment  3/ 0:	22.8699	21.5829	22.2161	20.3399	17.0508
Length    4/   4, alignment  0/ 0:	23.1025	22.2597	23.1033	21.0218	17.148
Length    4/   4, alignment  0/ 0:	23.9403	22.2585	23.1034	21.0336	17.1548
Length    4/   4, alignment  0/ 4:	23.0223	22.2164	23.1207	21.0228	14.3837
Length    4/   4, alignment  4/ 0:	23.0804	22.2464	23.1209	21.0349	18.5027
Length    5/   5, alignment  0/ 0:	23.3432	22.2604	23.1028	21.0477	18.0212
Length    5/   5, alignment  0/ 0:	23.3354	22.2599	23.1034	21.0767	18.0679
Length    5/   5, alignment  0/ 5:	23.2707	22.2166	23.1214	21.0566	15.6859
Length    5/   5, alignment  5/ 0:	23.0603	22.2642	23.1034	21.0805	18.5841
Length    6/   6, alignment  0/ 0:	23.2621	22.2522	23.1032	21.0069	18.6598
Length    6/   6, alignment  0/ 0:	23.0374	22.2578	23.1034	21.0283	18.6779
Length    6/   6, alignment  0/ 6:	23.2261	22.2166	23.1203	21.0144	17.7957
Length    6/   6, alignment  6/ 0:	23.0262	22.2622	23.1034	21.0783	19.2397
Length    7/   7, alignment  0/ 0:	23.0766	22.2476	23.1033	20.3661	18.748
Length    7/   7, alignment  0/ 0:	23.0329	22.2525	23.1034	20.3924	18.1817
Length    7/   7, alignment  0/ 7:	23.0862	22.2189	23.1204	20.3442	18.5451
Length    7/   7, alignment  7/ 0:	24.055	22.2358	23.1027	20.3547	19.1899
