                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length  128, alignments in bytes  0/ 0:	17.0671	9.67078	10.5948	13.6444	26.0081
Length  128, alignments in bytes  4/ 0:	19.1478	10.6045	12.3759	15.2876	33.0472
Length  256, alignments in bytes  0/ 0:	23.142	15.7797	17.1198	18.0059	51.9673
Length  256, alignments in bytes  3/ 2:	25.041	15.2318	18.3517	19.9747	59.3684
Length  512, alignments in bytes  0/ 0:	30.6625	19.5322	21.2405	27.8859	107.22
Length  512, alignments in bytes  2/ 4:	34.1879	22.4373	24.1698	30.1716	147.937
Length 1024, alignments in bytes  0/ 0:	52.1078	28.4694	28.7971	52.8038	231.726
Length 1024, alignments in bytes  1/ 6:	64.9758	40.4363	35.7102	50.7527	318.282
Length   16, alignments in bytes  1/ 2:	18.1423	8.76514	8.62573	6.18909	17.6244
Length   16, alignments in bytes  2/ 1:	10.9722	8.74927	8.61536	6.18237	15.615
Length   16, alignments in bytes  1/ 1:	13.6653	8.72449	8.61853	6.17712	14.9585
Length   16, alignments in bytes  1/ 1:	10.9728	8.74768	8.61682	6.17859	14.9509
Length   32, alignments in bytes  2/ 4:	12.3545	8.25891	8.38171	10.3658	22.1268
Length   32, alignments in bytes  4/ 2:	12.3458	6.85791	6.86926	11.4038	16.988
Length   32, alignments in bytes  2/ 2:	12.3888	6.86328	6.89099	9.96667	16.5809
Length   32, alignments in bytes  2/ 2:	12.369	6.89221	7.54114	9.89087	16.6334
Length   64, alignments in bytes  3/ 6:	15.5321	9.91809	9.97253	11.0808	28.5503
Length   64, alignments in bytes  6/ 3:	15.4641	11.5607	11.6516	12.7015	19.5884
Length   64, alignments in bytes  3/ 3:	15.1831	8.62671	9.10718	11.5287	21.567
Length   64, alignments in bytes  3/ 3:	15.1757	8.61438	9.08362	9.86438	21.5397
Length  128, alignments in bytes  4/ 0:	19.1852	10.6115	12.9514	21.719	40.5056
Length  128, alignments in bytes  0/ 4:	20.6252	11.1527	12.7875	14.5875	35.5482
Length  128, alignments in bytes  4/ 4:	20.4501	14.3806	13.2728	15.9456	33.6313
Length  128, alignments in bytes  4/ 4:	20.4564	14.391	13.0601	14.7863	33.6821
Length  256, alignments in bytes  5/ 2:	25.192	15.7255	19.8988	20.8882	58.4377
Length  256, alignments in bytes  2/ 5:	26.1039	17.7067	21.6952	20.9412	81.0413
Length  256, alignments in bytes  5/ 5:	25.1405	19.4711	18.3243	18.9087	58.4209
Length  256, alignments in bytes  5/ 5:	25.1243	15.2043	18.2411	18.9089	58.4678
Length  512, alignments in bytes  6/ 4:	33.7965	24.7977	23.5969	29.4905	134.909
Length  512, alignments in bytes  4/ 6:	34.2611	28.5466	27.3346	29.4904	146.642
Length  512, alignments in bytes  6/ 6:	32.1379	20.3	22.4919	28.2523	135.68
Length  512, alignments in bytes  6/ 6:	32.2335	20.3107	22.5071	28.8038	133.803
Length 1024, alignments in bytes  7/ 6:	50.6981	40.2666	38.6271	52.9615	233.126
Length 1024, alignments in bytes  6/ 7:	67.3333	40.4758	35.6595	51.4187	310.949
Length 1024, alignments in bytes  7/ 7:	57.6548	28.1995	28.7196	50.741	241.915
Length 1024, alignments in bytes  7/ 7:	57.5	28.0792	28.7743	51.7983	231.028
Length   16, alignments in bytes  0/ 4:	18.3522	8.83435	8.61609	6.17761	9.3772
Length   16, alignments in bytes  4/ 0:	10.9753	8.755	8.6228	6.18408	15.3224
Length   16, alignments in bytes  4/ 4:	10.9714	8.71631	8.62952	6.172	15.1096
Length   16, alignments in bytes  2/ 2:	10.9723	8.72864	8.62024	6.16724	15.5494
Length   16, alignments in bytes  2/ 6:	10.9717	8.70972	8.61243	6.16895	18.4314
Length   16, alignments in bytes  6/ 2:	10.972	8.71753	8.62048	6.16882	15.0521
Length   16, alignments in bytes  1/ 7:	10.972	8.73645	8.60974	6.16919	19.0151
Length   16, alignments in bytes  7/ 1:	10.9706	8.73462	8.62036	6.16956	13.3993
Length   16, alignments in bytes  3/ 4:	10.9724	8.73364	8.62427	6.17261	15.4608
Length   16, alignments in bytes  4/ 3:	10.9723	8.69922	8.6178	6.17786	14.5466
Length   16, alignments in bytes  5/ 7:	10.9725	8.72986	8.6106	6.17932	15.0583
Length   16, alignments in bytes  7/ 5:	10.9728	8.72766	8.61609	6.1759	13.9672
Length   20, alignments in bytes  0/ 4:	10.9718	8.75122	8.59497	7.96362	11.5105
Length   20, alignments in bytes  4/ 0:	10.972	8.74414	8.62231	6.35095	13.9613
Length   20, alignments in bytes  4/ 4:	10.9733	8.73132	8.61584	7.26306	13.2964
Length   20, alignments in bytes  2/ 2:	10.9727	8.73486	8.6228	7.24548	19.8889
Length   20, alignments in bytes  2/ 6:	10.9738	8.71912	8.60693	7.95117	20.1439
Length   20, alignments in bytes  6/ 2:	10.9708	8.73633	8.6156	6.34924	13.3644
Length   20, alignments in bytes  1/ 7:	10.9706	8.70984	8.61841	7.94897	20.9021
Length   20, alignments in bytes  7/ 1:	10.9716	8.71387	8.61023	7.44714	13.1196
Length   20, alignments in bytes  3/ 4:	10.9723	8.76355	8.61707	8.41187	17.83
Length   20, alignments in bytes  4/ 3:	13.188	8.74109	8.61926	7.64233	13.8363
Length   20, alignments in bytes  5/ 7:	10.9725	8.73975	8.61584	8.42004	15.0457
Length   20, alignments in bytes  7/ 5:	10.9733	8.73706	8.61304	7.6427	12.7585
Length   24, alignments in bytes  0/ 4:	10.972	8.70862	8.60278	8.42383	11.0389
Length   24, alignments in bytes  4/ 0:	10.9713	8.7334	8.61597	7.64148	16.5118
Length   24, alignments in bytes  4/ 4:	10.9718	8.72278	8.61877	7.23169	15.6833
Length   24, alignments in bytes  2/ 2:	10.9711	8.73193	8.62817	7.24475	15.7362
Length   24, alignments in bytes  2/ 6:	10.9711	8.75488	8.61658	8.4126	19.7644
Length   24, alignments in bytes  6/ 2:	10.9722	8.72864	8.61682	7.63416	17.493
Length   24, alignments in bytes  1/ 7:	10.9708	8.75122	8.61658	8.40808	20.4518
Length   24, alignments in bytes  7/ 1:	10.9725	8.71655	8.62024	7.64355	14.8413
Length   24, alignments in bytes  3/ 4:	10.9723	8.75769	8.625	8.42029	17.1726
