                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.9761	6.72913	6.83362	5.49719	5.49524
Length    0, alignments in bytes  0/ 0:	10.9751	6.76038	6.83386	5.53613	5.4939
Length    0, alignments in bytes  0/ 0:	10.9906	6.7135	6.83826	5.54688	5.4856
Length    0, alignments in bytes  0/ 0:	12.4004	6.7522	6.84033	5.51794	5.49268
Length    1, alignments in bytes  0/ 0:	21.7384	6.64795	6.85938	6.63159	5.5061
Length    1, alignments in bytes  0/ 0:	21.7251	6.64246	6.8739	6.6012	5.49915
Length    1, alignments in bytes  0/ 1:	21.6038	6.64917	6.86011	6.56348	5.49963
Length    1, alignments in bytes  1/ 0:	21.6654	6.68738	6.86682	6.59973	5.69617
Length    2, alignments in bytes  0/ 0:	21.63	7.14258	7.19104	8.27795	6.86487
Length    2, alignments in bytes  0/ 0:	21.6251	7.15137	7.34204	8.30103	6.86035
Length    2, alignments in bytes  0/ 2:	21.6016	7.16357	7.37317	8.27576	6.85632
Length    2, alignments in bytes  2/ 0:	21.7081	6.86292	6.86707	7.01355	6.87671
Length    3, alignments in bytes  0/ 0:	25.677	6.17957	6.8717	6.3573	6.99475
Length    3, alignments in bytes  0/ 0:	25.7083	6.17847	6.8717	6.39917	6.86646
Length    3, alignments in bytes  0/ 3:	26.8014	6.02808	6.7002	6.18958	6.69495
Length    3, alignments in bytes  3/ 0:	25.7512	6.02368	6.69666	6.23218	8.50732
Length    4, alignments in bytes  0/ 0:	25.7489	20.7469	21.4016	7.56458	8.71606
Length    4, alignments in bytes  0/ 0:	25.6631	20.7449	21.3947	7.55188	8.70935
Length    4, alignments in bytes  0/ 4:	25.6692	20.7428	21.406	7.61328	8.71008
Length    4, alignments in bytes  4/ 0:	21.2338	16.0569	16.7361	6.19971	9.53711
Length    5, alignments in bytes  0/ 0:	28.9592	19.0144	20.4835	10.5607	15.1412
Length    5, alignments in bytes  0/ 0:	39.8737	20.6394	21.3019	8.224	9.82227
Length    5, alignments in bytes  0/ 5:	39.4869	21.2246	21.1697	8.3208	8.97595
Length    5, alignments in bytes  5/ 0:	36.601	17.9612	20.4209	10.153	10.5409
Length    6, alignments in bytes  0/ 0:	33.6429	20.7428	21.4026	8.30103	12.0573
Length    6, alignments in bytes  0/ 0:	34.0021	20.7434	21.405	8.29553	12.0553
Length    6, alignments in bytes  0/ 6:	33.8213	20.7139	21.274	7.76794	12.0503
Length    6, alignments in bytes  6/ 0:	33.2939	15.6927	16.335	7.29492	9.32178
Length    7, alignments in bytes  0/ 0:	30.8669	20.2751	20.7904	6.09167	11.7769
Length    7, alignments in bytes  0/ 0:	30.9308	20.2567	20.9038	6.05359	11.7726
Length    7, alignments in bytes  0/ 7:	34.8425	20.2317	20.9031	6.60681	11.7722
Length    7, alignments in bytes  7/ 0:	30.9285	15.691	16.3469	6.07068	11.1169
Length    8, alignments in bytes  0/ 0:	30.9224	20.2954	21.1815	7.43481	6.24243
Length    8, alignments in bytes  0/ 0:	30.9283	20.2617	21.1642	7.44263	6.22473
Length    8, alignments in bytes  0/ 0:	30.9261	20.2943	21.1779	7.45691	6.2229
Length    8, alignments in bytes  0/ 0:	30.8649	20.2892	21.177	7.43616	6.23181
Length    9, alignments in bytes  0/ 0:	30.8763	20.2979	21.1827	8.20923	7.23169
Length    9, alignments in bytes  0/ 0:	30.9347	20.4072	20.5751	8.04102	7.06104
Length    9, alignments in bytes  0/ 1:	34.0371	19.7991	22.6326	8.70789	8.2373
Length    9, alignments in bytes  1/ 0:	31.7634	19.8273	20.6929	8.1416	14.6484
Length   10, alignments in bytes  0/ 0:	30.1837	19.8324	20.6929	8.00562	7.77649
Length   10, alignments in bytes  0/ 0:	30.178	19.8302	20.6876	7.9978	7.83142
Length   10, alignments in bytes  0/ 2:	34.0361	19.7979	20.7051	7.86084	8.23962
Length   10, alignments in bytes  2/ 0:	30.2404	19.8362	20.6929	7.98511	15.4745
Length   11, alignments in bytes  0/ 0:	30.236	19.8322	20.8181	7.83289	8.39856
Length   11, alignments in bytes  0/ 0:	30.2697	19.8473	20.7268	7.84717	8.37244
Length   11, alignments in bytes  0/ 3:	34.1564	19.8453	20.7395	7.86987	8.91333
Length   11, alignments in bytes  3/ 0:	31.6097	19.8308	20.6978	7.99207	15.9573
Length   12, alignments in bytes  0/ 0:	30.2152	19.7976	20.7123	8.00989	9.21069
Length   12, alignments in bytes  0/ 0:	30.1759	19.8352	20.5842	8.00586	10.1218
Length   12, alignments in bytes  0/ 4:	34.5928	21.636	22.0986	9.28198	10.2911
Length   12, alignments in bytes  4/ 0:	32.4314	21.2474	22.0841	8.57227	13.3481
Length   13, alignments in bytes  0/ 0:	33.0569	21.2845	21.0538	7.82629	11.9446
Length   13, alignments in bytes  0/ 0:	33.5917	20.6536	21.0127	7.99255	11.9375
Length   13, alignments in bytes  0/ 5:	29.5334	19.3562	20.2297	8.43469	10.8374
Length   13, alignments in bytes  5/ 0:	29.5602	19.3639	20.1324	7.80981	14.7073
Length   14, alignments in bytes  0/ 0:	32.3778	20.2405	20.2369	7.82324	13.172
Length   14, alignments in bytes  0/ 0:	29.5173	19.3899	20.2335	7.82617	13.1583
Length   14, alignments in bytes  0/ 6:	29.4951	19.3582	20.1093	8.43982	11.8726
Length   14, alignments in bytes  6/ 0:	29.506	19.3972	20.2458	7.80896	14.0143
Length   15, alignments in bytes  0/ 0:	33.7029	19.4	20.129	6.30261	12.1016
Length   15, alignments in bytes  0/ 0:	33.6561	19.3959	20.2491	6.32715	12.1223
Length   15, alignments in bytes  0/ 7:	33.7162	19.356	20.2262	6.31848	11.8674
Length   15, alignments in bytes  7/ 0:	33.7157	19.3916	20.2323	6.32532	14.3334
Length   16, alignments in bytes  0/ 0:	33.6554	19.3636	19.9906	6.02173	7.71045
Length   16, alignments in bytes  7/ 2:	33.6564	19.3584	19.9834	6.72388	14.4397
Length   32, alignments in bytes  0/ 0:	27.052	6.26233	6.88245	8.12842	10.3846
Length   32, alignments in bytes  6/ 4:	26.9619	6.53809	6.73364	11.2468	15.4226
Length   64, alignments in bytes  0/ 0:	28.8862	7.45837	15.5719	9.96143	16.7084
Length   64, alignments in bytes  5/ 6:	29.9484	19.4039	19.9816	11.6587	25.0702
Length  128, alignments in bytes  0/ 0:	29.9624	8.93359	10.6864	13.8435	26.4064
Length  128, alignments in bytes  4/ 0:	29.9592	17.8241	18.5894	14.6631	32.7308
Length  256, alignments in bytes  0/ 0:	35.3638	14.3826	16.7032	16.7089	51.4851
Length  256, alignments in bytes  3/ 2:	34.5206	14.1202	17.3398	18.3894	59.9464
Length  512, alignments in bytes  0/ 0:	41.5289	18.2277	21.5321	27.5287	103.632
Length  512, alignments in bytes  2/ 4:	45.3628	20.9579	23.1815	26.5612	150.752
Length 1024, alignments in bytes  0/ 0:	57.2535	28.3358	31.2178	48.2733	238.29
Length 1024, alignments in bytes  1/ 6:	67.0751	37.9093	34.5752	46.2909	310.54
Length   16, alignments in bytes  1/ 2:	35.9774	20.2627	20.9166	6.46826	17.7584
Length   16, alignments in bytes  2/ 1:	35.231	20.2595	20.9139	7.03955	16.337
Length   16, alignments in bytes  1/ 1:	35.2657	20.2627	20.9142	6.29053	15.6376
Length   16, alignments in bytes  1/ 1:	35.2316	20.2611	20.9144	6.31567	15.5894
Length   32, alignments in bytes  2/ 4:	28.3619	7.8064	8.06458	11.2808	22.0194
Length   32, alignments in bytes  4/ 2:	28.2834	6.8418	7.05054	11.1373	17.6436
Length   32, alignments in bytes  2/ 2:	28.332	6.55139	7.19788	10.9583	17.7898
Length   32, alignments in bytes  2/ 2:	28.2919	6.55017	7.17847	10.8844	17.7767
Length   64, alignments in bytes  3/ 6:	32.0177	10.1471	11.1594	10.6621	29.1438
Length   64, alignments in bytes  6/ 3:	30.1016	20.312	20.8944	12.2216	20.7793
Length   64, alignments in bytes  3/ 3:	29.605	9.16211	9.85364	10.1849	22.8168
Length   64, alignments in bytes  3/ 3:	30.0856	9.15588	9.84827	10.1804	22.8236
Length  128, alignments in bytes  4/ 0:	31.8096	18.965	19.5571	15.3247	34.8633
Length  128, alignments in bytes  0/ 4:	32.7944	10.7637	13.6261	14.7825	36.9641
Length  128, alignments in bytes  4/ 4:	32.7778	17.6477	18.6121	15.1029	35.0436
Length  128, alignments in bytes  4/ 4:	32.7064	17.6527	18.599	15.1918	34.9637
