                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length    0/   0, alignment  0/ 0:	25.6852	23.5271	24.0428	23.5991	12.88
Length    0/   0, alignment  0/ 0:	23.9614	22.9914	23.4509	21.23	12.7945
Length    0/   0, alignment  0/ 0:	23.1538	22.4812	23.932	21.2676	14.1874
Length    0/   0, alignment  0/ 0:	23.9097	22.9111	23.1282	21.2291	12.6808
Length    1/   1, alignment  0/ 0:	23.3517	22.3677	22.6245	20.8838	13.4648
Length    1/   1, alignment  0/ 0:	23.5693	22.4801	23.1279	21.4185	13.7368
Length    1/   1, alignment  0/ 1:	23.6396	22.4816	23.2435	20.9921	6.58423
Length    1/   1, alignment  1/ 0:	23.6347	22.4801	23.2315	21.3471	13.7367
Length    2/   2, alignment  0/ 0:	23.2238	22.7912	23.1752	21.2299	14.4106
Length    2/   2, alignment  0/ 0:	23.5562	22.4828	23.168	21.2298	14.7216
Length    2/   2, alignment  0/ 2:	23.4036	22.4949	23.1681	21.273	8.74304
Length    2/   2, alignment  2/ 0:	23.2817	22.4825	23.8597	21.3615	14.4219
Length    3/   3, alignment  0/ 0:	23.6708	22.6881	23.1021	21.2305	14.5366
Length    3/   3, alignment  0/ 0:	23.3188	22.4824	23.1018	21.2308	14.5386
Length    3/   3, alignment  0/ 3:	23.398	22.4822	23.1017	21.2493	10.6237
Length    3/   3, alignment  3/ 0:	23.1493	22.7157	23.4033	21.5463	16.281
Length    4/   4, alignment  0/ 0:	28.2378	27.5084	28.2172	21.2481	16.386
Length    4/   4, alignment  0/ 0:	28.3042	27.4741	28.2168	20.9822	16.0324
Length    4/   4, alignment  0/ 4:	23.3921	22.9683	23.7835	21.2421	13.7523
Length    4/   4, alignment  4/ 0:	28.1574	27.4919	28.2158	21.2416	17.6411
Length    5/   5, alignment  0/ 0:	28.2748	27.4739	28.1661	20.847	17.2121
Length    5/   5, alignment  0/ 0:	28.0094	27.4739	28.3354	20.9208	16.8405
Length    5/   5, alignment  0/ 5:	23.4451	23.0412	23.7747	21.2303	14.7769
Length    5/   5, alignment  5/ 0:	28.0329	27.4742	28.216	21.1043	17.4302
Length    6/   6, alignment  0/ 0:	27.9993	27.4916	28.1753	20.8629	17.831
Length    6/   6, alignment  0/ 0:	28.2545	27.474	28.2166	21.2695	17.802
Length    6/   6, alignment  0/ 6:	23.7681	23.0314	23.7941	21.2571	17.0604
Length    6/   6, alignment  6/ 0:	28.3177	27.8003	28.215	21.2336	18.3974
Length    7/   7, alignment  0/ 0:	28.2335	27.4741	28.2329	21.2322	17.8685
Length    7/   7, alignment  0/ 0:	28.2389	27.4816	27.7945	21.2307	17.6346
Length    7/   7, alignment  0/ 7:	23.9676	22.8344	23.57	20.7708	17.5594
Length    7/   7, alignment  7/ 0:	24.0445	23.1075	23.7774	21.2313	18.3319
Length    8/   8, alignment  0/ 0:	23.9505	22.4951	23.1144	21.2364	14.9868
Length    8/   8, alignment  0/ 0:	23.8686	22.4955	23.103	21.2379	14.9853
Length    8/   8, alignment  0/ 0:	23.9038	22.4775	23.1128	21.2573	14.9853
