                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length    0/   0, alignment  0/ 0:	23.69	21.6697	22.866	20.7195	14.1044
Length    0/   0, alignment  0/ 0:	23.7712	21.5341	34.0279	21.3566	14.1272
Length    0/   0, alignment  0/ 0:	22.6803	20.6047	21.4963	19.4293	13.1356
Length    0/   0, alignment  0/ 0:	21.8536	20.6044	21.4964	19.801	12.6879
Length    1/   1, alignment  0/ 0:	21.8496	20.1569	20.8884	19.0641	13.4386
Length    1/   1, alignment  0/ 0:	22.2776	20.6336	21.6974	19.3827	13.5377
Length    1/   1, alignment  0/ 1:	21.8297	20.6997	21.526	19.4354	6.52194
Length    1/   1, alignment  1/ 0:	22.0504	21.3872	21.821	19.8395	13.7372
Length    2/   2, alignment  0/ 0:	21.853	22.1247	22.3498	20.5617	14.4107
Length    2/   2, alignment  0/ 0:	22.4172	21.5741	22.362	20.228	14.8241
Length    2/   2, alignment  0/ 2:	22.1992	21.2291	22.1002	20.7157	9.36668
Length    2/   2, alignment  2/ 0:	22.324	21.7114	22.273	20.154	14.4183
Length    3/   3, alignment  0/ 0:	22.3156	21.0724	21.5481	19.4412	14.5341
Length    3/   3, alignment  0/ 0:	22.1503	21.0912	21.7118	19.8972	14.5339
Length    3/   3, alignment  0/ 3:	22.0458	21.0649	21.7112	19.5461	10.6901
Length    3/   3, alignment  3/ 0:	22.0177	21.0724	21.647	19.472	16.3113
Length    4/   4, alignment  0/ 0:	22.0606	21.7511	22.5781	20.5591	16.3981
Length    4/   4, alignment  0/ 0:	22.1008	21.6591	22.5779	20.5594	16.4814
Length    4/   4, alignment  0/ 4:	22.2949	21.7115	22.2304	20.0874	13.7378
Length    4/   4, alignment  4/ 0:	22.0523	21.7579	22.4386	20.0996	17.6835
Length    5/   5, alignment  0/ 0:	22.1835	21.7541	22.5779	20.5053	17.2374
Length    5/   5, alignment  0/ 0:	22.1964	21.7477	22.5781	20.5624	17.2466
Length    5/   5, alignment  0/ 5:	22.1703	21.7136	22.6163	20.1307	14.9891
Length    5/   5, alignment  5/ 0:	22.004	21.6559	22.5961	20.6008	17.9602
Length    6/   6, alignment  0/ 0:	22.028	21.6785	22.5781	20.5588	17.9837
Length    6/   6, alignment  0/ 0:	22.6346	21.7456	22.3155	20.0685	17.8062
Length    6/   6, alignment  0/ 6:	22.4428	21.7119	22.2982	20.1094	16.859
Length    6/   6, alignment  6/ 0:	21.9877	21.436	22.5954	20.4889	18.3421
Length    7/   7, alignment  0/ 0:	22.7339	21.8949	22.4724	19.4369	17.2631
