                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	11.9851	8.23542	8.51421	6.703	11.0768
Length   16, n   16, alignment  1/ 1:	12.589	7.5383	8.35356	7.14107	11.1997
Length   16, n   16, alignment  1/ 2:	12.7028	7.55961	8.37293	6.85293	11.5642
Length   16, n   16, alignment  2/ 1:	12.9705	7.55133	8.43723	6.85299	11.2814
Length    2, n    4, alignment  7/ 2:	13.7444	12.0707	11.112	10.9647	14.3913
Length    4, n    2, alignment  2/ 7:	12.0079	8.27016	8.22374	6.85304	11.1126
Length    2, n    4, alignment  7/ 2:	13.3903	11.8039	10.9775	10.9647	13.8753
Length    4, n    2, alignment  2/ 7:	11.8894	8.25423	8.22371	6.85307	11.4914
Length   16, n   16, alignment  2/ 2:	12.4781	7.54477	8.22364	6.8585	11.2309
Length   16, n   16, alignment  2/ 2:	12.9188	7.72686	8.26775	6.85808	11.2649
Length   16, n   16, alignment  2/ 4:	12.7791	7.65985	8.22893	6.85291	11.47
Length   16, n   16, alignment  4/ 2:	12.8908	7.53829	8.35619	6.88074	11.2898
Length    4, n    8, alignment  6/ 4:	14.756	12.1867	12.0257	10.965	14.1459
Length    8, n    4, alignment  4/ 6:	12.609	8.44975	8.45327	6.90438	11.3178
Length    4, n    8, alignment  6/ 4:	14.4027	12.152	11.9487	10.9647	14.1193
Length    8, n    4, alignment  4/ 6:	12.7445	7.74999	8.35687	6.8585	12.186
Length   16, n   16, alignment  3/ 3:	12.8184	7.76451	8.37288	6.85817	11.3334
Length   16, n   16, alignment  3/ 3:	12.8515	7.72682	8.30803	6.92982	11.4411
Length   16, n   16, alignment  3/ 6:	12.7173	7.67819	8.25338	6.97832	11.4074
Length   16, n   16, alignment  6/ 3:	12.9575	7.60655	8.42924	6.87117	11.4667
Length    8, n   16, alignment  5/ 6:	14.1798	11.1102	11.0639	10.9647	14.2759
Length   16, n    8, alignment  6/ 5:	12.6956	8.43432	8.93682	6.85803	11.1843
Length    8, n   16, alignment  5/ 6:	14.1615	11.239	11.0074	10.9648	14.0335
Length   16, n    8, alignment  6/ 5:	12.7887	8.24003	9.02578	6.85779	11.2905
