                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.6837	5.77124	5.7301	6.2002	5.77612
Length    0, alignments in bytes  0/ 0:	10.9352	6.50281	5.86707	5.78357	5.77686
Length    0, alignments in bytes  0/ 0:	10.8165	5.9115	5.87439	5.7677	5.77136
Length    0, alignments in bytes  0/ 0:	10.8115	6.28271	5.07568	5.00281	4.9939
Length    1, alignments in bytes  0/ 0:	9.70764	5.12415	5.62988	5.00757	5.00671
Length    1, alignments in bytes  0/ 0:	9.46899	5.13232	5.62769	5.01355	5.00403
Length    1, alignments in bytes  0/ 1:	9.26733	5.63037	5.08569	5.00586	4.99866
Length    1, alignments in bytes  1/ 0:	9.09863	5.13281	5.08276	5.00061	4.6842
Length    2, alignments in bytes  0/ 0:	9.59131	6.26978	5.89478	6.15015	6.40015
Length    2, alignments in bytes  0/ 0:	9.39453	5.88733	5.89124	6.14355	6.40613
Length    2, alignments in bytes  0/ 2:	9.17664	5.80957	5.84619	6.12451	6.396
Length    2, alignments in bytes  2/ 0:	9.30249	5.11548	5.11646	5.11255	6.4032
Length    3, alignments in bytes  0/ 0:	9.58984	5.12366	5.11792	5.12012	6.40808
Length    3, alignments in bytes  0/ 0:	9.59216	5.76501	5.11621	5.12817	6.40039
Length    3, alignments in bytes  0/ 3:	9.6123	4.53076	5.11157	5.12244	6.39795
Length    3, alignments in bytes  3/ 0:	9.82104	5.1178	5.11328	5.11401	8.32568
Length    4, alignments in bytes  0/ 0:	9.65686	9.16333	8.745	6.29468	8.24353
Length    4, alignments in bytes  0/ 0:	10.3489	8.56238	7.9928	5.86963	8.31946
Length    4, alignments in bytes  0/ 4:	9.58655	6.05237	6.11475	5.86304	8.3009
Length    4, alignments in bytes  4/ 0:	9.58044	5.11597	5.11401	5.11694	8.32471
Length    5, alignments in bytes  0/ 0:	9.60059	7.98792	7.99194	6.63782	9.13989
Length    5, alignments in bytes  0/ 0:	9.63416	7.98462	7.98438	6.63782	9.11218
Length    5, alignments in bytes  0/ 5:	9.84155	6.04919	6.09497	5.8363	8.30701
Length    5, alignments in bytes  5/ 0:	9.58044	5.11804	5.11133	5.11548	9.29041
Length    6, alignments in bytes  0/ 0:	9.59961	7.98218	7.98206	7.3363	11.5072
Length    6, alignments in bytes  0/ 0:	9.6001	7.98975	7.99158	7.3324	11.5078
Length    6, alignments in bytes  0/ 6:	9.58191	6.047	6.1156	5.71606	11.4996
Length    6, alignments in bytes  6/ 0:	9.58215	5.12036	5.10864	5.11902	9.65149
Length    7, alignments in bytes  0/ 0:	10.3051	7.15393	7.04578	5.24121	11.7827
Length    7, alignments in bytes  0/ 0:	14.6398	8.4762	8.81055	7.97791	14.6309
Length    7, alignments in bytes  0/ 7:	15.166	9.03711	8.85645	8.65796	13.9872
Length    7, alignments in bytes  7/ 0:	15.8529	8.11414	8.8302	8.03271	13.4479
Length    8, alignments in bytes  0/ 0:	14.9934	10.0134	10.0518	8.26233	8.83093
Length    8, alignments in bytes  0/ 0:	12.8409	8.43115	8.77258	8.01672	6.09497
Length    8, alignments in bytes  0/ 0:	9.97266	8.3877	8.33191	8.12695	5.26367
Length    8, alignments in bytes  0/ 0:	10.0715	8.39282	8.18335	8.10706	6.53699
Length    9, alignments in bytes  0/ 0:	10.7172	8.901	10.2032	8.4873	9.60449
Length    9, alignments in bytes  0/ 0:	12.2838	8.76953	9.77271	8.73389	10.1248
Length    9, alignments in bytes  0/ 1:	16.1062	14.1267	9.99036	9.16028	7.14294
Length    9, alignments in bytes  1/ 0:	10.6097	9.04431	8.9436	7.15491	14.4115
Length   10, alignments in bytes  0/ 0:	10.1008	8.62488	8.17395	7.4967	6.93774
Length   10, alignments in bytes  0/ 0:	10.0525	8.96631	7.99524	7.33118	6.73389
Length   10, alignments in bytes  0/ 2:	9.74634	8.25891	7.98584	7.17517	7.48242
Length   10, alignments in bytes  2/ 0:	9.91833	8.19897	8.03516	7.09363	13.983
Length   11, alignments in bytes  0/ 0:	9.79907	8.28467	7.9917	6.70215	7.57568
Length   11, alignments in bytes  0/ 0:	9.88098	8.26245	7.99158	6.70764	7.59485
Length   11, alignments in bytes  0/ 3:	12.4513	8.69092	7.98608	7.39746	8.28906
