                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length    2/   2, alignment  0/ 2, N    2:	28.044	23.2805	23.6371	21.3376	26.1789
Length    4/   4, alignment  0/ 0, N    2:	26.2198	22.7385	23.0777	21.1394	26.1471
Length    4/   4, alignment  4/ 0, N    2:	26.4276	22.6952	24.1483	22.4326	29.546
Length    8/   8, alignment  0/ 0, N    2:	27.4301	24.1885	23.6208	22.8766	27.8305
Length    8/   8, alignment  0/ 0, N    2:	27.2146	22.2191	22.5536	20.6613	25.5396
Length   16/  16, alignment  0/ 0, N    2:	25.5225	22.2253	23.4653	21.9574	25.5024
Length   16/  16, alignment  7/ 2, N    2:	25.609	22.4043	24.3023	71.8066	28.6044
Length   16/   4, alignment  0/ 0, N    2:	28.5809	24.1504	24.676	22.1146	28.4579
Length   16/   4, alignment  7/ 2, N    2:	29.158	22.1721	23.0312	20.6074	29.0952
Length   32/  32, alignment  0/ 0, N    2:	24.4557	22.5948	23.2293	21.1219	24.3827
Length   32/  32, alignment  6/ 4, N    2:	26.316	22.6111	23.128	22.5891	27.0225
Length   32/   8, alignment  0/ 0, N    2:	25.6361	22.0223	22.5499	20.6522	25.6075
Length   32/   8, alignment  6/ 4, N    2:	25.6842	22.0245	22.5484	20.6638	25.5566
Length   64/  64, alignment  0/ 0, N    2:	24.3165	22.4806	22.9917	22.7526	24.308
Length   64/  64, alignment  5/ 6, N    2:	24.407	22.7142	23.6584	21.2831	24.5127
Length   64/  16, alignment  0/ 0, N    2:	25.5441	22.0289	22.5505	21.39	25.5733
Length   64/  16, alignment  5/ 6, N    2:	24.7689	22.0177	22.9819	22.5397	25.4736
Length  128/ 128, alignment  0/ 0, N    2:	24.4861	22.3679	23.606	21.0832	24.8763
Length  128/ 128, alignment  4/ 0, N    2:	26.3517	23.7935	23.7377	21.1043	24.6111
Length  128/  32, alignment  0/ 0, N    2:	24.457	22.6032	23.7015	21.5642	24.9441
Length  128/  32, alignment  4/ 0, N    2:	26.3335	23.1283	24.1498	21.8998	26.869
Length  256/ 256, alignment  0/ 0, N    2:	28.1194	22.8708	23.5266	21.5676	28.2372
Length  256/ 256, alignment  3/ 2, N    2:	28.2689	23.3684	23.5242	21.5643	28.224
Length  256/  64, alignment  0/ 0, N    2:	25.0653	23.0427	23.524	21.7813	24.9652
Length  256/  64, alignment  3/ 2, N    2:	24.9386	23.2425	23.8043	21.7382	24.9478
Length  512/ 512, alignment  0/ 0, N    2:	29.0523	22.8754	23.5512	24.3937	28.0434
Length  512/ 512, alignment  2/ 4, N    2:	27.9189	22.8696	23.5268	24.3513	28.0772
Length  512/ 128, alignment  0/ 0, N    2:	24.9158	22.9216	23.9909	21.575	25.1612
Length  512/ 128, alignment  2/ 4, N    2:	25.0209	22.924	23.5982	21.577	25.0294
Length 1024/1024, alignment  0/ 0, N    2:	29.8961	26.4954	26.8562	36.5686	28.9207
