                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	11.3783	7.41156	11.1921	10.0229	11.7419
Length   16, n   16, alignment  1/ 1:	11.7562	7.55438	7.64245	6.85299	11.0731
Length   16, n   16, alignment  1/ 2:	11.9175	7.55824	8.10133	6.92978	11.4251
Length   16, n   16, alignment  2/ 1:	11.8184	7.67063	7.58768	6.85293	11.2556
Length    2, n    4, alignment  7/ 2:	15.4595	11.1656	11.6647	11.5726	13.317
Length    4, n    2, alignment  2/ 7:	10.919	7.66777	8.23055	6.85299	11.4218
Length    2, n    4, alignment  7/ 2:	13.7767	11.0164	11.563	11.4195	14.1819
Length    4, n    2, alignment  2/ 7:	10.65	8.18501	8.18331	6.69002	11.272
Length   16, n   16, alignment  2/ 2:	11.6519	7.56172	7.53839	6.85301	11.0829
Length   16, n   16, alignment  2/ 2:	11.771	7.56587	7.55564	6.853	11.2207
Length   16, n   16, alignment  2/ 4:	11.6719	7.75351	7.53833	6.85938	11.2158
Length   16, n   16, alignment  4/ 2:	11.9538	7.53828	7.71028	6.85857	11.2496
Length    4, n    8, alignment  6/ 4:	14.0961	12.0946	11.9656	11.65	14.2156
Length    8, n    4, alignment  4/ 6:	11.268	7.61184	8.22363	6.96885	11.1764
Length    4, n    8, alignment  6/ 4:	14.1731	11.9845	11.9972	11.6547	14.0429
Length    8, n    4, alignment  4/ 6:	11.1325	7.53833	8.22846	6.85306	11.3554
Length   16, n   16, alignment  3/ 3:	11.9177	7.64618	7.55877	6.97627	11.1834
Length   16, n   16, alignment  3/ 3:	11.7869	7.53826	7.54322	6.85294	11.1386
Length   16, n   16, alignment  3/ 6:	11.9637	7.749	7.57016	6.95694	11.3375
Length   16, n   16, alignment  6/ 3:	11.65	7.6353	7.72666	6.98524	11.1192
Length    8, n   16, alignment  5/ 6:	14.3454	11.0871	10.1609	11.7302	14.2379
Length   16, n    8, alignment  6/ 5:	11.08	8.22839	7.53842	6.85304	11.3839
Length    8, n   16, alignment  5/ 6:	14.1365	11.2382	10.191	11.6552	14.0653
Length   16, n    8, alignment  6/ 5:	11.3174	8.22863	7.53839	7.03131	11.4869
Length   16, n   16, alignment  4/ 4:	12.0178	7.62804	7.5383	6.8529	11.3426
Length   16, n   16, alignment  4/ 4:	11.8396	7.68208	7.66393	6.90621	11.2252
Length   16, n   16, alignment  4/ 0:	11.8352	7.72667	7.57455	6.85748	11.2923
Length   16, n   16, alignment  0/ 4:	11.7232	7.56512	7.72669	6.87852	11.2775
Length   16, n   32, alignment  4/ 0:	14.9285	10.6956	10.7019	11.6548	14.0476
Length   32, n   16, alignment  0/ 4:	11.796	7.02439	6.94054	6.85795	10.9818
Length   16, n   32, alignment  4/ 0:	15.1285	10.6909	10.5768	11.6501	14.1935
Length   32, n   16, alignment  0/ 4:	11.9763	6.89476	7.02454	7.02956	11.1516
Length   16, n   16, alignment  5/ 5:	11.8327	7.62316	7.72671	6.87271	11.1262
Length   16, n   16, alignment  5/ 5:	11.7526	7.74368	7.55804	6.85293	11.343
Length   16, n   16, alignment  5/ 2:	11.8988	7.69991	7.68058	6.87334	11.4459
Length   16, n   16, alignment  2/ 5:	11.9771	7.56616	7.73266	6.9533	11.198
Length   32, n   64, alignment  3/ 2:	18.9975	10.4793	10.2842	12.5734	18.7428
