                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length    2/   2, alignment  0/ 2, N    2:	26.046	23.4194	23.64	22.424	25.0799
Length    4/   4, alignment  0/ 0, N    2:	24.8285	22.8685	23.0897	21.0675	24.346
Length    4/   4, alignment  4/ 0, N    2:	24.6218	22.7553	23.7136	21.9015	28.2945
Length    8/   8, alignment  0/ 0, N    2:	26.819	22.3516	23.2299	20.6156	23.9399
Length    8/   8, alignment  0/ 0, N    2:	24.215	22.3515	22.9449	20.6776	24.2156
Length   16/  16, alignment  0/ 0, N    2:	23.9709	22.3507	22.9454	21.1345	24.0209
Length   16/  16, alignment  7/ 2, N    2:	23.8328	22.349	22.7003	22.5438	24.0588
Length   16/   4, alignment  0/ 0, N    2:	24.1093	22.3517	22.3499	20.5082	24.0522
Length   16/   4, alignment  7/ 2, N    2:	24.0884	22.3489	22.3509	20.4351	23.7276
Length   32/  32, alignment  0/ 0, N    2:	24.3908	22.3534	25.0638	21.1149	24.385
Length   32/  32, alignment  6/ 4, N    2:	24.3204	22.4783	22.9887	21.1208	24.3677
Length   32/   8, alignment  0/ 0, N    2:	24.0829	21.8194	22.3543	20.4915	23.633
Length   32/   8, alignment  6/ 4, N    2:	24.035	22.0315	22.9187	20.5036	23.9214
Length   64/  64, alignment  0/ 0, N    2:	24.3915	22.5077	22.9932	21.1862	24.3213
Length   64/  64, alignment  5/ 6, N    2:	24.4271	22.4791	22.9896	21.2839	24.4142
Length   64/  16, alignment  0/ 0, N    2:	23.9721	22.032	22.5079	21.1161	23.8787
Length   64/  16, alignment  5/ 6, N    2:	23.7263	21.8196	22.35	22.5789	24.0281
Length  128/ 128, alignment  0/ 0, N    2:	24.5734	22.4016	23.377	22.3376	26.4308
Length  128/ 128, alignment  4/ 0, N    2:	26.4204	22.8097	22.9972	21.0813	25.4006
Length  128/  32, alignment  0/ 0, N    2:	24.4026	22.3513	22.9924	21.1087	24.3731
Length  128/  32, alignment  4/ 0, N    2:	24.3219	22.4138	22.9904	21.0807	24.3459
Length  256/ 256, alignment  0/ 0, N    2:	27.449	22.9904	22.9946	21.0769	27.6436
Length  256/ 256, alignment  3/ 2, N    2:	27.6031	22.3513	22.9888	21.0751	28.1719
Length  256/  64, alignment  0/ 0, N    2:	24.8881	23.0017	23.5255	21.6767	24.9002
Length  256/  64, alignment  3/ 2, N    2:	26.032	23.126	23.5259	21.7108	24.9947
Length  512/ 512, alignment  0/ 0, N    2:	28.113	22.8741	23.5276	24.3568	28.1039
Length  512/ 512, alignment  2/ 4, N    2:	28.1765	22.8687	23.5254	24.1896	28.9256
Length  512/ 128, alignment  0/ 0, N    2:	24.9843	22.8892	23.9159	21.5778	24.8975
Length  512/ 128, alignment  2/ 4, N    2:	24.8989	22.9218	23.7347	22.2309	25.0371
