                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	11.9548	5.78833	5.72583	5.65759	5.62891
Length    0, alignments in bytes  0/ 0:	10.6335	5.78906	5.71497	5.66675	5.63062
Length    0, alignments in bytes  0/ 0:	10.7064	5.76526	5.71851	5.63501	5.63232
Length    0, alignments in bytes  0/ 0:	10.7112	5.76074	5.71997	5.6626	5.61829
Length    1, alignments in bytes  0/ 0:	19.2013	5.76819	5.70776	6.66992	5.65381
Length    1, alignments in bytes  0/ 0:	18.646	5.2561	5.18311	6.05225	5.11743
Length    1, alignments in bytes  0/ 1:	17.4524	5.75879	5.18677	6.07056	5.10999
Length    1, alignments in bytes  1/ 0:	17.2656	5.75134	5.20483	6.04504	5.35754
Length    2, alignments in bytes  0/ 0:	17.632	5.88525	5.91125	6.50244	6.39941
Length    2, alignments in bytes  0/ 0:	17.4198	5.88342	5.90735	6.49097	6.39478
Length    2, alignments in bytes  0/ 2:	17.4172	5.82043	5.85559	6.47046	6.39001
Length    2, alignments in bytes  2/ 0:	17.3492	5.12134	5.1106	5.12793	6.49451
Length    3, alignments in bytes  0/ 0:	23.0848	4.5304	5.11914	5.11621	6.54797
Length    3, alignments in bytes  0/ 0:	22.9637	5.1167	5.12561	5.11658	6.55371
Length    3, alignments in bytes  0/ 3:	22.9493	5.12341	5.11267	5.13208	6.51282
Length    3, alignments in bytes  3/ 0:	22.9546	4.62231	5.11755	5.10999	8.6405
Length    4, alignments in bytes  0/ 0:	23.0662	19.2533	19.8865	5.92114	8.31653
Length    4, alignments in bytes  0/ 0:	22.964	19.2291	21.1749	6.79553	8.92749
Length    4, alignments in bytes  0/ 4:	24.8469	19.262	19.9045	5.92444	8.30383
Length    4, alignments in bytes  4/ 0:	18.5734	14.7841	15.4108	5.12561	9.89954
Length    5, alignments in bytes  0/ 0:	22.9601	19.2297	19.875	6.83313	10.106
Length    5, alignments in bytes  0/ 0:	24.0504	19.2401	19.88	6.84253	10.0879
