                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   16, n   16, alignment  1/ 1:	11.3801	7.45176	8.36344	6.85305	11.3522
Length   16, n   16, alignment  1/ 1:	11.6999	7.51029	7.55641	6.94017	11.1067
Length   16, n   16, alignment  1/ 2:	11.6697	7.53837	14.1054	7.53414	11.5199
Length   16, n   16, alignment  2/ 1:	11.6659	7.5383	7.66021	6.85297	11.449
Length    2, n    4, alignment  7/ 2:	13.8254	12.692	11.8495	11.6978	13.3497
Length    4, n    2, alignment  2/ 7:	10.8153	7.61431	8.22363	6.85305	11.0082
Length    2, n    4, alignment  7/ 2:	13.4662	10.9948	11.65	11.6637	13.2373
Length    4, n    2, alignment  2/ 7:	10.7795	7.53836	8.23708	6.8893	11.3056
Length   16, n   16, alignment  2/ 2:	11.7998	7.56031	7.53839	6.85303	11.1917
Length   16, n   16, alignment  2/ 2:	11.6775	7.58188	7.55566	6.85303	11.1468
Length   16, n   16, alignment  2/ 4:	11.9177	7.72265	7.53822	7.01119	11.2602
Length   16, n   16, alignment  4/ 2:	11.8729	7.72673	7.72664	6.95575	11.1455
Length    4, n    8, alignment  6/ 4:	14.3388	12.0843	11.965	11.65	14.0785
Length    8, n    4, alignment  4/ 6:	11.1123	7.56026	8.22373	6.87554	11.1966
Length    4, n    8, alignment  6/ 4:	14.1501	12.1751	11.9799	11.655	14.0109
Length    8, n    4, alignment  4/ 6:	11.1159	7.53837	8.38419	6.85304	11.2202
Length   16, n   16, alignment  3/ 3:	11.9592	7.58056	7.54351	6.8533	11.4481
Length   16, n   16, alignment  3/ 3:	11.6851	7.64176	7.73212	6.87486	11.4278
Length   16, n   16, alignment  3/ 6:	11.8173	7.73068	7.53823	6.8529	11.2066
Length   16, n   16, alignment  6/ 3:	12.0942	7.64413	7.71681	6.85292	11.0984
Length    8, n   16, alignment  5/ 6:	14.0006	11.2467	10.1928	11.65	14.2883
Length   16, n    8, alignment  6/ 5:	11.7396	8.24313	7.5385	6.8531	11.2675
Length    8, n   16, alignment  5/ 6:	14.0906	11.1554	10.2629	11.6501	14.0271
Length   16, n    8, alignment  6/ 5:	11.0793	8.22836	7.53859	6.85305	11.3753
Length   16, n   16, alignment  4/ 4:	11.8288	7.73207	7.66861	6.85294	11.2926
Length   16, n   16, alignment  4/ 4:	11.9571	7.72675	7.60641	6.85965	11.1441
Length   16, n   16, alignment  4/ 0:	11.9664	7.72672	7.55889	6.85749	11.3199
Length   16, n   16, alignment  0/ 4:	11.9496	7.53827	7.56012	7.01629	11.4998
Length   16, n   32, alignment  4/ 0:	15.1484	10.5148	10.5324	11.655	14.3095
Length   32, n   16, alignment  0/ 4:	11.9477	6.95382	6.85309	6.85749	11.1391
Length   16, n   32, alignment  4/ 0:	15.2156	10.776	10.6589	11.6553	14.1684
Length   32, n   16, alignment  0/ 4:	11.7991	7.04641	7.04136	6.91935	11.4723
Length   16, n   16, alignment  5/ 5:	11.8171	7.65219	7.60771	6.97958	11.2235
Length   16, n   16, alignment  5/ 5:	11.6587	7.53836	7.54487	6.96992	11.3529
Length   16, n   16, alignment  5/ 2:	11.9453	7.6532	7.74982	6.98023	11.0994
Length   16, n   16, alignment  2/ 5:	11.7787	7.58278	7.61076	7.02421	11.2791
Length   32, n   64, alignment  3/ 2:	18.786	9.87857	10.4336	12.7757	18.5895
