                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	10.717	5.52783	6.03662	5.36548	5.35889
Length    0, alignments in bytes  0/ 0:	10.7177	5.54199	6.02759	5.36743	5.35876
Length    0, alignments in bytes  0/ 0:	10.7136	5.52759	6.03528	5.35095	5.36316
Length    0, alignments in bytes  0/ 0:	10.7109	5.51892	6.03333	5.35486	5.35608
Length    1, alignments in bytes  0/ 0:	24.5487	6.03601	6.70935	5.36621	5.36792
Length    1, alignments in bytes  0/ 0:	24.5415	6.03894	6.7074	5.36853	5.3645
Length    1, alignments in bytes  0/ 1:	24.5343	6.02393	6.70471	5.3606	5.36157
Length    1, alignments in bytes  1/ 0:	24.5326	6.02771	6.7019	5.3501	5.55933
Length    2, alignments in bytes  0/ 0:	26.2975	6.86755	6.87366	7.02722	6.87451
Length    2, alignments in bytes  0/ 0:	25.0992	6.70276	6.70361	6.84277	6.70312
Length    2, alignments in bytes  0/ 2:	24.5328	6.6958	6.70374	6.81995	6.69702
Length    2, alignments in bytes  2/ 0:	24.6608	6.53601	6.54468	5.24915	6.5658
Length    3, alignments in bytes  0/ 0:	24.4781	5.89648	6.54468	5.2323	6.70288
Length    3, alignments in bytes  0/ 0:	24.4733	5.89771	6.54126	5.24768	6.54968
Length    3, alignments in bytes  0/ 3:	24.4634	5.88977	6.5415	5.25208	6.65198
Length    3, alignments in bytes  3/ 0:	24.4489	5.8811	6.54736	5.22681	8.31384
Length    4, alignments in bytes  0/ 0:	24.4547	20.2593	20.9125	6.02417	8.51624
Length    4, alignments in bytes  0/ 0:	24.4747	20.26	20.9041	6.02222	8.505
Length    4, alignments in bytes  0/ 4:	24.4656	20.261	20.9072	6.01355	8.50244
Length    4, alignments in bytes  4/ 0:	24.4623	15.6826	17.1544	5.89795	8.74451
Length    5, alignments in bytes  0/ 0:	24.4786	20.4442	22.7283	7.47815	10.1218
Length    5, alignments in bytes  0/ 0:	25.067	20.809	22.301	7.4823	10.8588
Length    5, alignments in bytes  0/ 5:	26.0405	21.6688	22.3687	7.72961	8.91882
Length    5, alignments in bytes  5/ 0:	25.093	16.4957	17.1423	6.16602	9.02087
Length    6, alignments in bytes  0/ 0:	26.391	23.3792	20.4684	9.33594	15.9279
Length    6, alignments in bytes  0/ 0:	26.5963	20.3307	21.9175	7.89746	12.3456
Length    6, alignments in bytes  0/ 6:	25.1063	21.2471	21.9232	6.27222	12.3447
Length    6, alignments in bytes  6/ 0:	27.0569	16.7662	15.9712	5.11926	8.32947
Length    7, alignments in bytes  0/ 0:	21.4744	19.7943	20.4202	5.12488	11.5093
Length    7, alignments in bytes  0/ 0:	21.6251	19.4624	20.4342	5.11707	11.509
Length    7, alignments in bytes  0/ 7:	20.5988	19.7943	20.4233	5.11975	11.4991
Length    7, alignments in bytes  7/ 0:	20.6355	15.3274	15.9779	5.11353	10.8776
Length    8, alignments in bytes  0/ 0:	21.5048	19.7988	20.6794	5.8855	5.77307
Length    8, alignments in bytes  0/ 0:	21.3949	19.7976	20.6693	5.88879	5.76501
Length    8, alignments in bytes  0/ 0:	21.3826	19.7965	20.67	5.87195	5.76111
Length    8, alignments in bytes  0/ 0:	21.5221	19.7981	20.6711	5.87585	5.76233
Length    9, alignments in bytes  0/ 0:	21.5033	19.7991	20.6765	6.96582	6.50684
Length    9, alignments in bytes  0/ 0:	21.3763	19.7983	20.6652	6.98889	6.51221
Length    9, alignments in bytes  0/ 1:	21.4443	19.7948	20.6771	7.29443	7.11511
Length    9, alignments in bytes  1/ 0:	21.4125	19.7961	20.6713	7.22375	14.0942
Length   10, alignments in bytes  0/ 0:	21.516	19.7964	20.552	7.35986	7.33044
Length   10, alignments in bytes  0/ 0:	21.4912	19.8003	20.6765	7.35486	7.38733
Length   10, alignments in bytes  0/ 2:	21.479	19.7941	20.6669	7.22266	7.91309
Length   10, alignments in bytes  2/ 0:	22.6677	21.4608	22.0912	8.52148	18.9226
Length   11, alignments in bytes  0/ 0:	22.5704	21.6619	23.9445	8.54175	12.6941
Length   11, alignments in bytes  0/ 0:	210.951	21.6726	22.3002	7.68689	10.4055
Length   11, alignments in bytes  0/ 3:	22.6187	21.6661	22.2661	7.69214	10.735
Length   11, alignments in bytes  3/ 0:	22.5435	21.6519	22.2867	7.68701	19.9978
Length   12, alignments in bytes  0/ 0:	22.5906	22.0139	22.4481	7.89478	9.61145
