                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	13.2422	6.83948	7.45142	6.62622	6.62146
Length    0, alignments in bytes  0/ 0:	13.24	6.82422	7.45471	6.63367	6.62842
Length    0, alignments in bytes  0/ 0:	13.2313	6.83325	7.44385	6.62	6.62537
Length    0, alignments in bytes  0/ 0:	13.2266	6.83191	7.44824	6.61719	6.62097
Length    1, alignments in bytes  0/ 0:	26.1069	7.45496	8.27917	6.62671	6.62915
Length    1, alignments in bytes  0/ 0:	26.1031	7.44849	8.28186	6.63721	6.63037
Length    1, alignments in bytes  0/ 1:	26.0497	7.44995	8.27051	6.62048	6.62769
Length    1, alignments in bytes  1/ 0:	26.0764	7.44824	8.27625	6.62915	6.87122
Length    2, alignments in bytes  0/ 0:	26.053	8.27771	8.28125	8.44226	8.29126
Length    2, alignments in bytes  0/ 0:	26.0518	8.27527	8.27148	8.47302	8.28833
Length    2, alignments in bytes  0/ 2:	26.0656	8.27209	8.28271	8.42542	8.27563
Length    2, alignments in bytes  2/ 0:	26.0807	8.27197	8.27649	6.62195	8.30225
Length    3, alignments in bytes  0/ 0:	31.6764	7.45459	8.2821	6.63464	8.43188
Length    3, alignments in bytes  0/ 0:	31.6812	7.45044	8.28516	6.63037	8.46216
Length    3, alignments in bytes  0/ 3:	31.7783	7.4436	8.27673	6.62646	8.44629
Length    3, alignments in bytes  3/ 0:	31.5776	7.44373	8.26929	6.62427	10.7637
Length    4, alignments in bytes  0/ 0:	31.4373	25.6238	26.4519	7.61841	10.7562
Length    4, alignments in bytes  0/ 0:	31.6996	25.6171	26.4468	8.74158	10.7617
Length    4, alignments in bytes  0/ 4:	31.7722	25.619	26.4431	7.60193	10.7572
Length    4, alignments in bytes  4/ 0:	26.2358	19.8398	20.6808	6.62024	11.0662
Length    5, alignments in bytes  0/ 0:	31.8754	25.6193	26.4446	9.01685	12.1989
Length    5, alignments in bytes  0/ 0:	31.9937	25.615	26.4379	9.03333	12.2078
