                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length    2/   2, alignment  0/ 2, N    2:	25.7818	22.8698	23.481	21.1122	26.6107
Length    4/   4, alignment  0/ 0, N    2:	24.4398	22.8717	23.4782	21.0945	26.6447
Length    4/   4, alignment  4/ 0, N    2:	24.4452	23.2972	24.487	21.8505	25.9426
Length    8/   8, alignment  0/ 0, N    2:	25.2649	22.3932	22.9452	20.6127	23.9913
Length    8/   8, alignment  0/ 0, N    2:	24.209	22.3508	22.945	20.6307	23.7271
Length   16/  16, alignment  0/ 0, N    2:	23.9052	23.4938	23.9879	22.7157	25.7337
Length   16/  16, alignment  7/ 2, N    2:	26.0044	23.9857	24.1002	24.2547	25.6727
Length   16/   4, alignment  0/ 0, N    2:	25.5122	21.3786	21.7857	19.6425	23.794
Length   16/   4, alignment  7/ 2, N    2:	25.1835	21.7947	21.5825	19.6712	23.4879
Length   32/  32, alignment  0/ 0, N    2:	23.8407	21.8558	22.4804	20.6086	23.8372
Length   32/  32, alignment  6/ 4, N    2:	23.8357	21.9799	22.4777	20.606	23.8335
Length   32/   8, alignment  0/ 0, N    2:	23.6269	23.0032	21.8559	19.9834	23.1715
Length   32/   8, alignment  6/ 4, N    2:	23.1148	21.231	21.8542	20.0394	23.4228
Length   64/  64, alignment  0/ 0, N    2:	23.8717	22.0378	22.4789	20.691	23.8753
Length   64/  64, alignment  5/ 6, N    2:	23.8759	22.8604	22.4796	21.2279	24.3945
Length   64/  16, alignment  0/ 0, N    2:	24.1511	22.0304	22.352	21.1124	24.0494
Length   64/  16, alignment  5/ 6, N    2:	24.2988	21.7148	22.35	22.5362	24.1112
Length  128/ 128, alignment  0/ 0, N    2:	24.0163	21.9852	22.8521	20.6163	24.3786
Length  128/ 128, alignment  4/ 0, N    2:	24.2933	22.5747	23.6421	21.0818	24.6469
Length  128/  32, alignment  0/ 0, N    2:	24.4573	22.3498	22.9934	21.0797	24.4715
Length  128/  32, alignment  4/ 0, N    2:	24.367	23.1983	23.0379	21.0918	24.3359
Length  256/ 256, alignment  0/ 0, N    2:	27.32	22.3516	22.9933	21.0754	27.4754
Length  256/ 256, alignment  3/ 2, N    2:	27.6251	22.3513	22.9884	21.0743	27.5957
Length  256/  64, alignment  0/ 0, N    2:	25.9804	22.5364	22.9901	21.2861	24.3888
Length  256/  64, alignment  3/ 2, N    2:	24.4108	23.1165	23.525	21.6776	24.8943
Length  512/ 512, alignment  0/ 0, N    2:	27.7954	22.3525	23.187	24.184	28.8488
Length  512/ 512, alignment  2/ 4, N    2:	28.2741	22.8731	23.567	24.1978	28.2405
Length  512/ 128, alignment  0/ 0, N    2:	25.0291	22.8867	23.9166	21.5904	25.0007
Length  512/ 128, alignment  2/ 4, N    2:	24.895	22.9267	24.0814	21.7344	24.9999
Length 1024/1024, alignment  0/ 0, N    2:	30.0139	26.4739	27.023	36.6017	29.9423
Length 1024/1024, alignment  1/ 6, N    2:	31.0256	26.8696	28.1822	37.7067	30.7307
Length 1024/ 256, alignment  0/ 0, N    2:	29.3262	24.1698	24.0862	22.1504	29.3937
Length 1024/ 256, alignment  1/ 6, N    2:	28.9252	23.4141	24.084	22.0794	28.6366
Length   16/   1, alignment  1/ 2, N    2:	24.7599	23.4163	23.418	21.5584	25.005
Length   16/   1, alignment  2/ 1, N    2:	25.3002	23.4156	23.6394	21.427	25.2488
Length   16/  10, alignment  1/ 1, N    2:	25.1499	23.4138	23.6373	21.1803	24.6994
Length   32/   1, alignment  2/ 4, N    2:	24.1804	22.2171	22.8712	21.8168	24.4753
Length   32/   1, alignment  4/ 2, N    2:	24.7661	22.2167	22.871	20.9459	23.7471
Length   32/  10, alignment  2/ 2, N    2:	24.073	21.7123	22.373	20.4699	24.026
Length   64/   1, alignment  3/ 6, N    2:	24.0799	22.0309	22.3512	20.6685	23.9635
Length   64/   1, alignment  6/ 3, N    2:	24.0222	22.3526	22.35	20.4353	24.1003
Length   64/  10, alignment  3/ 3, N    2:	24.1575	21.8159	22.4286	20.054	23.1163
Length  128/   1, alignment  4/ 0, N    2:	23.1101	21.8541	22.4459	21.1085	23.9511
Length  128/   1, alignment  0/ 4, N    2:	23.9745	21.3745	21.8791	20.0451	23.5513
Length  128/  10, alignment  4/ 4, N    2:	23.1071	21.335	21.854	20.0449	23.4029
Length  256/   1, alignment  5/ 2, N    2:	23.558	21.8535	21.8546	19.9819	24.9182
Length  256/   1, alignment  2/ 5, N    2:	23.4246	21.2305	21.8768	20.0507	23.4261
Length  256/  10, alignment  5/ 5, N    2:	23.2951	21.5385	21.8779	20.1816	23.722
Length  512/   1, alignment  6/ 4, N    2:	24.1927	21.7126	22.3492	20.4362	24.2485
Length  512/   1, alignment  4/ 6, N    2:	24.0668	21.7114	22.3504	20.5035	24.2924
Length  512/  10, alignment  6/ 6, N    2:	23.9285	21.7121	22.3519	20.508	24.1471
Length 1024/   1, alignment  7/ 6, N    2:	24.0797	22.0321	22.3491	20.4778	25.2253
Length 1024/   1, alignment  6/ 7, N    2:	23.8163	22.0315	22.3515	20.4908	23.7997
Length 1024/  10, alignment  7/ 7, N    2:	23.9017	21.5416	21.8546	20.0002	23.2362
Length    2/   2, alignment  0/ 2, N    8:	23.58	21.2306	21.9614	20.118	23.3307
Length    4/   4, alignment  0/ 0, N    8:	23.2707	21.2303	21.9338	20.1068	23.2808
Length    4/   4, alignment  4/ 0, N    8:	23.2222	21.8334	22.511	20.5676	23.7948
Length    8/   8, alignment  0/ 0, N    8:	23.6646	21.8848	22.3531	20.559	23.8214
Length    8/   8, alignment  0/ 0, N    8:	23.7936	21.8841	22.3525	20.5895	23.7939
Length   16/  16, alignment  0/ 0, N    8:	23.7014	21.8846	22.3529	21.138	24.0793
Length   16/  16, alignment  7/ 2, N    8:	23.818	21.8847	22.3494	21.3162	24.0222
Length   16/   4, alignment  0/ 0, N    8:	23.8261	21.884	22.3521	20.4948	23.9091
Length   16/   4, alignment  7/ 2, N    8:	24.1994	21.7125	22.3518	20.4338	23.826
Length   32/  32, alignment  0/ 0, N    8:	24.4114	22.733	23.0717	21.0748	24.3338
Length   32/  32, alignment  6/ 4, N    8:	24.5185	22.7174	23.0965	21.0743	24.4815
Length   32/   8, alignment  0/ 0, N    8:	23.8225	21.7126	22.3547	20.4549	23.6524
Length   32/   8, alignment  6/ 4, N    8:	23.2673	21.2299	21.8544	20.0391	23.2174
