                       	generic_strcpy	__strcpy_avx2	__strcpy_evex	__strcpy_sse2_unaligned	__strcpy_sse2
Length    0, alignments in bytes  0/ 0:	11.8627	6.07812	6.27441	5.79395	5.23682
Length    0, alignments in bytes  0/ 0:	9.91809	5.89819	5.23462	5.2467	5.23474
Length    0, alignments in bytes  0/ 0:	9.88245	5.37781	5.31873	5.24109	5.22668
Length    0, alignments in bytes  0/ 0:	9.87085	5.37512	5.31921	5.2356	5.22681
Length    1, alignments in bytes  0/ 0:	10.804	5.36755	5.3197	5.23132	5.24768
Length    1, alignments in bytes  0/ 0:	10.8196	5.35913	5.32166	5.23499	5.2489
Length    1, alignments in bytes  0/ 1:	11.0662	5.23853	5.18311	5.11475	5.11792
Length    1, alignments in bytes  1/ 0:	10.2235	5.24719	5.2019	5.1145	4.81848
Length    2, alignments in bytes  0/ 0:	10.5778	5.88611	5.88452	6.14172	6.39563
Length    2, alignments in bytes  0/ 0:	10.3422	5.88953	5.89893	6.1106	6.40637
Length    2, alignments in bytes  0/ 2:	10.2235	5.80859	5.82812	6.1333	6.38757
Length    2, alignments in bytes  2/ 0:	10.2216	5.12073	5.11011	5.12012	6.40344
Length    3, alignments in bytes  0/ 0:	10.8644	5.11951	5.12292	5.11279	6.40857
Length    3, alignments in bytes  0/ 0:	10.8689	4.52209	5.12805	5.11646	6.40881
Length    3, alignments in bytes  0/ 3:	10.8596	5.11829	5.11829	5.1167	6.39844
Length    3, alignments in bytes  3/ 0:	10.861	5.12207	5.1106	5.12183	8.31311
Length    4, alignments in bytes  0/ 0:	10.8605	7.99182	7.99573	5.87866	8.31189
Length    4, alignments in bytes  0/ 0:	10.8629	7.98706	7.99622	5.88452	8.31311
Length    4, alignments in bytes  0/ 4:	10.86	6.04651	6.11548	5.86157	8.30542
Length    4, alignments in bytes  4/ 0:	10.8591	5.11938	5.11023	5.11938	8.95874
Length    5, alignments in bytes  0/ 0:	11.4792	8.17542	8.17273	6.79333	9.349
Length    5, alignments in bytes  0/ 0:	11.1124	8.17847	8.17578	6.78479	9.32458
Length    5, alignments in bytes  0/ 5:	11.1122	6.18506	6.25745	5.953	8.5072
Length    5, alignments in bytes  5/ 0:	11.1228	5.2395	5.22632	5.24048	8.51233
Length    6, alignments in bytes  0/ 0:	11.1129	8.17029	8.17078	7.5022	11.7762
Length    6, alignments in bytes  0/ 0:	11.1122	8.18103	8.1781	7.51038	11.7808
Length    6, alignments in bytes  0/ 6:	11.1143	6.17871	6.24768	5.8479	11.7671
Length    6, alignments in bytes  6/ 0:	11.1144	5.23059	5.23657	5.229	9.16235
Length    7, alignments in bytes  0/ 0:	11.6115	7.172	7.05542	5.23108	11.7816
Length    7, alignments in bytes  0/ 0:	9.90759	7.16003	7.0592	5.23999	14.3655
Length    7, alignments in bytes  0/ 7:	10.3143	6.47937	7.84058	5.4967	12.339
Length    7, alignments in bytes  7/ 0:	10.3451	5.49243	5.48547	5.49243	10.3977
Length    8, alignments in bytes  0/ 0:	10.6923	9.44128	9.3623	6.64478	5.54443
Length    8, alignments in bytes  0/ 0:	10.9607	9.06287	9.05212	6.51672	5.25806
Length    8, alignments in bytes  0/ 0:	9.8988	8.43445	8.17297	6.00049	5.83301
Length    8, alignments in bytes  0/ 0:	10.7711	9.21887	8.19006	5.99817	5.8291
Length    9, alignments in bytes  0/ 0:	10.3976	8.97571	8.57068	7.11719	9.00964
Length    9, alignments in bytes  0/ 0:	15.3861	9.91663	13.1047	8.45264	9.33508
Length    9, alignments in bytes  0/ 1:	16.1084	9.88843	9.81982	8.0155	8.74976
