                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	11.2545	5.81787	6.32983	5.63647	5.63049
Length    0, alignments in bytes  0/ 0:	11.2473	5.79651	6.33716	5.62292	5.63025
Length    0, alignments in bytes  0/ 0:	11.5719	5.66553	7.43042	5.49304	5.48462
Length    0, alignments in bytes  0/ 0:	10.9713	5.65491	6.18213	5.48132	5.49207
Length    1, alignments in bytes  0/ 0:	21.639	6.18115	6.85962	5.49744	5.48853
Length    1, alignments in bytes  0/ 0:	21.6333	6.17542	6.86597	5.48438	5.49695
Length    1, alignments in bytes  0/ 1:	21.6278	6.17346	6.85913	5.49377	5.48474
Length    1, alignments in bytes  1/ 0:	21.6254	6.17798	6.86609	5.48193	5.70288
Length    2, alignments in bytes  0/ 0:	21.6199	6.86462	6.86584	7.00439	6.90784
Length    2, alignments in bytes  0/ 0:	21.6093	6.85693	6.86157	7.01599	6.86206
Length    2, alignments in bytes  0/ 2:	21.5896	6.85632	6.87097	7.02014	6.85486
Length    2, alignments in bytes  2/ 0:	21.63	6.86023	6.86157	5.50452	6.88354
Length    3, alignments in bytes  0/ 0:	26.3531	6.17932	6.87634	5.50085	7.02747
Length    3, alignments in bytes  0/ 0:	26.3645	6.172	6.86853	5.48425	6.99023
Length    3, alignments in bytes  0/ 3:	26.3375	6.17114	6.87317	5.48303	6.86475
Length    3, alignments in bytes  3/ 0:	26.2892	6.17053	6.86328	5.48767	8.9364
Length    4, alignments in bytes  0/ 0:	26.3735	21.2502	21.9298	6.33887	8.91919
Length    4, alignments in bytes  0/ 0:	26.3396	21.248	21.9261	6.31873	8.91235
Length    4, alignments in bytes  0/ 4:	26.426	21.2458	21.9288	6.31592	8.91833
Length    4, alignments in bytes  4/ 0:	21.7458	16.4467	17.1412	5.49219	9.21802
Length    5, alignments in bytes  0/ 0:	26.3495	20.6553	19.9352	9.55017	14.3746
Length    5, alignments in bytes  0/ 0:	26.0764	19.8865	20.696	8.83472	10.6622
Length    5, alignments in bytes  0/ 5:	25.3633	21.1228	21.1343	8.98315	12.3179
Length    5, alignments in bytes  5/ 0:	28.8224	16.4558	17.1389	6.1687	9.12085
Length    6, alignments in bytes  0/ 0:	27.0374	21.373	21.3998	7.70508	12.0674
Length    6, alignments in bytes  0/ 0:	24.4624	20.7668	21.431	7.7334	12.0476
