                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	11.762	7.45649	8.9286	6.78442	11.0081
Length   16, n   16, alignment  1/ 1:	17.6038	9.2655	8.3472	6.76128	11.3987
Length   16, n   16, alignment  1/ 2:	12.6822	7.65256	8.3781	7.00804	12.0463
Length   16, n   16, alignment  2/ 1:	13.3429	7.9438	8.428	7.00776	11.505
Length    2, n    4, alignment  7/ 2:	14.2951	11.8823	11.083	10.9649	13.7323
Length    4, n    2, alignment  2/ 7:	12.6655	8.22364	8.22378	6.8614	11.2036
Length    2, n    4, alignment  7/ 2:	13.9475	11.8818	11.2412	10.9647	13.8053
Length    4, n    2, alignment  2/ 7:	11.8799	8.22375	8.24096	6.85866	12.1066
Length   16, n   16, alignment  2/ 2:	12.5633	7.70885	8.45181	6.98883	11.2163
Length   16, n   16, alignment  2/ 2:	13.0266	7.72674	8.44657	6.90616	11.3588
Length   16, n   16, alignment  2/ 4:	12.9636	7.58356	8.33438	7.0401	11.468
Length   16, n   16, alignment  4/ 2:	12.7752	7.72684	8.42906	7.02964	11.1442
Length    4, n    8, alignment  6/ 4:	14.4338	12.1973	12.2183	10.9649	14.2267
Length    8, n    4, alignment  4/ 6:	12.8336	7.7269	8.27397	6.85848	11.2849
Length    4, n    8, alignment  6/ 4:	14.6301	12.2204	12.2567	11.256	14.2394
Length    8, n    4, alignment  4/ 6:	12.9485	7.74445	8.43073	6.93527	11.4963
Length   16, n   16, alignment  3/ 3:	12.6853	7.73228	8.42921	7.02431	11.6012
Length   16, n   16, alignment  3/ 3:	12.7373	7.73219	8.42912	7.00634	11.1463
Length   16, n   16, alignment  3/ 6:	12.8369	7.72664	8.46708	7.02945	11.4514
Length   16, n   16, alignment  6/ 3:	12.8219	7.72677	8.43449	6.90915	11.4644
Length    8, n   16, alignment  5/ 6:	14.3388	11.2636	11.239	11.1054	14.2077
Length   16, n    8, alignment  6/ 5:	12.6763	8.42928	8.94996	6.94893	11.631
Length    8, n   16, alignment  5/ 6:	14.5079	11.2838	11.2391	11.2444	14.0721
Length   16, n    8, alignment  6/ 5:	12.7411	8.47299	9.1471	6.95647	11.1337
Length   16, n   16, alignment  4/ 4:	13.0079	7.73197	8.42443	6.85293	11.3478
Length   16, n   16, alignment  4/ 4:	12.7964	7.74875	8.44597	7.01605	11.3298
Length   16, n   16, alignment  4/ 0:	12.9061	7.72677	8.43637	7.02422	11.414
Length   16, n   16, alignment  0/ 4:	12.8192	7.7268	8.43429	7.02422	11.2981
Length   16, n   32, alignment  4/ 0:	14.8939	10.8179	11.9584	11.9466	14.5616
Length   32, n   16, alignment  0/ 4:	12.963	7.03132	7.00355	6.91421	11.4489
Length   16, n   32, alignment  4/ 0:	14.783	10.839	11.9465	11.9413	14.4246
Length   32, n   16, alignment  0/ 4:	12.8339	7.0299	7.02452	7.02427	11.3711
Length   16, n   16, alignment  5/ 5:	13.0206	7.74438	8.42923	6.92257	11.4683
Length   16, n   16, alignment  5/ 5:	12.8183	7.74311	8.42921	7.04998	11.6726
Length   16, n   16, alignment  5/ 2:	12.9377	7.72674	8.43421	7.02424	11.3916
Length   16, n   16, alignment  2/ 5:	12.9692	7.73193	8.42901	7.02422	11.4318
Length   32, n   64, alignment  3/ 2:	17.7171	10.1048	10.5629	13.9029	17.4015
