                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length    0/   0, alignment  0/ 0:	25.4549	23.5277	24.318	23.6291	14.0081
Length    0/   0, alignment  0/ 0:	24.2263	23.0736	23.6523	21.7123	12.9388
Length    0/   0, alignment  0/ 0:	24.5265	22.9914	23.6537	21.7118	13.2386
Length    0/   0, alignment  0/ 0:	24.1647	23.0224	24.1211	22.4222	13.2552
Length    1/   1, alignment  0/ 0:	24.1754	22.991	24.1636	21.7125	14.0489
Length    1/   1, alignment  0/ 0:	24.5299	23.0499	23.6539	21.8299	14.0488
Length    1/   1, alignment  0/ 1:	24.3413	22.9918	23.6531	21.9785	7.19379
Length    1/   1, alignment  1/ 0:	24.2817	23.2451	23.6524	22.0533	14.049
Length    2/   2, alignment  0/ 0:	24.1632	23.005	23.7938	21.7117	14.7393
Length    2/   2, alignment  0/ 0:	23.9191	23.2889	23.6975	21.7119	14.7379
Length    2/   2, alignment  0/ 2:	24.2598	23.0054	23.7135	21.7118	8.9415
Length    2/   2, alignment  2/ 0:	23.8258	23.0061	23.6948	21.9848	14.7499
Length    3/   3, alignment  0/ 0:	24.4718	22.9928	23.6707	21.714	14.8668
Length    3/   3, alignment  0/ 0:	24.4347	23.243	23.6271	21.7135	14.8636
Length    3/   3, alignment  0/ 3:	24.4883	22.9931	23.6273	21.7125	10.8571
Length    3/   3, alignment  3/ 0:	23.7093	22.9931	23.6269	21.7455	16.646
Length    4/   4, alignment  0/ 0:	28.8905	28.0983	28.8764	21.7332	16.7661
Length    4/   4, alignment  0/ 0:	28.917	28.0983	28.8587	21.7317	16.782
Length    4/   4, alignment  0/ 4:	24.6961	23.6306	24.3315	21.7249	14.0497
Length    4/   4, alignment  4/ 0:	29.0308	28.1158	28.8564	21.7321	18.0392
Length    5/   5, alignment  0/ 0:	28.9756	28.0985	28.8571	21.7324	17.5668
Length    5/   5, alignment  0/ 0:	28.9043	28.1156	28.8574	21.7133	17.6019
Length    5/   5, alignment  0/ 5:	24.6876	23.6304	24.2984	21.7149	15.3457
Length    5/   5, alignment  5/ 0:	28.9497	28.0984	28.8743	21.7134	18.1904
Length    6/   6, alignment  0/ 0:	28.8881	28.1156	28.8584	21.744	18.2478
Length    6/   6, alignment  0/ 0:	28.8874	28.0984	28.89	21.7442	18.2483
Length    6/   6, alignment  0/ 6:	24.7276	23.6674	24.3157	21.7247	17.3003
Length    6/   6, alignment  6/ 0:	28.9675	28.0983	28.8576	21.7607	18.8191
Length    7/   7, alignment  0/ 0:	28.8923	28.0983	28.8777	21.7149	17.4952
Length    7/   7, alignment  0/ 0:	28.9196	28.0985	28.8593	21.7306	18.0676
Length    7/   7, alignment  0/ 7:	24.5949	23.6306	24.3343	21.715	18.057
Length    7/   7, alignment  7/ 0:	24.416	23.6553	24.2991	21.7154	18.7367
Length    8/   8, alignment  0/ 0:	24.4501	22.9904	23.6299	21.7213	15.3539
Length    8/   8, alignment  0/ 0:	24.4258	22.9887	23.6399	21.7378	15.3261
Length    8/   8, alignment  0/ 0:	24.4301	22.9885	23.6557	21.7191	15.3259
Length    8/   8, alignment  0/ 0:	24.4976	23.0094	23.6276	21.7182	15.326
Length    9/   9, alignment  0/ 0:	24.4314	22.9883	23.6387	21.7478	15.3285
Length    9/   9, alignment  0/ 0:	24.435	22.9882	23.6581	21.731	15.3277
Length    9/   9, alignment  0/ 1:	24.5101	23.0056	23.6418	21.7299	15.9654
Length    9/   9, alignment  1/ 0:	24.4679	23.1791	24.0532	21.7325	22.3932
Length   10/  10, alignment  0/ 0:	24.4931	22.989	23.6422	21.7389	16.0596
Length   10/  10, alignment  0/ 0:	24.4969	22.9883	23.6573	21.717	16.0405
Length   10/  10, alignment  0/ 2:	24.4961	23.0135	23.6303	21.7163	16.6125
Length   10/  10, alignment  2/ 0:	24.44	22.9882	23.6414	21.9826	21.8226
Length   11/  11, alignment  0/ 0:	24.4064	22.9882	23.6533	21.7168	16.6213
Length   11/  11, alignment  0/ 0:	24.4453	23.0062	23.6422	21.7166	16.6264
Length   11/  11, alignment  0/ 3:	24.4372	22.9882	23.6417	21.7171	17.5053
Length   11/  11, alignment  3/ 0:	23.8451	22.9884	23.6397	21.7379	21.6367
Length   12/  12, alignment  0/ 0:	23.8351	23.007	23.6393	21.7172	17.4323
Length   12/  12, alignment  0/ 0:	23.8808	22.9882	23.6278	21.7211	17.4371
Length   12/  12, alignment  0/ 4:	23.834	22.9906	23.6407	21.7354	16.6034
Length   12/  12, alignment  4/ 0:	23.9549	22.9889	23.6501	21.7417	19.2133
Length   13/  13, alignment  0/ 0:	23.8497	23.0064	23.6391	21.7186	18.0173
Length   13/  13, alignment  0/ 0:	23.8556	22.9881	23.6404	21.7212	18.0103
Length   13/  13, alignment  0/ 5:	23.8604	22.9881	23.6487	21.711	17.2427
Length   13/  13, alignment  5/ 0:	23.8151	23.0069	23.6411	21.7412	19.405
Length   14/  14, alignment  0/ 0:	23.8564	22.9885	23.6299	21.7218	18.8761
Length   14/  14, alignment  0/ 0:	23.8915	22.9886	23.6407	21.735	18.8693
Length   14/  14, alignment  0/ 6:	23.9232	22.9886	23.6452	22.0889	17.9447
Length   14/  14, alignment  6/ 0:	24.4266	24.0031	23.6403	21.7406	19.756
Length   15/  15, alignment  0/ 0:	24.4088	22.9883	23.6277	21.7507	18.3558
Length   15/  15, alignment  0/ 0:	24.4352	22.9891	23.6833	21.714	18.5535
Length   15/  15, alignment  0/ 7:	24.4353	23.1072	23.6387	21.7117	18.5286
Length   15/  15, alignment  7/ 0:	24.4484	22.9888	23.6276	21.732	18.8757
Length   16/  16, alignment  0/ 0:	24.477	22.9899	23.6609	23.6279	15.9652
Length   16/  16, alignment  7/ 2:	24.4386	23.0076	23.6421	23.6708	21.3418
Length   16/   4, alignment  0/ 0:	24.4107	22.9899	23.643	23.0644	16.9386
Length   16/   4, alignment  7/ 2:	24.4187	22.9892	23.6548	23.0122	17.5612
Length   32/  32, alignment  0/ 0:	25.7543	24.3145	24.9637	35.7666	17.9002
Length   32/  32, alignment  6/ 4:	27.5214	25.5431	26.2425	35.1456	28.6549
Length   32/   8, alignment  0/ 0:	25.5685	23.6522	24.2707	30.0132	17.2645
Length   32/   8, alignment  6/ 4:	25.4103	24.2681	24.9252	30.6933	25.6777
Length   64/  64, alignment  0/ 0:	40.0527	38.3024	38.8961	36.4367	26.4085
