                            	generic_strcat	__strcat_avx2	__strcat_evex	__strcat_sse2_unaligned	__strcat_sse2
Length   64/  64, alignment  0/ 0:	24.8928	24.8385	25.1827	23.8862	24.5828
Length   64/  64, alignment  5/ 6:	29.2791	28.2301	28.8835	27.6255	34.3498
Length   64/  16, alignment  0/ 0:	27.9868	27.6367	26.1824	24.0372	21.4892
Length   64/  16, alignment  5/ 6:	28.2732	27.7793	28.5501	26.8956	31.5338
Length  128/ 128, alignment  0/ 0:	26.2399	25.2731	26.0547	37.5785	44.1368
Length  128/ 128, alignment  4/ 0:	28.6978	27.7566	28.5511	37.9443	50.6389
Length  128/  32, alignment  0/ 0:	26.0694	25.1455	25.7013	45.4879	37.6619
Length  128/  32, alignment  4/ 0:	30.9256	30.2383	31.0334	45.5715	51.4975
Length  256/ 256, alignment  0/ 0:	34.3005	28.7757	29.3271	30.3318	87.4786
Length  256/ 256, alignment  3/ 2:	38.4562	34.5358	35.2622	35.0676	102.702
Length  256/  64, alignment  0/ 0:	30.1736	29.3835	30.0897	44.9803	69.1158
Length  256/  64, alignment  3/ 2:	34.2919	34.569	35.282	48.3414	82.7347
Length  512/ 512, alignment  0/ 0:	46.2396	31.9458	33.4781	48.0668	178.401
Length  512/ 512, alignment  2/ 4:	48.9199	42.7301	43.2606	52.8595	190.805
Length  512/ 128, alignment  0/ 0:	32.7669	32.4836	33.4321	42.7511	119.687
Length  512/ 128, alignment  2/ 4:	44.7789	43.7357	43.693	55.406	131.374
Length 1024/1024, alignment  0/ 0:	52.0295	50.4078	55.7033	80.6448	393.595
Length 1024/1024, alignment  1/ 6:	59.8449	58.3611	59.4839	82.8186	406.311
Length 1024/ 256, alignment  0/ 0:	46.1068	39.5113	43.2847	72.4442	257.027
Length 1024/ 256, alignment  1/ 6:	64.9432	60.4791	61.2565	78.9311	270.625
Length   16/   1, alignment  1/ 2:	23.105	22.2426	22.8702	20.616	19.4859
Length   16/   1, alignment  2/ 1:	22.657	21.9398	22.4903	20.5866	16.6059
Length   16/  10, alignment  1/ 1:	22.6658	21.7567	22.4524	20.5753	28.0244
Length   16/  10, alignment  1/ 1:	22.6509	21.7244	22.4513	20.5783	28.0215
Length   32/   1, alignment  2/ 4:	23.5744	22.3503	23.0076	22.0035	23.3881
Length   32/   1, alignment  4/ 2:	23.2671	22.3496	23.1485	21.8085	16.6578
Length   32/  10, alignment  2/ 2:	23.4986	22.3496	22.9889	22.0017	30.6766
Length   32/  10, alignment  2/ 2:	23.2615	22.3502	23.0084	21.9957	30.8204
Length   64/   1, alignment  3/ 6:	27.8506	25.6228	26.6098	25.0584	28.3365
Length   64/   1, alignment  6/ 3:	26.7019	26.4704	26.914	25.0046	20.2594
