                            	generic_stpncpy	__stpncpy_avx2	__stpncpy_evex	__stpncpy_sse2_unaligned	__stpncpy_generic
Length   16, n   16, alignment  1/ 1:	28.5044	14.1857	10.4912	7.87034	28.3523
Length   16, n   16, alignment  1/ 1:	28.327	10.0829	9.43652	8.01498	28.2934
Length   16, n   16, alignment  1/ 2:	28.2203	8.58521	9.39773	7.80466	28.293
Length   16, n   16, alignment  2/ 1:	28.1336	8.58548	9.36572	7.8112	28.3095
Length    2, n    4, alignment  7/ 2:	31.3136	13.268	12.4932	12.4877	31.4
Length    4, n    2, alignment  2/ 7:	30.575	9.37124	9.36589	7.81026	30.4317
Length    2, n    4, alignment  7/ 2:	31.3592	13.2746	12.4935	12.4878	31.3806
Length    4, n    2, alignment  2/ 7:	30.491	9.37133	9.36592	7.80482	30.3245
Length   16, n   16, alignment  2/ 2:	28.2519	8.58551	9.37125	7.80478	28.3244
Length   16, n   16, alignment  2/ 2:	28.1857	8.58525	9.37408	7.80469	28.2687
Length   16, n   16, alignment  2/ 4:	27.8942	8.5853	9.37108	7.80474	28.1061
Length   16, n   16, alignment  4/ 2:	27.8325	8.58531	9.36568	7.81076	28.1064
Length    4, n    8, alignment  6/ 4:	31.6317	29.4792	30.5604	12.4932	31.4788
Length    8, n    4, alignment  4/ 6:	30.2234	8.5854	10.9322	7.80492	30.7825
Length    4, n    8, alignment  6/ 4:	31.483	29.4812	30.5614	12.4877	31.6475
Length    8, n    4, alignment  4/ 6:	30.6108	8.59069	9.36585	7.81009	30.9606
Length   16, n   16, alignment  3/ 3:	27.1851	8.59081	9.36567	7.80498	28.0419
Length   16, n   16, alignment  3/ 3:	27.0882	8.5852	9.37243	7.80476	28.1671
Length   16, n   16, alignment  3/ 6:	26.923	8.58525	9.37104	7.80462	28.2046
Length   16, n   16, alignment  6/ 3:	27.9805	8.58522	9.37104	7.80473	26.1227
Length    8, n   16, alignment  5/ 6:	28.9209	29.0527	29.4361	12.5118	28.0875
Length   16, n    8, alignment  6/ 5:	28.2146	9.37106	10.1464	7.81033	24.1727
