                            	generic_strncpy	__strncpy_avx2	__strncpy_evex	__strncpy_sse2_unaligned	__strncpy_generic
Length   64, n  128, alignment  4/ 0:	16.1941	13.6278	13.4744	16.2519	15.9977
Length  256, n  128, alignment  4/ 0:	15.2806	13.3455	12.2192	18.5972	15.8358
Length  128, n  256, alignment  0/ 0:	19.0974	16.2862	15.663	23.1984	19.2375
Length  512, n  256, alignment  0/ 0:	18.511	15.6194	14.9271	18.9223	18.885
Length  128, n  256, alignment  3/ 2:	23.0702	17.3155	16.9248	23.8541	22.7774
Length  512, n  256, alignment  3/ 2:	23.7208	20.8575	20.4675	23.4667	23.7605
Length  256, n  512, alignment  0/ 0:	27.2793	23.9783	23.4855	29.0326	27.813
Length 1024, n  512, alignment  0/ 0:	29.1713	19.5428	20.234	31.3278	29.6788
Length  256, n  512, alignment  2/ 4:	29.6817	27.0248	25.9442	30.6595	29.9801
Length 1024, n  512, alignment  2/ 4:	31.384	25.7133	26.7634	35.888	31.5105
Length  512, n 1024, alignment  0/ 0:	45.1296	29.9858	28.2946	45.4667	44.3778
Length 2048, n 1024, alignment  0/ 0:	50.9753	28.1859	29.9034	55.7708	51.0647
Length  512, n 1024, alignment  1/ 6:	54.4162	31.998	29.6427	46.5867	54.6669
Length 2048, n 1024, alignment  1/ 6:	48.8477	41.5223	36.2785	61.5655	50.414
