                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length    2/   2, alignment  0/ 2, N    2:	26.4879	24.2516	24.0397	21.6209	25.3922
Length    4/   4, alignment  0/ 0, N    2:	24.7873	22.8708	23.1975	21.1103	24.9159
Length    4/   4, alignment  4/ 0, N    2:	24.2145	22.8697	23.1203	21.1233	27.3862
Length    8/   8, alignment  0/ 0, N    2:	28.764	23.1876	22.9757	20.675	23.9264
Length    8/   8, alignment  0/ 0, N    2:	25.0771	22.7397	70.4311	22.3003	26.425
Length   16/  16, alignment  0/ 0, N    2:	26.0065	24.4698	26.1073	21.4266	23.1026
Length   16/  16, alignment  7/ 2, N    2:	23.5736	22.2378	22.4367	22.0446	23.5373
Length   16/   4, alignment  0/ 0, N    2:	24.1926	22.3493	22.672	20.4587	23.9531
Length   16/   4, alignment  7/ 2, N    2:	24.2201	22.3511	24.5535	21.1751	23.1349
Length   32/  32, alignment  0/ 0, N    2:	23.901	22.1972	22.9902	21.0745	24.4664
Length   32/  32, alignment  6/ 4, N    2:	24.3335	22.4773	22.991	21.1526	24.2695
Length   32/   8, alignment  0/ 0, N    2:	23.9375	21.8192	22.5277	20.4891	24.0604
Length   32/   8, alignment  6/ 4, N    2:	23.8797	21.7112	22.3504	20.5124	24.0388
Length   64/  64, alignment  0/ 0, N    2:	24.456	22.5386	22.9905	21.1635	24.4259
Length   64/  64, alignment  5/ 6, N    2:	24.472	22.5082	23.1518	21.1677	24.4029
Length   64/  16, alignment  0/ 0, N    2:	23.9257	21.9249	22.3507	21.116	23.7292
Length   64/  16, alignment  5/ 6, N    2:	24.9495	22.6155	23.8587	22.4768	23.6533
Length  128/ 128, alignment  0/ 0, N    2:	24.6177	22.4203	24.5891	21.5833	25.0287
Length  128/ 128, alignment  4/ 0, N    2:	24.8637	22.3996	23.6042	21.5032	24.422
Length  128/  32, alignment  0/ 0, N    2:	24.3849	22.3533	23.3363	21.5646	24.9229
Length  128/  32, alignment  4/ 0, N    2:	24.9496	23.002	23.8983	21.5638	24.8956
Length  256/ 256, alignment  0/ 0, N    2:	27.9212	22.8717	23.5265	21.4894	27.2664
Length  256/ 256, alignment  3/ 2, N    2:	27.3133	22.3505	23.3818	21.5645	28.2317
Length  256/  64, alignment  0/ 0, N    2:	25.0366	23.823	23.5242	21.6969	25.0707
Length  256/  64, alignment  3/ 2, N    2:	25.0845	23.0121	27.0565	21.6547	25.5488
Length  512/ 512, alignment  0/ 0, N    2:	28.1751	22.3548	22.9905	23.6602	27.9339
Length  512/ 512, alignment  2/ 4, N    2:	28.413	22.8717	23.527	24.3579	28.3821
Length  512/ 128, alignment  0/ 0, N    2:	24.9759	22.9221	23.9147	21.6795	25.0355
Length  512/ 128, alignment  2/ 4, N    2:	24.8928	22.925	23.9903	21.5798	25.8607
Length 1024/1024, alignment  0/ 0, N    2:	29.4171	26.5617	26.8938	36.5586	28.3665
Length 1024/1024, alignment  1/ 6, N    2:	28.537	27.5751	27.2613	37.4308	28.952
Length 1024/ 256, alignment  0/ 0, N    2:	28.8995	23.4165	24.0861	22.0771	28.7939
Length 1024/ 256, alignment  1/ 6, N    2:	29.2042	23.7046	24.0835	22.0765	28.7718
Length   16/   1, alignment  1/ 2, N    2:	24.763	23.4168	23.6404	21.4088	25.6883
Length   16/   1, alignment  2/ 1, N    2:	25.4282	23.4152	23.638	21.4501	25.1618
Length   16/  10, alignment  1/ 1, N    2:	25.1323	23.4139	23.6381	21.4845	25.0983
Length   32/   1, alignment  2/ 4, N    2:	24.7163	22.217	22.8967	20.9725	24.8765
Length   32/   1, alignment  4/ 2, N    2:	24.3266	22.2158	22.8717	20.91	24.4689
Length   32/  10, alignment  2/ 2, N    2:	24.9157	22.3309	22.8695	20.9867	25.0486
Length   64/   1, alignment  3/ 6, N    2:	24.2667	21.7137	22.3507	20.5081	24.1958
Length   64/   1, alignment  6/ 3, N    2:	23.7154	22.3423	22.3492	20.4358	24.0612
Length   64/  10, alignment  3/ 3, N    2:	23.9443	22.0298	22.3513	20.4698	23.6378
Length  128/   1, alignment  4/ 0, N    2:	23.3349	21.2301	21.9571	20.5341	24.6125
Length  128/   1, alignment  0/ 4, N    2:	24.042	21.7114	22.3502	20.4951	24.4642
Length  128/  10, alignment  4/ 4, N    2:	24.2505	22.0319	22.3748	20.4949	23.8131
Length  256/   1, alignment  5/ 2, N    2:	23.1021	21.2296	21.8538	20.3065	25.1239
Length  256/   1, alignment  2/ 5, N    2:	24.0296	21.7124	22.3755	20.4646	23.6421
Length  256/  10, alignment  5/ 5, N    2:	23.7385	21.6633	21.8547	20.0007	23.792
Length  512/   1, alignment  6/ 4, N    2:	24.0993	21.7117	22.3518	20.4337	25.3654
Length  512/   1, alignment  4/ 6, N    2:	24.3799	21.7115	22.23	20.0132	23.5556
Length  512/  10, alignment  6/ 6, N    2:	23.7447	21.2291	21.8542	20.0143	23.2068
Length 1024/   1, alignment  7/ 6, N    2:	23.4433	21.8531	21.8528	20.2622	24.3505
Length 1024/   1, alignment  6/ 7, N    2:	24.3617	21.7123	22.3506	20.4536	23.7302
Length 1024/  10, alignment  7/ 7, N    2:	24.2122	21.8182	22.3518	20.4632	24.3715
Length    2/   2, alignment  0/ 2, N    8:	24.3288	22.0323	22.3506	20.4723	23.7018
Length    4/   4, alignment  0/ 0, N    8:	23.2232	21.2314	22.0518	20.1038	23.4361
Length    4/   4, alignment  4/ 0, N    8:	23.2714	21.6805	22.458	20.5752	23.8169
Length    8/   8, alignment  0/ 0, N    8:	23.7041	21.8842	22.3503	20.5765	23.8901
Length    8/   8, alignment  0/ 0, N    8:	23.7811	21.8841	22.3506	20.548	23.8764
Length   16/  16, alignment  0/ 0, N    8:	23.7336	21.8846	22.3513	21.1393	23.8365
Length   16/  16, alignment  7/ 2, N    8:	23.9046	21.3979	21.8545	20.8481	23.3555
Length   16/   4, alignment  0/ 0, N    8:	23.2737	21.3982	21.8539	20.0323	23.207
Length   16/   4, alignment  7/ 2, N    8:	23.773	21.4065	22.3504	20.4352	23.7596
Length   32/  32, alignment  0/ 0, N    8:	24.3321	22.502	23.096	21.075	24.3635
Length   32/  32, alignment  6/ 4, N    8:	24.5284	22.7467	23.0953	21.0855	24.4335
Length   32/   8, alignment  0/ 0, N    8:	23.788	21.7145	22.352	20.4415	23.7194
Length   32/   8, alignment  6/ 4, N    8:	23.7206	21.7128	22.351	20.4998	23.7778
Length   64/  64, alignment  0/ 0, N    8:	24.5688	22.3764	22.9931	21.1617	24.3832
Length   64/  64, alignment  5/ 6, N    8:	24.4406	22.3495	22.9905	21.1928	24.2669
Length   64/  16, alignment  0/ 0, N    8:	23.752	21.7125	22.3512	21.1286	23.721
Length   64/  16, alignment  5/ 6, N    8:	23.9054	21.7116	22.3524	21.2711	23.7178
Length  128/ 128, alignment  0/ 0, N    8:	24.559	22.3524	22.9937	21.0914	24.5167
Length  128/ 128, alignment  4/ 0, N    8:	24.4145	22.3491	24.0662	23.6388	25.218
Length  128/  32, alignment  0/ 0, N    8:	24.4552	22.7866	23.2047	21.0904	24.3323
Length  128/  32, alignment  4/ 0, N    8:	24.4564	22.7464	23.0212	21.0864	24.4834
Length  256/ 256, alignment  0/ 0, N    8:	27.6159	22.3518	22.9936	21.0762	27.772
Length  256/ 256, alignment  3/ 2, N    8:	27.6275	22.3533	23.6079	21.5648	28.1873
Length  256/  64, alignment  0/ 0, N    8:	25.0325	22.8701	23.5268	21.6657	25.0199
Length  256/  64, alignment  3/ 2, N    8:	24.9362	22.8688	23.5237	21.7703	24.8767
Length  512/ 512, alignment  0/ 0, N    8:	28.2727	22.9307	23.1384	23.6138	27.6916
Length  512/ 512, alignment  2/ 4, N    8:	28.2076	22.8723	23.7467	24.0623	28.4118
Length  512/ 128, alignment  0/ 0, N    8:	24.9937	22.8696	23.5935	21.5858	24.9753
Length  512/ 128, alignment  2/ 4, N    8:	25.0716	22.8712	23.5226	21.584	25.0303
Length 1024/1024, alignment  0/ 0, N    8:	28.1557	25.7502	28.9524	36.4742	28.1678
Length 1024/1024, alignment  1/ 6, N    8:	28.8137	25.8121	29.9003	37.0844	28.9845
Length 1024/ 256, alignment  0/ 0, N    8:	28.9468	23.4156	24.0934	22.0812	28.8817
Length 1024/ 256, alignment  1/ 6, N    8:	28.6996	23.4188	24.095	22.1621	28.8921
Length   16/   1, alignment  1/ 2, N    8:	25.598	22.9277	23.6343	21.4307	24.8296
Length   16/   1, alignment  2/ 1, N    8:	24.8782	22.9263	23.6309	21.4229	25.1821
Length   16/  10, alignment  1/ 1, N    8:	24.8593	22.9274	23.4993	21.4478	24.8612
Length   32/   1, alignment  2/ 4, N    8:	25.0132	22.218	22.8706	20.9734	24.3682
Length   32/   1, alignment  4/ 2, N    8:	24.471	22.2184	22.8712	20.9107	24.3804
Length   32/  10, alignment  2/ 2, N    8:	24.2392	22.1861	22.4651	20.4741	23.7199
Length   64/   1, alignment  3/ 6, N    8:	23.7591	21.7127	22.3519	20.4728	23.7395
Length   64/   1, alignment  6/ 3, N    8:	23.8302	21.712	22.3519	20.4333	23.8296
Length   64/  10, alignment  3/ 3, N    8:	23.8236	21.7119	22.4815	20.4515	23.6693
Length  128/   1, alignment  4/ 0, N    8:	23.7714	21.7128	22.3526	20.4335	23.8163
Length  128/   1, alignment  0/ 4, N    8:	23.762	21.7126	22.3519	20.497	23.7849
Length  128/  10, alignment  4/ 4, N    8:	23.6971	21.7124	22.4315	20.4532	23.7284
