                       	generic_stpcpy	__stpcpy_avx2	__stpcpy_evex	__stpcpy_sse2_unaligned	__stpcpy_sse2
Length    0, alignments in bytes  0/ 0:	12.5062	6.46558	7.03406	6.25232	6.26331
Length    0, alignments in bytes  0/ 0:	12.4973	6.46704	7.03833	6.26135	6.26233
Length    0, alignments in bytes  0/ 0:	12.4951	6.44421	7.02734	6.26013	6.24963
Length    0, alignments in bytes  0/ 0:	12.4999	6.44128	7.03491	6.25586	6.24231
Length    1, alignments in bytes  0/ 0:	12.2771	7.03381	7.82458	6.25439	6.25659
Length    1, alignments in bytes  0/ 0:	12.1353	7.03784	7.83069	6.25867	6.25964
Length    1, alignments in bytes  0/ 1:	11.999	7.03906	7.81848	6.24524	6.25183
Length    1, alignments in bytes  1/ 0:	11.7152	7.04102	7.81433	6.24353	5.79102
Length    2, alignments in bytes  0/ 0:	11.736	7.82288	7.81812	7.54407	7.83594
Length    2, alignments in bytes  0/ 0:	11.7174	7.82422	7.8269	7.51733	7.80896
Length    2, alignments in bytes  0/ 2:	11.72	7.8114	7.8175	7.5293	7.81482
Length    2, alignments in bytes  2/ 0:	11.7167	7.80737	7.80786	6.25806	7.14453
Length    3, alignments in bytes  0/ 0:	12.5066	7.03735	7.8136	6.28137	7.83313
Length    3, alignments in bytes  0/ 0:	12.5028	7.0415	7.81018	6.25952	7.83093
Length    3, alignments in bytes  0/ 3:	12.4919	7.03809	7.81323	6.24768	7.82288
Length    3, alignments in bytes  3/ 0:	12.4941	7.03906	7.81055	6.245	9.453
Length    4, alignments in bytes  0/ 0:	12.4984	9.771	9.71826	7.16956	10.1661
Length    4, alignments in bytes  0/ 0:	12.4946	9.76367	9.71655	7.1438	10.1644
Length    4, alignments in bytes  0/ 4:	12.4929	7.40393	7.8103	7.13806	10.1609
Length    4, alignments in bytes  4/ 0:	12.517	7.02991	7.81384	6.25732	10.2449
Length    5, alignments in bytes  0/ 0:	12.4971	9.76318	9.70007	8.09058	11.2996
Length    5, alignments in bytes  0/ 0:	12.4973	9.76416	9.70447	8.08972	11.2576
Length    5, alignments in bytes  0/ 5:	12.4955	7.40442	7.80957	7.03711	10.1676
Length    5, alignments in bytes  5/ 0:	12.4949	7.03345	7.8125	7.02808	9.41138
Length    6, alignments in bytes  0/ 0:	12.5009	9.76282	9.7052	8.96216	14.0704
Length    6, alignments in bytes  0/ 0:	12.4946	9.76489	9.70728	8.95667	14.0608
Length    6, alignments in bytes  0/ 6:	12.4967	7.40601	7.81812	6.98877	14.2976
Length    6, alignments in bytes  6/ 0:	21.7437	11.9358	13.3934	9.92126	14.7103
Length    7, alignments in bytes  0/ 0:	20.5101	12.1281	13.313	9.61584	15.7878
Length    7, alignments in bytes  0/ 0:	12.5103	9.89392	11.4288	6.25659	14.0695
Length    7, alignments in bytes  0/ 7:	12.5057	9.6604	7.8158	6.24841	14.0538
Length    7, alignments in bytes  7/ 0:	20.2272	8.92297	7.81006	6.25867	13.2833
Length    8, alignments in bytes  0/ 0:	20.0508	11.7902	12.8282	9.79675	11.7437
Length    8, alignments in bytes  0/ 0:	12.5189	9.99292	9.81848	7.16028	7.03259
Length    8, alignments in bytes  0/ 0:	12.4998	9.98511	9.81262	7.14966	7.03333
Length    8, alignments in bytes  0/ 0:	12.5248	10.4443	9.80469	7.15234	7.04675
Length    9, alignments in bytes  0/ 0:	12.4915	10.0448	9.78918	8.11487	8.33618
Length    9, alignments in bytes  0/ 0:	12.4967	10.0159	9.7926	8.08423	7.22668
Length    9, alignments in bytes  0/ 1:	12.4993	10.0095	9.78967	8.58655	8.12
Length    9, alignments in bytes  1/ 0:	12.5071	9.9408	9.81348	8.50879	18.7625
Length   10, alignments in bytes  0/ 0:	12.4949	9.95911	9.79211	8.96875	8.60742
Length   10, alignments in bytes  0/ 0:	12.4922	10.3049	9.78967	9.34509	9.90771
Length   10, alignments in bytes  0/ 2:	12.4921	9.94604	9.78967	8.79285	9.14624
Length   10, alignments in bytes  2/ 0:	12.5073	9.93835	9.81067	8.68213	17.9698
Length   11, alignments in bytes  0/ 0:	12.4966	9.95239	9.79504	8.18762	9.31262
Length   11, alignments in bytes  0/ 0:	12.4993	9.95789	9.78345	8.18188	9.30737
Length   11, alignments in bytes  0/ 3:	12.4982	9.95251	9.7854	8.79456	10.146
Length   11, alignments in bytes  3/ 0:	12.4996	9.93396	9.80945	8.67078	17.7113
Length   12, alignments in bytes  0/ 0:	12.4946	9.94666	9.78198	8.9834	10.9572
Length   12, alignments in bytes  0/ 0:	12.4965	9.95752	9.78735	8.95398	10.9395
Length   12, alignments in bytes  0/ 4:	12.4982	9.57996	9.40271	9.00537	10.9452
Length   12, alignments in bytes  4/ 0:	14.0275	9.59436	9.38318	8.68945	13.2952
Length   13, alignments in bytes  0/ 0:	12.4958	9.94995	9.7981	8.99182	13.6167
Length   13, alignments in bytes  0/ 0:	12.4994	9.97253	9.79333	8.95544	13.6843
Length   13, alignments in bytes  0/ 5:	12.4939	9.58447	9.44751	9.00769	12.0933
Length   13, alignments in bytes  5/ 0:	12.4922	9.62622	9.37988	8.67847	14.3937
Length   14, alignments in bytes  0/ 0:	12.4968	9.96069	9.78625	8.98047	15.0989
Length   14, alignments in bytes  0/ 0:	12.4954	9.95496	9.79834	8.95776	15.1483
Length   14, alignments in bytes  0/ 6:	12.4957	9.58276	9.38318	9.01636	14.8438
Length   14, alignments in bytes  6/ 0:	12.4961	9.57483	9.37024	8.67542	14.8269
Length   15, alignments in bytes  0/ 0:	12.5006	8.65369	8.83533	6.26453	14.8457
Length   15, alignments in bytes  0/ 0:	12.5054	8.66663	8.8092	6.25708	14.8527
