                            	generic_strncat	__strncat_avx2	__strncat_evex	__strncat_sse2_unaligned	__strncat_generic
Length   32/   8, alignment  6/ 4, N    8:	23.7776	21.7124	22.3516	20.4895	23.7682
Length   64/  64, alignment  0/ 0, N    8:	24.3369	22.4946	22.9911	21.2177	24.477
Length   64/  64, alignment  5/ 6, N    8:	24.4707	22.3492	22.9906	21.2872	24.3223
Length   64/  16, alignment  0/ 0, N    8:	23.7098	21.7122	22.3497	21.1221	23.7271
Length   64/  16, alignment  5/ 6, N    8:	23.7479	21.7113	22.3513	21.2676	23.8841
Length  128/ 128, alignment  0/ 0, N    8:	24.4752	22.353	22.9915	21.0764	24.4608
Length  128/ 128, alignment  4/ 0, N    8:	24.3871	22.3497	22.9904	21.1303	24.3092
Length  128/  32, alignment  0/ 0, N    8:	24.3251	22.5695	23.2051	21.1218	24.1736
Length  128/  32, alignment  4/ 0, N    8:	24.0368	22.2028	22.7917	21.1208	24.444
Length  256/ 256, alignment  0/ 0, N    8:	27.5651	22.3531	23.0037	21.0753	27.5542
Length  256/ 256, alignment  3/ 2, N    8:	27.6087	22.35	23.0014	21.0748	27.5925
Length  256/  64, alignment  0/ 0, N    8:	24.3198	22.4799	22.9898	21.2239	24.4698
Length  256/  64, alignment  3/ 2, N    8:	24.349	22.3518	22.9886	21.1917	24.3281
Length  512/ 512, alignment  0/ 0, N    8:	27.8514	22.3533	23.1467	23.529	28.5752
Length  512/ 512, alignment  2/ 4, N    8:	27.5798	22.8068	23.6901	24.174	28.2047
Length  512/ 128, alignment  0/ 0, N    8:	24.955	22.8724	23.5253	21.5718	24.9743
Length  512/ 128, alignment  2/ 4, N    8:	25.0025	22.8713	23.5249	21.5735	24.9886
Length 1024/1024, alignment  0/ 0, N    8:	28.1886	25.9708	28.8833	36.4758	28.7537
Length 1024/1024, alignment  1/ 6, N    8:	28.1805	26.477	29.6596	38.2038	29.5865
Length 1024/ 256, alignment  0/ 0, N    8:	29.0244	23.4153	24.1946	22.0796	29.3175
